REAL,ESTIMATE
0.100190,0.099759
0.170780,0.111471
0.169562,0.135417
0.097753,0.100704
0.098294,0.091589
0.081950,0.109060
0.057348,0.108058
0.061206,0.087511
0.055114,0.077513
0.065808,0.083421
0.071222,0.091310
0.033254,0.089200
0.032306,0.049047
0.023575,0.047818
0.099648,0.041487
0.050647,0.091940
0.066620,0.062922
0.075080,0.087415
0.016604,0.071072
0.008347,0.040879
0.020124,0.034886
0.024658,0.040724
0.021545,0.035627
0.024929,0.035559
0.029396,0.037765
0.021139,0.037686
0.045842,0.037301
0.103641,0.037845
0.130713,0.083426
0.026756,0.094978
0.043879,0.032431
0.117313,0.045856
0.123607,0.074078
0.148513,0.091386
0.164012,0.154770
0.265059,0.143389
0.296733,0.199746
0.226278,0.217806
0.194942,0.174898
0.186414,0.154492
0.160560,0.139428
0.038533,0.106601
0.094504,0.041431
0.136534,0.059227
0.071290,0.071206
0.051663,0.047009
0.042526,0.052084
0.064387,0.037038
0.055994,0.022096
0.055690,0.028375
0.078396,0.062658
0.064184,0.081657
0.061003,0.064640
0.098227,0.076416
0.160154,0.086574
0.154198,0.174248
0.102694,0.144500
0.222353,0.110751
0.191761,0.246650
0.094301,0.141191
0.042729,0.087696
0.087060,0.089422
0.129563,0.104545
0.093218,0.126655
0.081104,0.115542
0.106687,0.110167
0.139309,0.126970
0.186008,0.128073
0.082051,0.088723
0.052204,0.097930
0.102355,0.073742
0.109868,0.093740
0.102491,0.106004
0.085232,0.112226
0.029125,0.078717
0.068244,0.051754
0.059311,0.079229
0.104656,0.073636
0.074877,0.093917
0.114402,0.080889
0.101408,0.131874
0.119884,0.096306
0.124487,0.100075
0.122727,0.114599
0.114199,0.106756
0.122050,0.110296
0.263841,0.152059
0.151221,0.122587
0.096535,0.102985
0.064996,0.116517
0.065402,0.113345
0.088007,0.079521
0.089631,0.109782
0.130443,0.093448
0.182963,0.134766
0.112372,0.161475
0.088752,0.109059
0.036773,0.049947
0.011765,0.062546
0.011731,0.032997
0.030479,0.049179
0.078870,0.046134
0.123607,0.076410
0.041172,0.073123
0.060935,0.052030
0.057145,0.044526
0.063168,0.051632
0.069530,0.060643
0.051257,0.070244
0.068380,0.067298
0.050106,0.056020
0.042864,0.042152
0.057483,0.055255
0.150273,0.057359
0.129969,0.131355
0.077314,0.113643
0.085841,0.085603
0.086992,0.082102
0.078396,0.073045
0.091086,0.071310
0.116636,0.111529
0.094437,0.116206
0.069090,0.098355
0.103032,0.093807
0.109800,0.104507
0.083472,0.112862
0.123945,0.102375
0.231354,0.151290
0.281438,0.186312
0.210779,0.256253
0.123810,0.124385
0.185602,0.112544
0.152506,0.156580
0.130307,0.114493
0.036773,0.096089
0.027772,0.053100
0.024624,0.043840
0.038702,0.036391
0.056874,0.041576
0.048549,0.039128
0.057280,0.040359
0.041105,0.038792
0.023914,0.032270
0.034472,0.043132
0.083337,0.055290
0.053084,0.092854
0.062221,0.064918
0.053422,0.053147
0.094775,0.054174
0.080291,0.070870
0.080968,0.063000
0.080291,0.082206
0.030952,0.073813
0.025200,0.051575
0.046654,0.043961
0.055859,0.056555
0.075283,0.061865
0.075689,0.074592
0.055520,0.075655
0.059480,0.064203
0.044895,0.062652
0.051189,0.052349
0.069395,0.058746
0.098294,0.055518
0.030479,0.082475
0.022154,0.049262
0.046181,0.048020
0.034133,0.053195
0.048346,0.046712
0.043270,0.041468
0.029464,0.044564
0.044015,0.051540
0.096772,0.069204
0.112507,0.098394
0.088210,0.101800
0.120291,0.072797
0.138970,0.098202
0.076975,0.102748
0.030817,0.072174
0.017755,0.058961
0.068312,0.046199
0.086180,0.070749
0.088819,0.085801
0.026283,0.092292
0.019582,0.048952
0.010039,0.051423
0.019041,0.030648
0.044286,0.037739
0.119208,0.045880
0.082593,0.096348
0.050851,0.064568
0.039683,0.059306
0.043913,0.046574
0.018567,0.044282
0.013288,0.026586
0.007670,0.014748
0.010310,0.027477
0.074606,0.071770
0.074606,0.078588
0.050715,0.058389
0.030208,0.045994
0.026283,0.023486
0.007264,0.029710
0.034743,0.022247
0.088684,0.040859
0.117245,0.099914
0.035555,0.085373
0.040902,0.039096
0.057754,0.049678
0.044489,0.045029
0.007298,0.042017
0.011528,0.027657
0.036638,0.031633
0.012070,0.042772
0.096873,0.087022
0.127871,0.106742
0.095113,0.092822
0.066891,0.073222
0.010445,0.054686
0.006520,0.032768
0.020394,0.026555
0.031223,0.030834
0.024997,0.042574
0.028245,0.035980
0.036976,0.033636
0.023778,0.032689
0.003034,0.024664
0.017146,0.021710
0.038871,0.021746
0.052610,0.029637
0.066214,0.034630
0.074065,0.066758
0.069327,0.068043
0.037991,0.053996
0.055385,0.040005
0.052746,0.052521
0.027027,0.049057
0.022831,0.033603
0.056130,0.035607
0.050005,0.052019
0.057348,0.046311
0.026012,0.055537
0.038262,0.037111
0.039751,0.043437
0.042052,0.037898
0.038397,0.045942
0.031832,0.053349
0.018770,0.051150
0.015665,0.035555
0.036764,0.038890
0.048076,0.042243
0.066146,0.048244
0.072914,0.060692
0.024997,0.059340
0.034167,0.035031
0.051392,0.042476
0.033118,0.051775
0.023034,0.044865
0.021748,0.036566
0.024387,0.037211
0.040834,0.045782
0.052339,0.052865
0.059141,0.056758
0.058566,0.053284
0.042458,0.046221
0.041105,0.039938
0.033660,0.044368
0.036029,0.043880
0.053828,0.046664
0.059378,0.063150
0.055927,0.056105
0.067838,0.055853
0.099310,0.066467
0.042695,0.086116
0.006655,0.049741
0.018499,0.034766
0.038533,0.035838
0.061646,0.039111
0.077280,0.067992
0.063777,0.082035
0.065063,0.064981
0.096332,0.059194
0.086383,0.081204
0.094234,0.077893
0.069936,0.091360
0.056942,0.060716
0.095655,0.061852
0.063168,0.071997
0.050106,0.075295
0.052407,0.069867
0.092711,0.071845
0.093218,0.102898
0.111560,0.089687
0.098024,0.107033
0.095249,0.096473
0.119580,0.098141
0.071561,0.106308
0.146754,0.092417
0.047873,0.081707
0.055588,0.068767
0.071764,0.087173
0.050174,0.084129
0.063304,0.082338
0.091256,0.076535
0.107093,0.111049
0.098904,0.102157
0.070884,0.111993
0.086450,0.078763
0.110206,0.082315
0.046519,0.083625
0.045639,0.055544
0.079750,0.070241
0.038533,0.071208
0.021274,0.064081
0.014980,0.051340
0.068565,0.047654
0.088069,0.070041
0.091312,0.071069
0.094555,0.085966
0.097798,0.088396
0.101041,0.082522
0.104283,0.088360
0.107526,0.098676
0.110769,0.097206
0.114012,0.097345
0.117255,0.074639
0.120497,0.112990
0.123740,0.140427
0.126983,0.137852
0.130226,0.165424
0.133468,0.181892
0.136711,0.171022
0.139954,0.140915
0.143197,0.131099
0.146440,0.128583
0.149682,0.126308
0.152925,0.123248
0.156168,0.119340
0.121205,0.114525
0.047118,0.096579
0.061082,0.063762
0.078032,0.069545
0.094981,0.077667
0.111931,0.093213
0.115103,0.119819
0.062999,0.114484
0.115485,0.069192
0.042763,0.089411
0.058837,0.057483
0.054641,0.080314
0.109597,0.078741
0.058092,0.110373
0.049768,0.065548
0.077720,0.070317
0.087872,0.087935
0.057212,0.086877
0.067703,0.067440
0.064928,0.074347
0.079750,0.065484
0.106687,0.082519
0.091120,0.093376
0.122862,0.091891
0.051324,0.118175
0.048076,0.050414
0.096399,0.077768
0.067703,0.096204
0.078667,0.079540
0.064522,0.081349
0.060123,0.080346
0.084961,0.081470
0.086044,0.086160
0.052881,0.091443
0.079885,0.063116
0.069530,0.076286
0.073117,0.070209
0.056265,0.080383
0.064860,0.065228
0.049565,0.063714
0.059649,0.058691
0.093997,0.070575
0.127465,0.090299
0.146754,0.098752
0.085638,0.117873
0.074606,0.091773
0.182150,0.088286
0.059378,0.131512
0.156432,0.075308
0.138361,0.124456
0.054979,0.120724
0.045165,0.085862
0.091256,0.080543
0.120358,0.106916
0.061341,0.095333
0.099580,0.101975
0.090511,0.122895
0.099513,0.078618
0.077246,0.081665
0.029057,0.081245
0.396088,0.059285
1.000000,0.992057
0.182015,0.000306
0.116974,0.115039
0.050309,0.000000
0.040360,0.013703
0.066417,0.000000
0.159613,0.025451
0.141948,0.000000
0.082119,0.042216
0.064387,0.000000
0.063710,0.015837
0.070410,0.000000
0.085164,0.016197
0.138632,0.000000
0.113049,0.127049
0.048651,0.000000
0.061070,0.026680
0.046993,0.000000
0.060258,0.013538
0.058363,0.000000
0.063304,0.055185
0.140662,0.084174
0.203740,0.099503
0.103912,0.118306
0.072441,0.090182
0.156838,0.105337
0.279678,0.166578
0.232234,0.258209
0.085368,0.117800
0.065402,0.084166
0.063371,0.070380
0.073997,0.045772
0.083269,0.085693
0.068177,0.074713
0.104656,0.092067
0.238867,0.080489
0.181812,0.163912
0.022831,0.043641
0.024320,0.034420
0.040631,0.032532
0.011528,0.033458
0.015318,0.026193
0.088345,0.035628
0.048820,0.056405
0.036638,0.022948
0.074200,0.035863
0.082525,0.029651
0.103303,0.042737
0.067703,0.074769
0.030103,0.040971
0.018537,0.047536
0.068617,0.036590
0.120494,0.042748
0.106958,0.093648
0.088413,0.086057
0.036908,0.092091
0.013119,0.052422
0.065605,0.036746
0.108717,0.064892
0.099174,0.101042
0.121103,0.087082
0.086789,0.105706
0.085638,0.075177
0.099614,0.071472
0.054573,0.097990
0.053862,0.070567
0.041578,0.040180
0.057957,0.062571
0.050580,0.063613
0.036164,0.049252
