REAL,ESTIMATE
0.708955,0.543128
0.414179,0.549762
0.496269,0.458832
0.414179,0.383866
0.380597,0.324787
0.164179,0.377171
0.541045,0.240319
0.656716,0.463147
0.250000,0.249867
0.250000,0.272663
0.175373,0.278695
0.410448,0.273033
0.373134,0.342573
0.458955,0.318760
0.615672,0.400850
0.477612,0.458838
0.388060,0.402090
0.257463,0.357070
0.600746,0.357736
0.623134,0.502454
0.473881,0.474253
0.339552,0.411958
0.373134,0.328487
0.179104,0.332533
0.070896,0.208294
0.477612,0.241480
0.634328,0.443080
0.570896,0.385843
0.485075,0.463279
0.444030,0.448245
0.595149,0.577483
0.597015,0.441450
0.361940,0.471717
0.175373,0.300393
0.332090,0.245381
0.393657,0.333980
0.555970,0.361847
0.447761,0.377068
0.167910,0.227033
0.037313,0.037518
0.082090,0.135986
0.541045,0.448658
0.347015,0.405919
0.261194,0.336566
0.223881,0.300837
0.324627,0.317562
0.369403,0.393167
0.559701,0.360435
0.496269,0.480880
0.328358,0.412035
0.861940,0.361336
0.611940,0.715054
0.369403,0.502729
0.257463,0.387258
0.291045,0.282900
0.470149,0.332557
0.373134,0.447787
0.708955,0.414562
0.458955,0.548893
0.305970,0.413168
0.466418,0.422904
0.190299,0.387941
0.078358,0.267790
0.160448,0.149566
0.130597,0.274040
0.466418,0.472058
0.373134,0.397576
0.253731,0.303523
0.261194,0.258822
0.119403,0.368673
0.268657,0.260424
0.309701,0.305677
0.134328,0.295850
0.369403,0.240414
0.287313,0.382781
0.119403,0.314442
0.261194,0.306076
0.634328,0.334144
0.697761,0.481907
0.328358,0.498297
0.455224,0.322815
0.406716,0.366769
0.451493,0.363094
0.432836,0.428866
0.302239,0.394988
0.093284,0.285272
0.248368,0.198095
0.385961,0.361050
0.417910,0.467728
0.250000,0.359122
0.287313,0.254563
0.738806,0.288710
0.507463,0.535930
0.608209,0.416659
0.638060,0.609201
0.720149,0.458581
0.451493,0.539825
0.268657,0.359471
0.167910,0.309940
0.033582,0.263801
0.100746,0.198758
0.201493,0.256900
0.175373,0.286130
0.250000,0.267561
0.190299,0.283711
0.097015,0.185088
0.052239,0.196069
0.059701,0.200767
0.268657,0.166082
0.272388,0.279590
0.358209,0.361032
0.462687,0.382761
0.382463,0.439837
0.268657,0.374725
0.250000,0.257849
0.257463,0.250874
0.194030,0.258344
0.156716,0.171009
0.212687,0.160684
0.070896,0.227307
0.347015,0.188072
0.402985,0.301322
0.160448,0.320163
0.171642,0.216581
0.171642,0.237420
0.093284,0.203061
0.380597,0.176724
0.378731,0.270679
0.093284,0.307515
0.250000,0.167048
0.141791,0.183345
0.171642,0.146881
0.061567,0.201216
0.302239,0.198013
0.156716,0.270308
0.123134,0.225985
0.223881,0.204846
0.317164,0.272849
0.294776,0.291349
0.238806,0.338801
0.250000,0.311676
0.143657,0.272075
0.250000,0.231508
0.160448,0.261681
0.194030,0.201454
0.358209,0.226981
0.250000,0.342479
0.238806,0.233422
0.238806,0.269334
0.253731,0.262653
0.227612,0.266630
0.253731,0.220096
0.261194,0.235966
0.123134,0.211866
0.182836,0.175320
0.261194,0.236076
0.205224,0.269262
0.160448,0.250771
0.104478,0.186814
0.227612,0.186704
0.238806,0.198167
0.223881,0.242410
0.264925,0.209937
0.162313,0.209402
0.130597,0.199331
0.213619,0.211444
0.166978,0.264113
0.216418,0.243767
0.335821,0.241637
0.235075,0.286529
0.261194,0.236790
0.119403,0.240961
0.235075,0.186144
0.242537,0.253771
0.115672,0.203286
0.276119,0.190739
0.272388,0.258562
0.347015,0.231785
0.324627,0.311330
0.332090,0.292066
0.313433,0.294986
0.149254,0.281406
0.339552,0.190126
0.197761,0.282361
0.164179,0.222525
0.238806,0.181153
0.291045,0.213176
0.261194,0.313396
0.182836,0.269359
0.097015,0.208325
0.205224,0.164048
0.268657,0.232043
0.361940,0.256543
0.238806,0.295749
0.365672,0.248318
0.223881,0.318208
0.335821,0.289505
0.294776,0.314149
0.182836,0.278868
0.126866,0.199430
0.227612,0.197783
0.238806,0.265382
0.235075,0.226192
0.285448,0.235305
0.317164,0.325505
0.223881,0.307547
0.223881,0.274802
0.205224,0.246901
0.264925,0.212479
0.208955,0.226435
0.167910,0.239776
0.141791,0.234162
0.182836,0.169539
0.190299,0.213315
0.287313,0.234604
0.182836,0.275495
0.208955,0.201429
0.167910,0.188136
0.231343,0.194687
0.279851,0.219669
0.197761,0.266015
0.264925,0.226231
0.182836,0.276085
0.305970,0.238499
0.350746,0.308709
0.242537,0.315503
0.261194,0.239629
0.291045,0.239328
0.250000,0.275834
0.313433,0.218424
0.190299,0.265753
0.272388,0.215893
0.276119,0.275556
0.264925,0.276144
0.332090,0.258275
0.317164,0.281544
0.350746,0.274954
0.320896,0.316056
0.257463,0.286430
0.134328,0.230067
0.246269,0.196765
0.335821,0.236270
0.335821,0.327352
0.279851,0.298222
0.272388,0.267801
0.354478,0.245022
0.384328,0.346903
0.470149,0.344476
0.287313,0.372871
0.339552,0.279995
0.309701,0.300343
0.388060,0.319212
0.376866,0.400242
0.347015,0.364589
0.511194,0.327403
0.365672,0.470913
0.518657,0.436190
0.373134,0.493629
0.395522,0.302455
0.432836,0.360591
0.279851,0.387084
0.246269,0.317610
0.473881,0.377617
0.503731,0.475083
0.608209,0.492703
0.339552,0.459502
0.380597,0.337251
0.425373,0.313510
0.503731,0.496604
0.436567,0.443207
0.294776,0.388708
0.268657,0.287983
0.339552,0.325388
0.309701,0.366023
0.268657,0.343145
0.264925,0.335756
0.253731,0.319635
0.279851,0.364547
0.194030,0.322723
0.242537,0.259668
0.317164,0.278704
0.391791,0.337549
0.380597,0.401787
0.488806,0.374740
0.410448,0.452444
0.447761,0.458847
0.455224,0.405116
0.466418,0.422178
0.537313,0.390641
0.399254,0.442570
0.380597,0.387224
0.462687,0.413855
0.522388,0.438953
0.328358,0.348125
0.328358,0.376986
0.451493,0.365385
0.473881,0.454438
0.399254,0.436904
0.347015,0.372617
0.380597,0.337206
0.414179,0.392650
0.492537,0.419177
0.626866,0.424650
0.500000,0.450991
0.494403,0.415875
0.559701,0.607835
0.447761,0.456034
0.802239,0.400151
0.630597,0.561377
0.485075,0.538133
0.402985,0.436550
0.393657,0.400543
0.544776,0.390819
0.559701,0.471828
0.589552,0.482087
0.391791,0.461203
0.458955,0.400251
0.451493,0.409249
0.585821,0.441765
0.589552,0.511433
0.425373,0.534345
0.600746,0.403619
0.522388,0.517558
0.705224,0.491805
0.619403,0.591209
0.440299,0.539639
0.421642,0.417900
0.358209,0.421259
0.518657,0.398223
0.309701,0.424534
0.447761,0.356297
0.425373,0.448847
0.350746,0.444524
0.570896,0.431412
0.309701,0.287291
0.257463,0.314815
0.455224,0.321728
0.444030,0.452833
0.432836,0.448826
0.429104,0.430984
0.507463,0.435449
0.455224,0.495134
0.447761,0.454144
0.490672,0.445180
0.555970,0.491096
0.794776,0.529614
0.652985,0.677334
0.597015,0.554723
0.305970,0.445063
0.414179,0.384293
0.917910,0.457471
0.664179,0.704511
0.417910,0.558632
0.395522,0.431630
0.522388,0.430456
0.514925,0.458580
0.365672,0.523651
0.320896,0.387010
0.410448,0.375313
0.395522,0.437816
0.343284,0.415390
0.212687,0.399645
0.242537,0.304749
0.279851,0.324163
0.291045,0.379768
0.429104,0.400363
0.320896,0.433343
0.417910,0.365024
0.496269,0.429467
0.324627,0.474416
