REAL,ESTIMATE
0.197761,0.271158
0.283582,0.230382
0.212687,0.264570
0.257463,0.236333
0.309701,0.258248
0.257463,0.368456
0.179104,0.301698
0.268657,0.207121
0.208955,0.272786
0.272388,0.234510
0.302239,0.280960
0.235075,0.274506
0.130597,0.231455
0.250000,0.173064
0.201493,0.246805
0.201493,0.206139
0.287313,0.214284
0.205224,0.247721
0.182836,0.226562
0.179104,0.228587
0.205224,0.216062
0.253731,0.218146
0.237873,0.227509
0.185634,0.247512
0.235075,0.222196
0.227612,0.240770
0.261194,0.244736
0.208955,0.257815
0.261194,0.232446
0.182836,0.251885
0.246269,0.206004
0.279851,0.256137
0.250000,0.271172
0.235075,0.265770
0.238806,0.243623
0.257463,0.243890
0.308728,0.252558
0.090526,0.275963
0.000000,0.180929
0.000000,0.145498
0.022388,0.154327
0.000000,0.161288
0.000000,0.161910
0.059701,0.144761
0.242537,0.161059
0.309701,0.237694
0.264925,0.278404
0.235075,0.257065
0.298507,0.244735
0.276119,0.269270
0.257463,0.292297
0.253731,0.265255
0.227612,0.238826
0.261194,0.245560
0.149254,0.251098
0.319030,0.199238
0.313433,0.288406
0.347015,0.296765
0.313433,0.323952
0.261194,0.300648
0.339552,0.275928
0.305970,0.308314
0.395522,0.286318
0.384328,0.357197
0.238806,0.314275
0.324627,0.232987
0.246269,0.280889
0.182836,0.231373
0.264925,0.206134
0.231343,0.238852
0.279851,0.237030
0.328358,0.256087
0.201493,0.350995
0.339552,0.258874
0.317164,0.284921
0.319030,0.282963
0.440299,0.279467
0.402985,0.323223
0.376866,0.306209
0.300373,0.301858
0.182836,0.270329
0.179104,0.220317
0.212687,0.187676
0.257463,0.253243
0.298507,0.286977
0.276119,0.306914
0.182836,0.298639
0.320896,0.226288
0.276119,0.368584
0.335821,0.304758
0.227612,0.305025
0.179104,0.229437
0.287313,0.177313
0.253731,0.258946
0.279851,0.213221
0.332090,0.189541
0.182836,0.212254
0.208955,0.174982
0.182836,0.213587
0.253731,0.234109
0.322761,0.252692
0.298507,0.281905
0.276119,0.286771
0.341418,0.268823
0.361940,0.311356
0.328358,0.371237
0.268657,0.294435
0.294776,0.254234
0.458955,0.264694
0.358209,0.325630
0.354478,0.307033
0.565299,0.300580
0.417910,0.427232
0.414179,0.327293
0.328358,0.261040
0.294776,0.307925
0.305970,0.275414
0.261194,0.285597
0.272388,0.271037
0.287313,0.259238
0.272388,0.282025
0.328358,0.310168
0.369403,0.315322
0.399254,0.337755
0.305970,0.291777
0.320896,0.267336
0.268657,0.251832
0.410448,0.242056
0.361940,0.344419
0.361940,0.314705
0.347015,0.411836
0.339552,0.325790
0.511194,0.299609
0.350746,0.408870
0.324627,0.310386
