E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.8,5,0.504155,0.384039,0.105728,0.107661
10,3,0.8,6,0.518608,0.395103,0.104176,0.106690
10,3,0.8,7,0.508648,0.363534,0.105248,0.109438
10,3,0.8,8,0.553477,0.304026,0.100332,0.114440
10,3,0.8,9,0.542539,0.321932,0.101554,0.112958
10,3,0.8,10,0.551792,0.331753,0.100521,0.112137
10,3,0.8,11,0.560904,0.323214,0.099494,0.112852
10,3,0.8,12,0.567171,0.351799,0.098782,0.110443
10,3,0.8,13,0.553924,0.325664,0.100282,0.112647
10,3,0.8,14,0.539924,0.315786,0.101843,0.113469
10,3,0.8,15,0.612959,0.392599,0.093411,0.106910
