REAL,ESTIMATE
0.684182,0.460126
0.385699,0.426103
0.410076,0.391444
0.494583,0.453513
0.380823,0.480000
0.136511,0.307085
0.130553,0.196888
0.333694,0.257145
0.540087,0.441876
0.324485,0.431641
0.249187,0.348315
0.196641,0.345570
0.312026,0.266396
0.355905,0.313990
0.436078,0.413101
0.467497,0.395616
0.360238,0.426625
0.473456,0.386793
0.586674,0.441999
0.541712,0.385058
0.291983,0.436798
0.413868,0.346416
0.508667,0.422416
0.382449,0.465379
0.494583,0.377092
0.492416,0.565048
0.751896,0.460114
0.837486,0.826366
0.885157,0.885218
0.754063,0.670396
0.633261,0.707194
0.536295,0.517182
0.234561,0.335538
0.567714,0.376863
0.736186,0.482960
0.171181,0.316247
0.248646,0.267920
0.238895,0.320044
0.462622,0.313712
0.232394,0.442010
0.319610,0.357583
0.488624,0.361868
0.634345,0.401770
0.252438,0.399145
0.371073,0.298269
0.366739,0.339212
0.331528,0.320628
0.406284,0.271063
0.395450,0.379191
0.485374,0.416843
0.328277,0.382151
0.265980,0.391270
0.387866,0.256120
0.321235,0.252054
0.381907,0.359255
0.353196,0.351938
0.502167,0.387647
0.533044,0.450259
0.368906,0.456433
0.457205,0.376912
0.243770,0.341201
0.560672,0.344428
0.655471,0.512926
0.626761,0.410588
0.492416,0.502957
0.228602,0.248285
0.247021,0.322007
0.133803,0.203196
0.317443,0.297718
0.549296,0.402761
0.511918,0.521638
0.529794,0.389876
0.495125,0.484259
0.664680,0.492946
0.485915,0.603443
0.520585,0.432222
0.373239,0.449203
0.418743,0.441241
0.624594,0.346914
0.455038,0.549873
0.301192,0.432652
0.164139,0.356240
0.249339,0.276604
0.354670,0.360298
0.499458,0.416757
0.582882,0.479288
0.691224,0.565440
0.629469,0.524940
0.247562,0.576386
0.228061,0.329220
0.239437,0.354549
0.309859,0.387160
0.239437,0.357911
0.335320,0.346163
0.185807,0.393512
0.287649,0.311119
0.111051,0.314573
0.229686,0.252177
0.214518,0.283653
0.205850,0.323218
0.386782,0.319490
0.489707,0.326908
0.078548,0.302138
0.124594,0.183747
0.256230,0.223651
0.203142,0.368201
0.225352,0.233015
0.373781,0.241165
0.501083,0.396599
0.386241,0.364793
0.443120,0.332386
0.420368,0.405812
0.209642,0.300956
0.342362,0.291570
0.333153,0.406269
0.282774,0.409052
0.170639,0.221831
0.193933,0.183524
0.212351,0.277823
0.301192,0.301942
0.285753,0.386603
0.478332,0.331087
0.395450,0.342184
0.273564,0.272891
0.567714,0.263575
0.284399,0.420402
0.129469,0.199371
0.187432,0.210619
0.306609,0.306658
0.335320,0.293993
0.149512,0.251459
0.372156,0.272535
0.394366,0.273875
0.377031,0.266308
0.259480,0.414477
0.216143,0.253485
0.172264,0.287470
0.143012,0.247489
0.293608,0.234798
0.308776,0.295569
0.239978,0.222092
0.109967,0.278799
0.226977,0.241076
0.230769,0.337390
0.144095,0.198011
0.234020,0.175693
0.183640,0.283053
0.210184,0.174163
0.190683,0.224092
0.187974,0.263372
0.092091,0.217283
0.124052,0.179897
0.213434,0.219560
0.264355,0.223669
0.159263,0.199173
0.241062,0.146004
0.215060,0.226397
0.347779,0.226658
0.171723,0.270175
0.248104,0.213303
0.191224,0.249383
0.204767,0.216939
0.141928,0.206902
0.110509,0.200955
0.123510,0.188221
0.085049,0.182687
0.088841,0.172261
0.125135,0.176775
0.112676,0.174685
0.102925,0.155505
0.161972,0.168318
0.089382,0.177178
0.040628,0.149618
0.068256,0.130741
0.011918,0.150892
0.105092,0.118832
0.179307,0.133992
0.061755,0.171808
0.000000,0.116525
0.055255,0.107854
0.145720,0.140284
0.082882,0.140757
0.065005,0.116367
0.119989,0.135164
0.106176,0.136026
0.009209,0.114221
0.016251,0.104624
0.063922,0.100582
0.097508,0.099467
0.248646,0.112269
0.322319,0.143096
0.134345,0.168362
0.067172,0.126203
0.062839,0.114252
0.143012,0.106814
0.159805,0.122323
0.273564,0.140224
0.292524,0.187042
0.229144,0.186667
0.222102,0.155530
0.295775,0.168007
0.135428,0.202422
0.301733,0.150570
0.365655,0.237860
0.246479,0.288177
0.131636,0.204430
0.144637,0.187881
0.248646,0.199714
0.225894,0.210093
0.180390,0.213809
0.161430,0.211488
0.238353,0.199619
0.379740,0.213201
0.249187,0.303086
0.245937,0.224112
0.422535,0.233682
0.267064,0.336248
0.184182,0.261944
0.172264,0.187004
0.274106,0.207282
0.213434,0.232236
0.225352,0.221885
0.152763,0.263873
0.117551,0.203206
0.259480,0.179152
0.327736,0.285748
0.445287,0.277569
0.245937,0.320099
0.143554,0.241111
0.191224,0.199545
0.264355,0.238047
0.329090,0.225830
0.302817,0.250407
0.411701,0.268509
0.373781,0.338174
0.334778,0.313890
0.366197,0.316446
0.234832,0.201155
0.186620,0.228675
0.456663,0.255423
0.330444,0.375887
0.190683,0.243916
0.228061,0.157889
0.416576,0.312577
0.181473,0.412508
0.200975,0.275165
0.323402,0.257109
0.160888,0.222901
0.217226,0.154951
0.078007,0.232067
0.236728,0.215804
0.399242,0.212628
0.550379,0.340427
0.518418,0.484201
0.366197,0.423606
0.213434,0.150089
0.304442,0.225962
0.131094,0.244029
0.231311,0.211932
0.399242,0.266254
0.248646,0.386345
0.406826,0.269314
0.575298,0.426461
0.458830,0.539990
0.453954,0.405837
