REAL,ESTIMATE
0.244312,0.171096
0.177681,0.228710
0.146804,0.201915
0.213976,0.159982
0.204767,0.201609
0.157638,0.199753
0.400867,0.170364
0.349404,0.314765
0.210184,0.269120
0.137053,0.177496
0.148429,0.189901
0.143554,0.191415
0.074756,0.169612
0.115926,0.185744
0.217768,0.185162
0.351571,0.190576
0.321235,0.263923
0.128927,0.252246
0.250813,0.166043
0.112134,0.237630
0.205850,0.180081
0.219935,0.193085
0.276273,0.201992
0.248104,0.220436
0.054713,0.200676
0.166306,0.168703
0.114301,0.201229
0.171181,0.176031
0.166847,0.200677
0.198267,0.200459
0.180932,0.186989
0.118093,0.180665
0.315005,0.163616
0.310401,0.245660
0.175515,0.260274
0.099133,0.202770
0.221018,0.170429
0.239978,0.201472
0.231311,0.183294
0.401950,0.208720
0.447974,0.309253
0.300108,0.308162
0.284962,0.256226
0.371614,0.267840
0.235645,0.302827
0.219935,0.215096
0.208559,0.256111
0.083424,0.254277
0.151679,0.169711
0.147346,0.197564
0.136511,0.214853
0.120260,0.187167
0.217226,0.191562
0.395991,0.231991
0.433369,0.263663
0.439328,0.259845
0.339653,0.290811
0.109967,0.261142
0.168472,0.187987
0.167931,0.202081
0.159805,0.217325
0.331528,0.208967
0.521127,0.283683
0.683099,0.425924
0.622427,0.531058
0.543879,0.553032
0.414410,0.476828
0.442308,0.385416
0.467497,0.422567
0.403034,0.407332
0.374323,0.392441
0.256230,0.373051
0.184182,0.316146
0.273564,0.244092
0.309859,0.345522
0.125677,0.362393
0.200433,0.251721
0.212351,0.286778
0.143012,0.265876
0.280065,0.209614
0.435536,0.279294
0.407367,0.383371
0.566089,0.365323
0.634886,0.496914
0.645720,0.497089
0.304984,0.482201
0.141928,0.284952
0.103467,0.301460
0.186349,0.264783
0.312568,0.300999
0.427411,0.353659
0.272481,0.354662
0.300108,0.257438
0.299567,0.373080
0.269231,0.329647
0.323402,0.307416
0.257855,0.321709
0.171181,0.322199
0.230228,0.188688
0.299025,0.230834
0.404659,0.265940
0.312026,0.332010
0.193933,0.329031
0.202059,0.265372
0.184182,0.232429
0.115385,0.227917
0.200433,0.201287
0.400867,0.247195
0.349404,0.363554
0.354821,0.315593
0.479957,0.348103
0.343445,0.483930
0.154388,0.327239
0.257855,0.217584
0.285482,0.258514
0.308776,0.235899
0.479415,0.212380
0.601300,0.382267
0.627844,0.530761
0.423077,0.625241
0.243770,0.485568
0.327736,0.307977
0.439328,0.316940
0.444745,0.345387
0.257313,0.391997
0.119718,0.308804
0.125135,0.249316
0.387324,0.246547
0.443120,0.450154
0.456121,0.408750
0.420910,0.394503
0.449621,0.376590
0.443662,0.361083
0.341278,0.332278
0.207476,0.280373
0.291983,0.287485
0.146804,0.309363
0.239978,0.262812
0.455580,0.278754
0.441224,0.388923
0.392199,0.394486
