E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.8,5,0.747771,0.593671,0.085660,0.090137
10,3,0.8,6,0.757374,0.636655,0.084014,0.085236
10,3,0.8,7,0.764828,0.642117,0.082713,0.084593
10,3,0.8,8,0.769353,0.620096,0.081914,0.087157
10,3,0.8,9,0.779464,0.630712,0.080098,0.085930
10,3,0.8,10,0.781069,0.653184,0.079806,0.083275
10,3,0.8,11,0.789471,0.637200,0.078260,0.085172
10,3,0.8,12,0.794007,0.684832,0.077412,0.079384
10,3,0.8,13,0.800791,0.629317,0.076127,0.086092
10,3,0.8,14,0.814206,0.619130,0.073519,0.087267
10,3,0.8,15,0.818488,0.640190,0.072667,0.084820
