REAL,ESTIMATE
0.043292,0.120994
0.143239,0.096711
0.111705,0.122786
0.041154,0.103202
0.084447,0.089578
0.251203,0.109390
0.267237,0.165867
0.152325,0.159291
0.074826,0.142224
0.157135,0.118787
0.206307,0.120400
0.271513,0.160274
0.216996,0.202406
0.178514,0.176490
0.106360,0.159744
0.116515,0.138788
0.196152,0.137686
0.166221,0.180111
0.145911,0.164435
0.183324,0.155675
0.261892,0.175685
0.151256,0.209039
0.171566,0.156337
0.273116,0.174091
0.314805,0.211781
0.298771,0.226749
0.199359,0.234629
0.118653,0.218302
0.121325,0.162072
0.173704,0.174160
0.150722,0.194314
0.139498,0.179630
0.284874,0.191232
0.195083,0.273738
0.217531,0.199744
0.337787,0.206231
0.275788,0.269525
0.291288,0.225694
0.177445,0.250987
0.279530,0.226074
0.236237,0.246650
0.187066,0.227196
0.077499,0.231335
0.456440,0.161154
0.456440,0.372846
0.506146,0.376622
0.581507,0.423545
0.380545,0.443456
0.338856,0.329698
0.253875,0.269885
0.352218,0.296202
0.361304,0.339238
0.375200,0.352023
0.590593,0.380328
0.530198,0.504908
0.368787,0.390985
0.242651,0.341475
0.342063,0.317329
0.607696,0.344805
0.375200,0.507051
0.492785,0.394665
0.246927,0.455080
0.258685,0.272179
0.312667,0.275882
0.290219,0.317171
0.414751,0.360317
0.419027,0.415276
0.463389,0.460839
0.450027,0.401466
0.299305,0.351420
0.318546,0.277682
0.305719,0.365982
0.299305,0.333070
0.097274,0.104702
0.391769,0.230505
0.378407,0.379607
0.337253,0.354617
0.374131,0.366376
0.293960,0.367995
0.364511,0.364020
0.420096,0.347340
0.618386,0.442675
0.595767,0.614385
0.608936,0.477738
0.572956,0.531064
0.441475,0.487425
0.414217,0.401428
0.347408,0.450509
0.456440,0.441618
0.404062,0.471484
0.475147,0.399174
0.396579,0.412393
0.521112,0.377174
0.536611,0.486791
0.428113,0.520951
0.402459,0.437134
0.484768,0.475716
0.416889,0.522716
0.590059,0.443051
0.509888,0.599286
0.383752,0.485157
0.394441,0.402851
0.712988,0.437384
0.654730,0.674932
0.734367,0.657041
0.905933,0.702342
0.557990,0.675777
0.423570,0.556833
0.468733,0.485527
0.567611,0.531462
0.397648,0.605466
0.430786,0.459025
0.490647,0.471110
0.494388,0.487155
0.471406,0.423334
0.541956,0.451640
0.524319,0.570772
0.590059,0.572761
0.882416,0.751170
1.000000,0.741524
0.833779,0.751962
0.613041,0.670124
0.808658,0.570436
0.747728,0.586565
0.225013,0.518822
0.384821,0.367187
0.588455,0.444821
0.513629,0.496077
0.447354,0.376704
0.459647,0.412695
0.532336,0.432600
0.338856,0.498444
0.381080,0.298485
0.256013,0.363424
0.404062,0.447237
0.591128,0.553506
0.648316,0.714022
0.732229,0.528947
0.456440,0.510077
0.729556,0.595509
0.640299,0.508040
0.508284,0.399093
0.468733,0.479197
0.404062,0.435685
0.449492,0.385085
0.358632,0.445295
0.417958,0.420315
0.501336,0.395857
0.450561,0.469473
0.332443,0.450568
0.628541,0.392725
0.607696,0.611622
0.456708,0.563374
0.562266,0.582486
0.648316,0.538242
0.285409,0.329093
0.407803,0.374177
0.323356,0.433550
0.385890,0.418881
0.575094,0.388285
0.401390,0.476632
0.139498,0.155960
0.375200,0.239442
0.807590,0.504578
0.642437,0.607400
0.463923,0.503747
0.585783,0.498409
0.622127,0.542662
0.466595,0.535163
0.331374,0.478726
0.346873,0.424828
0.305184,0.408697
0.406200,0.388368
0.261892,0.288134
0.115981,0.261619
0.184393,0.220941
0.184393,0.294983
0.179049,0.294722
0.557990,0.547024
0.704971,0.557693
0.523784,0.544300
0.491716,0.462627
0.319081,0.432121
0.224479,0.308355
0.366649,0.259035
0.435061,0.385238
0.446285,0.454586
0.464458,0.445496
0.481026,0.390881
0.347942,0.375908
0.162480,0.288333
0.282202,0.297178
0.421165,0.337770
0.289150,0.406305
0.270978,0.359426
0.477285,0.332653
0.244254,0.385067
0.191876,0.275579
0.298771,0.265393
0.303046,0.340339
0.141101,0.159996
0.207910,0.235101
0.120257,0.296202
0.139498,0.159941
0.122394,0.180439
0.405131,0.282231
0.342598,0.374823
0.320684,0.284235
0.247996,0.283314
0.330839,0.257424
0.213789,0.283283
0.257616,0.224646
0.233565,0.281195
0.280599,0.246097
0.298771,0.284118
0.239979,0.261575
0.181721,0.253482
0.174773,0.185780
0.239444,0.231725
0.260823,0.259024
0.339391,0.275442
0.327098,0.333184
0.349546,0.306949
0.432924,0.300186
0.272582,0.340573
0.252272,0.264925
0.148584,0.263331
0.230358,0.249514
0.277392,0.271074
0.378942,0.295558
0.260289,0.339762
0.155265,0.257273
0.142704,0.202413
0.188669,0.220114
0.297702,0.239164
0.242651,0.317688
0.221272,0.292952
0.225414,0.256990
0.274051,0.222654
0.163014,0.208215
0.165152,0.202992
0.283271,0.231246
0.216462,0.287084
0.083378,0.248765
0.174773,0.161935
0.198290,0.200934
0.143239,0.207588
0.242651,0.189775
0.171032,0.250973
0.287547,0.210753
0.209514,0.254995
0.169428,0.250243
0.135756,0.203246
0.221807,0.170619
0.204169,0.230236
0.248530,0.213067
0.208445,0.253631
0.231962,0.231531
0.174238,0.232396
0.187600,0.185387
0.227686,0.220216
0.140567,0.224292
0.079637,0.192738
0.192410,0.169192
0.069482,0.218352
0.110102,0.147306
0.158739,0.170421
0.114377,0.199901
0.122929,0.146527
0.138429,0.164367
0.214858,0.189094
0.202031,0.191411
