REAL,ESTIMATE
0.365580,0.496355
0.568680,0.361497
0.667023,0.487041
0.517370,0.489515
0.417424,0.445158
0.509353,0.298693
0.368787,0.498188
0.350615,0.301898
0.306788,0.383187
0.520577,0.356159
0.554784,0.501252
0.382683,0.479213
0.196152,0.367402
0.233030,0.297501
0.363976,0.343457
0.263495,0.428707
0.326563,0.285012
0.508284,0.333308
0.452165,0.404832
0.433993,0.417085
0.386959,0.417067
0.335649,0.486349
0.334046,0.287004
0.314270,0.357220
0.359701,0.383018
0.294495,0.384265
0.347942,0.338180
0.297702,0.348350
0.324425,0.325792
0.320150,0.348489
0.257616,0.371249
0.351149,0.275534
0.328167,0.345230
0.275788,0.311999
0.310529,0.313488
0.336184,0.319518
0.308391,0.333889
0.270978,0.297978
0.428113,0.287144
0.252806,0.399500
0.195827,0.267972
0.404062,0.235941
0.446076,0.393031
0.350615,0.398250
0.384821,0.331321
0.280599,0.357901
0.307857,0.311128
0.367718,0.293015
0.295029,0.361138
0.210048,0.297211
0.307857,0.203734
0.470337,0.315697
0.260823,0.422409
0.162480,0.285206
0.145377,0.211388
0.133618,0.212968
0.265633,0.185828
0.312667,0.291416
0.271513,0.333098
0.161411,0.231427
0.167825,0.190199
0.182790,0.266790
0.133084,0.218920
0.157670,0.112059
0.197221,0.006390
0.187066,0.172034
0.331374,0.241423
0.273383,0.308303
0.190807,0.261867
0.264564,0.174951
0.183859,0.250449
0.238910,0.195474
0.292892,0.217897
0.207376,0.299251
0.137360,0.224094
0.269909,0.191061
0.204169,0.292359
0.182790,0.227344
0.196152,0.195786
0.130412,0.226546
0.033137,0.159011
0.093800,0.138480
0.130946,0.189876
0.129343,0.178682
0.135756,0.142697
0.204169,0.173482
0.233565,0.195275
0.260823,0.181229
0.130946,0.216666
0.069482,0.156923
0.020310,0.133061
0.112774,0.113926
0.076964,0.160716
0.060930,0.145985
0.080706,0.137410
0.011224,0.144922
0.106895,0.112907
0.155532,0.143910
0.085516,0.149803
0.067344,0.106396
0.061464,0.092702
0.054516,0.125142
0.120791,0.100539
0.113843,0.133159
0.146446,0.139200
0.257616,0.123864
0.189204,0.164970
0.051309,0.149980
0.013896,0.097072
0.080171,0.109056
0.012827,0.126627
0.085516,0.093682
0.160342,0.124179
0.130412,0.151457
0.144308,0.102915
0.111705,0.122565
0.011758,0.132499
0.004810,0.079745
0.000000,0.091891
0.001603,0.104540
0.148049,0.079739
0.129877,0.122573
0.056120,0.123880
0.010155,0.077667
0.142170,0.097163
0.241048,0.126440
0.188669,0.109432
0.027793,0.127314
0.020844,0.105420
0.030465,0.082354
0.020310,0.094725
0.020310,0.103237
0.052913,0.092251
0.158204,0.106353
0.206307,0.117854
0.143773,0.098440
0.227686,0.098487
0.160342,0.126871
0.030999,0.103335
0.024319,0.092840
0.065740,0.108416
