E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,5,0.8,5,0.476983,0.237104,0.042754,0.035613
10,5,0.8,6,0.508658,0.125367,0.041439,0.038132
10,5,0.8,7,0.570733,0.425412,0.038733,0.030907
10,5,0.8,8,0.625202,-1.219023,0.036192,0.060738
10,5,0.8,9,0.619505,0.400674,0.036466,0.031565
10,5,0.8,10,0.216630,-0.312475,0.052324,0.046712
10,5,0.8,11,0.312616,-0.206954,0.049013,0.044795
10,5,0.8,12,0.570095,0.136262,0.038762,0.037894
10,5,0.8,13,0.703501,-4.379539,0.032190,0.094570
10,5,0.8,14,0.722014,-1.225333,0.031169,0.060824
10,5,0.8,15,0.555567,0.264715,0.039411,0.034963
