REAL,ESTIMATE
0.098836,0.091547
0.137134,0.102350
0.035809,0.124799
0.053874,0.068972
0.128784,0.065643
0.109113,0.118507
0.178402,0.103511
0.203774,0.161308
0.310076,0.202742
0.298193,0.388003
0.267363,0.289649
0.220233,0.253719
0.211321,0.218089
0.149418,0.204128
0.049940,0.122013
0.112405,0.073989
0.158651,0.097216
0.074348,0.119293
0.057808,0.081272
0.051425,0.081055
0.073143,0.074356
0.061020,0.080293
0.061903,0.072741
0.081815,0.069964
0.069450,0.080725
0.089603,0.068352
0.112324,0.088256
0.160899,0.106179
0.173505,0.178778
0.108711,0.158563
0.214853,0.159556
0.232276,0.228655
0.110317,0.137793
0.054597,0.058207
0.099719,0.099674
0.141309,0.120461
0.095705,0.121640
0.092894,0.082984
0.115697,0.107479
0.134444,0.131238
0.193095,0.117541
0.094741,0.152825
0.071216,0.096729
0.124368,0.093204
0.129506,0.115218
0.111521,0.108361
0.111441,0.094242
0.037094,0.080793
0.076275,0.059423
0.064793,0.072801
0.113127,0.063491
0.095865,0.087657
0.116419,0.078790
0.118667,0.098555
0.119149,0.108128
0.136612,0.100312
0.140988,0.103226
0.124127,0.117650
0.133521,0.126464
0.270092,0.241957
0.151265,0.152053
0.123806,0.128122
0.092734,0.127214
0.074107,0.092934
0.094956,0.088910
0.101110,0.076891
0.173826,0.108540
0.203131,0.119923
0.133842,0.156114
0.114091,0.108167
0.049297,0.097088
0.016941,0.076184
0.022039,0.080171
0.049619,0.081875
0.092573,0.102175
0.151746,0.069444
0.042955,0.101179
0.067282,0.078188
0.064151,0.065004
0.068165,0.071548
0.079566,0.097336
0.062304,0.088315
0.076997,0.087635
0.073464,0.079983
0.051385,0.089882
0.079165,0.098948
0.172782,0.090197
0.147330,0.141992
0.092975,0.093002
0.100161,0.084206
0.134645,0.075341
0.110237,0.101473
0.109755,0.113424
0.141148,0.105924
0.102128,0.105721
0.091449,0.096569
0.144601,0.083764
0.122280,0.115218
0.085106,0.098455
0.147812,0.105929
0.304055,0.121446
0.324689,0.291850
0.232517,0.267909
0.135126,0.163847
