REAL,ESTIMATE
41.000000,47.105436
57.000000,42.630837
60.000000,57.814555
46.000000,60.474342
53.000000,46.214641
50.000000,54.370932
65.000000,51.780944
63.000000,65.301587
63.000000,62.571565
60.000000,64.136418
65.000000,61.091243
93.000000,67.090947
110.000000,99.421708
142.000000,119.300240
151.000000,154.972443
157.000000,160.226595
144.000000,168.436361
175.000000,155.883326
201.000000,190.479316
179.000000,211.555078
183.000000,189.374035
178.000000,192.844329
196.000000,186.091101
169.000000,210.163820
169.000000,177.512580
173.000000,176.883574
152.000000,184.051936
140.000000,161.373086
143.000000,146.244743
165.000000,153.707248
164.000000,185.339606
164.000000,191.549064
179.000000,185.881419
151.000000,204.800821
115.000000,169.051939
75.000000,121.223433
63.000000,74.686148
60.000000,63.504168
83.000000,63.705853
99.000000,89.582014
77.000000,106.697920
92.000000,82.798135
123.000000,97.926570
151.000000,126.679093
145.000000,148.006146
141.000000,137.322503
152.000000,132.305376
159.000000,148.637464
140.000000,159.782892
127.000000,134.845136
118.000000,120.540098
133.000000,111.519015
112.000000,127.479998
84.000000,102.403124
64.000000,75.495303
66.000000,60.592041
66.000000,63.917200
92.000000,61.458434
82.000000,82.876594
79.000000,74.046298
76.000000,73.842042
78.000000,68.513529
71.000000,67.683200
52.000000,62.193449
45.000000,49.370816
44.000000,42.221842
56.000000,44.924423
50.000000,55.244859
46.000000,52.283430
38.000000,49.008119
45.000000,43.392661
45.000000,48.330433
44.000000,46.196554
45.000000,44.270231
42.000000,46.241719
44.000000,44.448999
43.000000,44.996759
45.000000,44.042045
52.000000,45.444785
63.000000,49.912502
58.000000,55.236506
49.000000,52.300614
53.000000,47.450600
48.000000,48.698679
54.000000,43.179475
55.000000,46.759574
73.000000,48.048562
75.000000,61.602511
69.000000,63.400636
74.000000,58.509941
73.000000,60.948019
77.000000,61.467898
85.000000,63.167797
92.000000,70.234681
99.000000,75.824568
100.000000,85.117306
100.000000,87.552249
115.000000,86.073487
101.000000,99.983713
89.000000,89.186190
85.000000,77.863082
91.000000,76.272760
105.000000,83.332105
135.000000,98.067677
132.000000,128.537461
118.000000,127.519837
89.000000,114.187297
97.000000,83.838944
113.000000,88.788781
129.000000,105.592313
111.000000,124.589431
90.000000,107.167645
98.000000,87.702427
120.000000,95.944251
131.000000,120.282959
137.000000,130.781477
143.000000,136.053278
157.000000,146.239596
167.000000,165.936187
159.000000,176.990593
153.000000,164.819001
137.000000,159.161075
129.000000,140.958164
144.000000,131.928445
146.000000,150.599565
133.000000,153.711218
129.000000,139.786135
148.000000,134.769485
153.000000,154.916719
144.000000,160.928398
140.000000,147.842189
160.000000,143.847364
172.000000,171.977194
186.000000,188.968657
232.000000,205.586101
236.000000,267.876951
242.000000,274.314941
238.000000,284.898242
218.000000,273.787539
201.000000,247.407199
178.000000,233.348113
168.000000,204.531615
163.000000,191.870319
152.000000,197.957853
132.000000,185.980203
133.000000,160.411354
144.000000,158.589576
131.000000,168.084668
134.000000,149.995327
139.000000,149.585499
155.000000,153.111843
149.000000,177.983015
151.000000,170.982938
158.000000,169.038878
160.000000,177.217866
170.000000,179.867742
234.000000,186.386120
296.000000,268.137397
252.000000,354.256147
185.000000,295.596634
118.000000,202.004456
94.000000,124.626227
86.000000,103.264280
78.000000,95.441355
60.000000,86.742378
55.000000,78.029865
56.000000,82.963681
54.000000,78.267555
50.000000,66.926173
53.000000,56.051306
57.000000,56.175048
55.000000,58.372418
56.000000,57.140666
62.000000,60.697652
57.000000,68.794550
65.000000,62.665293
72.000000,64.146572
64.000000,65.158537
77.000000,58.876585
75.000000,67.728845
65.000000,67.335059
65.000000,62.398696
52.000000,64.502946
