REAL,ESTIMATE
0.775676,0.764851
0.594595,0.543111
0.413514,0.403489
0.516216,0.338950
0.435135,0.424420
0.759459,0.742256
0.632432,0.582128
0.489189,0.381389
0.359459,0.355794
0.240541,0.305681
0.178378,0.353261
0.381081,0.249340
0.213514,0.314148
0.329730,0.246954
0.302703,0.289040
0.202703,0.267455
0.121622,0.199570
0.118919,0.162508
0.143243,0.185927
0.189189,0.201178
0.318919,0.207452
0.256757,0.294058
0.129730,0.241902
0.064865,0.175089
0.113514,0.130578
0.129730,0.105236
0.140541,0.190463
0.124324,0.189106
0.135135,0.172659
0.148649,0.169180
0.200000,0.170722
0.389189,0.257059
0.451351,0.295908
0.156757,0.185275
0.200000,0.163139
0.445946,0.245891
0.432541,0.413646
0.681514,0.423612
0.847568,0.807580
0.995135,0.987959
0.564865,0.545410
0.464865,0.391302
0.454054,0.458450
0.375676,0.509983
0.362162,0.458436
0.048649,0.200454
0.467568,0.412358
0.656757,0.626067
0.140541,0.192703
0.175676,0.178465
0.159459,0.121798
0.291892,0.200978
0.178378,0.216711
0.237838,0.184053
0.329730,0.247973
0.240541,0.257966
0.137838,0.236859
0.218919,0.185885
0.424324,0.242582
0.478378,0.406122
0.256757,0.354930
0.221622,0.276483
0.294595,0.253553
0.186486,0.305750
0.143243,0.230745
0.416216,0.187918
0.524324,0.273382
0.386486,0.367243
0.324324,0.300932
0.289189,0.291049
0.464865,0.317352
0.429730,0.440127
0.227027,0.310546
0.102703,0.250546
0.348649,0.215513
0.327027,0.359942
0.383784,0.320629
0.294595,0.322598
0.108108,0.229734
0.181081,0.180706
0.156757,0.225043
0.367568,0.226715
0.405405,0.353871
0.167568,0.291765
0.156757,0.204728
0.256757,0.185404
0.281081,0.284715
0.270270,0.287356
0.405405,0.240150
0.431081,0.321622
0.513514,0.354836
0.267568,0.392289
0.175676,0.289687
0.137838,0.245238
0.156757,0.200324
0.307784,0.226894
0.273297,0.307136
0.554054,0.412284
0.418919,0.358883
0.397297,0.276846
0.359459,0.352973
0.124324,0.337052
0.064865,0.229050
0.064865,0.155055
0.100000,0.175280
0.340541,0.194031
0.370270,0.336260
0.148649,0.272157
0.291892,0.160828
0.178378,0.227279
0.291892,0.226905
0.300000,0.312992
0.151351,0.314808
0.275676,0.222582
0.208108,0.263755
0.145946,0.254216
0.310811,0.216910
0.594595,0.500560
0.524324,0.464620
0.237838,0.353341
0.481081,0.255109
0.624324,0.439316
0.397297,0.505720
0.510811,0.416738
0.240541,0.247525
0.197297,0.258896
0.248649,0.279974
0.378378,0.314868
0.327027,0.341617
0.243243,0.296389
0.213514,0.221704
0.464865,0.231819
0.408108,0.364853
0.477027,0.401526
