REAL,ESTIMATE
0.386486,0.294991
0.343243,0.313124
0.281081,0.263593
0.332432,0.277885
0.340541,0.313469
0.267568,0.339014
0.248649,0.253899
0.275676,0.236248
0.335135,0.276762
0.467568,0.327745
0.364865,0.339427
0.345946,0.266362
0.413514,0.301552
0.259459,0.339503
0.259459,0.318068
0.329730,0.241764
0.345946,0.261298
0.324324,0.331057
0.297297,0.332079
0.248649,0.279645
0.197297,0.277964
0.194595,0.254490
0.243243,0.224894
0.248649,0.254716
0.270270,0.291828
0.221622,0.262389
0.194595,0.255375
0.194595,0.245213
0.194595,0.215404
0.172973,0.215996
0.200000,0.206276
0.229730,0.220048
0.216216,0.232626
0.235135,0.238276
0.304054,0.239133
0.213514,0.261955
0.162162,0.219725
0.132432,0.190466
0.208108,0.173350
0.213514,0.232567
0.313514,0.222503
0.248649,0.263095
0.240541,0.233361
0.259459,0.259548
0.251351,0.244635
0.267568,0.261667
0.254054,0.266427
0.205405,0.239491
0.213514,0.218193
0.197297,0.253573
0.194595,0.231119
0.194595,0.228555
0.235135,0.215767
0.289189,0.221612
0.245946,0.249591
0.240541,0.243869
0.324324,0.235514
0.240541,0.283796
0.275676,0.250882
0.251351,0.261207
0.235135,0.249909
0.232432,0.252814
0.216216,0.244835
0.351351,0.230361
0.354054,0.306227
0.462162,0.288777
0.408108,0.330457
0.332432,0.304995
0.375676,0.301910
0.385135,0.336965
0.435135,0.385425
0.397297,0.327317
0.300000,0.209230
0.354054,0.234943
0.283784,0.318571
0.256757,0.299073
0.278378,0.228478
0.259459,0.239379
0.316216,0.304413
0.321622,0.324157
0.270270,0.341294
0.329730,0.276824
0.351351,0.293866
0.472973,0.346031
0.491892,0.391792
0.545946,0.376279
0.427027,0.410051
0.275676,0.327424
0.227027,0.259142
0.240541,0.286934
0.251351,0.344866
0.297297,0.264988
0.294595,0.326029
0.259459,0.360884
0.262162,0.308599
0.264865,0.270545
0.343243,0.250409
0.302703,0.317458
0.286486,0.332694
0.262162,0.313833
0.259459,0.290583
0.413514,0.288551
0.386486,0.328854
0.321622,0.277622
0.264865,0.265893
0.310811,0.264472
0.270270,0.337382
0.375676,0.292435
0.305405,0.227587
0.278378,0.247268
0.200000,0.282441
0.318919,0.257139
0.251351,0.297021
0.270270,0.263265
0.170270,0.245519
0.218919,0.195174
0.321622,0.286470
0.283784,0.306131
0.302703,0.270130
0.332432,0.249063
0.316216,0.274657
0.245946,0.308525
0.227027,0.267702
0.183784,0.224324
0.240541,0.217600
0.202703,0.249757
0.235135,0.233046
0.208108,0.279781
0.135135,0.247546
0.245946,0.182933
0.264865,0.232920
0.267568,0.260886
0.243243,0.244701
0.251351,0.200747
0.275676,0.256525
0.459459,0.275429
0.264865,0.381759
0.335135,0.258725
0.194595,0.292347
0.194595,0.214498
0.335135,0.283326
0.272973,0.312194
0.340541,0.229015
