E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,3,0.8,5,0.431344,0.340234,0.114110,0.136707
11,3,0.8,6,0.455850,0.360850,0.111625,0.134555
11,3,0.8,7,0.500676,0.197521,0.106928,0.150770
11,3,0.8,8,0.480779,0.160269,0.109038,0.154229
11,3,0.8,9,0.514587,0.055530,0.105428,0.163565
11,3,0.8,10,0.496093,-0.105096,0.107418,0.176928
11,3,0.8,11,0.504403,0.074490,0.106528,0.161915
11,3,0.8,12,0.422579,0.303782,0.114987,0.140433
11,3,0.8,13,0.555529,0.081312,0.100884,0.161317
11,3,0.8,14,0.549768,0.230222,0.101536,0.147666
11,3,0.8,15,0.601039,0.028782,0.095580,0.165865
