REAL,ESTIMATE
0.341287,0.368946
0.306881,0.263276
0.349612,0.242166
0.309310,0.299311
0.498689,0.325989
0.485498,0.338781
0.472306,0.428421
0.459114,0.400879
0.445923,0.302234
0.432731,0.213401
0.419539,0.286632
0.406347,0.304738
0.393156,0.377613
0.379964,0.405557
0.366772,0.297732
0.353581,0.251494
0.340389,0.332541
0.448391,0.313065
0.488236,0.410947
0.478436,0.399836
0.468635,0.194900
0.458835,0.014862
0.449035,0.322215
0.439234,0.437998
0.429434,0.376312
0.419633,0.389730
0.409833,0.293537
0.400032,0.336110
0.390232,0.356936
0.380432,0.365480
0.370631,0.356931
0.360831,0.332535
0.351030,0.311726
0.341230,0.294458
0.331429,0.249816
0.484284,0.316018
0.423973,0.402101
0.311321,0.388645
0.474473,0.333567
0.543285,0.390620
0.533296,0.401523
0.492231,0.372934
0.534961,0.381153
0.357381,0.431144
0.392342,0.314935
0.332963,0.377845
0.149279,0.344816
0.198113,0.245340
0.210877,0.296650
0.225305,0.306201
0.199778,0.283549
0.300777,0.277314
0.550499,0.331779
0.642064,0.455744
0.639290,0.522110
0.548835,0.482547
0.187569,0.424444
0.237514,0.280205
0.209212,0.307270
0.216426,0.267046
0.398446,0.272149
0.591565,0.365239
0.847947,0.545694
0.719201,0.746236
0.708102,0.787927
0.532741,0.658263
0.674251,0.439116
0.619589,0.514767
0.615982,0.439134
0.578246,0.402684
0.413984,0.426157
0.315205,0.453099
0.335738,0.387148
0.397891,0.404347
0.234739,0.413949
0.310211,0.329913
0.303552,0.369769
0.206437,0.330065
0.376249,0.282301
0.602109,0.367867
0.610433,0.480849
0.713651,0.498005
0.878468,0.579391
0.845172,0.677562
0.324639,0.648145
0.132630,0.377234
0.138735,0.258416
0.304661,0.195982
0.432297,0.295526
0.650388,0.327266
0.278024,0.402747
0.288568,0.306802
0.434517,0.311685
0.376249,0.376922
0.425638,0.352483
0.384018,0.369874
0.209767,0.382542
0.291343,0.269797
0.504440,0.343098
0.562708,0.478223
0.413430,0.477090
0.257492,0.380442
0.288013,0.325115
0.265261,0.270709
0.194784,0.329914
0.286349,0.305999
0.471698,0.323353
0.459489,0.352266
0.491121,0.344465
0.659822,0.471977
0.420644,0.539030
0.241398,0.400486
0.410100,0.317887
0.394007,0.387609
0.448391,0.330809
0.791898,0.288204
0.834628,0.747879
0.896781,0.665405
0.738624,0.753736
0.364595,0.563101
0.367925,0.387515
0.583241,0.378238
0.667037,0.420255
0.416204,0.409009
0.192009,0.328669
0.207547,0.328714
0.614872,0.354404
0.679245,0.528576
0.772475,0.505720
0.654828,0.552876
0.632630,0.474069
0.682020,0.511332
0.518313,0.589378
0.291343,0.394788
0.398446,0.297546
0.220311,0.330277
0.335183,0.332651
0.668147,0.317730
0.609323,0.480221
0.560488,0.467683
