REAL,ESTIMATE
0.522198,0.417759
0.347947,0.530974
0.128191,0.389698
0.126526,0.275955
0.327969,0.288324
0.553274,0.372148
0.243063,0.428181
0.247503,0.338896
0.214761,0.246499
0.286349,0.256495
0.272475,0.309139
0.382908,0.304839
0.457825,0.354874
0.325194,0.421317
0.494451,0.424394
0.632630,0.448327
0.544950,0.435313
0.212542,0.279968
0.339623,0.322723
0.463374,0.377896
0.494451,0.326918
0.610988,0.454169
0.638735,0.518514
0.799112,0.510483
0.841287,0.813395
0.809656,0.663018
0.661487,0.587151
0.586016,0.533579
0.483907,0.450376
0.243618,0.471087
0.504994,0.328601
0.639845,0.394834
0.144839,0.501729
0.216981,0.298492
0.206437,0.302949
0.369034,0.296555
0.195893,0.363284
0.301332,0.289331
0.446171,0.333965
0.597669,0.363550
0.164262,0.433347
0.326304,0.267267
0.283019,0.302730
0.315760,0.291515
0.311876,0.296033
0.324362,0.327530
0.379578,0.306625
0.317425,0.355136
0.244173,0.381567
0.382353,0.309137
0.381243,0.333371
0.462819,0.416865
0.354606,0.409661
0.484462,0.397499
0.557159,0.398297
0.332963,0.446802
0.444506,0.337391
0.192009,0.432040
0.524417,0.311697
0.617647,0.470641
0.622087,0.411018
0.530522,0.522609
0.235849,0.288326
0.266371,0.273675
0.123751,0.308228
0.258047,0.233622
0.500000,0.352614
0.485572,0.401449
0.502775,0.474691
0.485572,0.513538
0.711432,0.538913
0.525527,0.735913
0.463374,0.394331
0.369034,0.419931
0.379023,0.365802
0.455050,0.304901
0.404550,0.492193
0.252497,0.392479
0.138735,0.338385
0.361820,0.285044
0.452830,0.439818
0.482242,0.471852
0.522752,0.445035
0.663152,0.558460
0.679245,0.587675
0.174806,0.211355
0.110433,0.282838
0.134295,0.279596
0.274695,0.296527
0.274140,0.336116
0.344617,0.334431
0.159267,0.349745
0.277469,0.281796
0.098224,0.363886
0.248613,0.200222
0.236959,0.264937
0.220866,0.281488
0.427858,0.301523
0.407325,0.375790
0.009434,0.360385
0.138180,0.179341
0.287458,0.261695
0.285239,0.370940
0.211987,0.283022
0.327969,0.288716
0.463929,0.363347
0.331299,0.456430
0.483352,0.361578
0.487236,0.407484
0.236959,0.329335
0.366260,0.242446
0.335738,0.370714
0.258602,0.369485
0.134850,0.301867
0.138735,0.254368
0.169811,0.219620
0.281354,0.236496
0.352386,0.298502
0.443396,0.302422
0.413430,0.358896
0.423418,0.375823
0.513319,0.460706
0.145394,0.356520
0.067703,0.178339
0.095450,0.189489
0.188124,0.224142
0.329634,0.254934
0.151498,0.337311
0.302997,0.263340
0.284129,0.376759
0.297447,0.244840
0.228080,0.310317
0.205882,0.225903
0.165927,0.254074
0.096004,0.162400
0.266926,0.211582
0.339623,0.306956
0.230855,0.298283
0.145949,0.300473
0.239179,0.253552
0.147059,0.293451
0.152608,0.178826
0.250832,0.204910
0.209212,0.265873
0.262486,0.198118
0.257492,0.234420
0.208657,0.251227
0.111543,0.233603
0.129301,0.188694
0.274140,0.223188
0.268868,0.284537
0.165372,0.282244
0.149279,0.232934
0.205882,0.159137
0.384018,0.185436
0.182575,0.311373
0.284684,0.218867
0.300777,0.263130
0.137625,0.188139
0.170921,0.173263
0.167592,0.196790
0.175361,0.225759
0.145394,0.201332
0.126526,0.208848
0.192009,0.203118
0.164262,0.183323
0.160377,0.187067
0.196448,0.187280
0.154828,0.218205
0.149279,0.184560
0.204772,0.170455
0.069922,0.195134
0.238624,0.148829
0.306881,0.246598
0.131521,0.258738
0.059378,0.197481
0.133740,0.160883
0.314095,0.159581
0.201998,0.232750
0.224750,0.214660
0.206437,0.242407
0.129856,0.200941
0.007769,0.150806
0.000000,0.088765
0.168147,0.157157
0.176471,0.210600
0.321310,0.205628
0.431743,0.276528
0.074362,0.339415
0.021643,0.126516
