E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,3,0.8,5,0.608715,0.584765,0.094874,0.090160
11,3,0.8,6,0.609188,0.583249,0.094817,0.090325
11,3,0.8,7,0.637027,0.559150,0.091378,0.092899
11,3,0.8,8,0.632668,0.556382,0.091925,0.093191
11,3,0.8,9,0.649225,0.558172,0.089829,0.093002
11,3,0.8,10,0.666069,0.522312,0.087646,0.096703
11,3,0.8,11,0.661216,0.539555,0.088280,0.094942
11,3,0.8,12,0.673131,0.558031,0.086714,0.093017
11,3,0.8,13,0.688867,0.520239,0.084601,0.096913
11,3,0.8,14,0.697144,0.547138,0.083468,0.094157
11,3,0.8,15,0.692780,0.543515,0.084067,0.094532
