REAL,ESTIMATE
0.508508,0.309633
0.509162,0.365604
0.437827,0.374705
0.353730,0.359293
0.286448,0.297098
0.269763,0.320175
0.272251,0.346532
0.274740,0.337456
0.277228,0.326047
0.279716,0.299396
0.282204,0.306544
0.284692,0.322542
0.287181,0.260080
0.289669,0.291587
0.292157,0.280063
0.294645,0.324399
0.297133,0.346141
0.576571,0.315457
0.440717,0.424297
0.442495,0.389664
0.444273,0.384980
0.446051,0.333151
0.447829,0.458105
0.449607,0.434265
0.451385,0.487811
0.453164,0.426580
0.454942,0.427240
0.456720,0.441445
0.458498,0.447952
0.460276,0.454943
0.462054,0.445331
0.463832,0.438341
0.465610,0.423947
0.467389,0.327328
0.469167,0.360649
0.373975,0.354925
0.227749,0.363583
0.488874,0.355659
0.308246,0.412769
0.402487,0.467872
0.270288,0.392106
0.264398,0.575020
0.325262,0.374989
0.354058,0.421051
0.253927,0.394082
0.323298,0.351915
0.405759,0.382183
0.364529,0.473283
0.260471,0.445976
0.310864,0.321581
0.514398,0.393500
0.262435,0.407480
0.157068,0.317440
0.125000,0.262144
0.106021,0.214411
0.262435,0.186272
0.347513,0.337244
0.315445,0.359219
0.174738,0.359220
0.186518,0.229227
0.231348,0.276375
0.189791,0.255764
0.174738,0.250530
0.221859,0.234400
0.185209,0.195276
0.362565,0.217748
0.231021,0.357885
0.200916,0.242685
0.240183,0.152217
0.188482,0.348282
0.263089,0.223245
0.323298,0.234016
0.261126,0.327755
0.211387,0.260313
0.349476,0.218418
0.264398,0.339117
0.251963,0.258497
0.274869,0.234387
0.176047,0.311216
0.044503,0.222036
0.132853,0.150061
0.189791,0.229606
0.159686,0.209990
0.175720,0.190485
0.422775,0.155282
0.425393,0.327748
0.376309,0.290290
0.170157,0.319836
0.107984,0.229411
0.041230,0.187070
0.269634,0.161203
0.290576,0.263440
0.107330,0.238623
0.113220,0.141527
0.047775,0.208140
0.145288,0.183037
0.232984,0.130907
0.132199,0.241785
0.058901,0.174235
0.074607,0.116785
0.121728,0.193975
0.202880,0.209389
0.162304,0.187975
0.193063,0.162952
0.318063,0.160748
0.265052,0.191389
0.095550,0.213758
0.053665,0.132406
0.113874,0.116373
0.025524,0.165253
0.182592,0.098581
0.202225,0.182010
0.137435,0.190601
0.180628,0.136546
0.135471,0.189856
0.012435,0.150801
0.024215,0.094887
0.028141,0.133156
0.001309,0.130830
0.210079,0.097897
0.259817,0.188813
0.081806,0.210679
0.001963,0.095288
0.158377,0.113784
0.283377,0.174420
0.210079,0.135858
0.011126,0.152805
0.019634,0.102967
0.019634,0.107923
0.014398,0.122962
0.030759,0.107209
0.043194,0.095495
0.150524,0.088313
0.248037,0.131396
0.186518,0.156507
0.259817,0.156565
0.185209,0.178847
0.029450,0.149253
0.064136,0.102711
0.060209,0.119126
