REAL,ESTIMATE
0.022906,0.127002
0.053665,0.113496
0.289921,0.128472
0.321662,0.176549
0.167539,0.181565
0.049738,0.151910
0.228403,0.120075
0.212696,0.157875
0.290576,0.164139
0.252618,0.195065
0.242801,0.189122
0.132853,0.178723
0.106021,0.156534
0.233639,0.146827
0.166885,0.185407
0.089660,0.169472
0.202552,0.156634
0.363874,0.186188
0.224476,0.235018
0.215969,0.199711
0.210733,0.204311
0.213351,0.179673
0.194372,0.182269
0.113220,0.191667
0.115183,0.189006
0.117801,0.168508
0.221204,0.177067
0.163613,0.199101
0.136780,0.163627
0.304974,0.175847
0.220550,0.248364
0.276832,0.192571
0.413285,0.216552
0.326571,0.290377
0.351440,0.242815
0.228403,0.251184
0.331152,0.220645
0.270288,0.240873
0.193717,0.233334
0.066099,0.230298
0.475785,0.167046
0.437173,0.323012
0.539267,0.332954
0.554319,0.338492
0.412304,0.361848
0.293194,0.328728
0.275524,0.242805
0.316099,0.295261
0.340314,0.318613
0.348168,0.309880
0.515707,0.350671
0.437173,0.386719
0.323298,0.332492
0.196990,0.331734
0.253272,0.271043
0.617801,0.266666
0.301047,0.509161
0.520942,0.351005
0.221204,0.467680
0.252618,0.294457
0.281414,0.314806
0.225785,0.290074
0.383508,0.281325
0.397251,0.363844
0.496073,0.414939
0.501963,0.450769
0.314791,0.416577
0.263089,0.328887
0.301047,0.307611
0.272906,0.301620
0.049084,0.311584
0.366492,0.234682
0.409031,0.388042
0.346859,0.426588
0.395288,0.370136
0.429319,0.380439
0.374346,0.382838
0.426047,0.323754
0.676047,0.432983
0.509817,0.562486
0.467277,0.394520
0.619110,0.437425
0.441427,0.461257
0.420812,0.346266
0.316754,0.386531
0.459424,0.376715
0.494110,0.394542
0.596204,0.469178
0.414267,0.528787
0.507853,0.408536
0.545157,0.462218
0.452880,0.523067
0.401832,0.429402
0.535340,0.451394
0.413613,0.571192
0.636780,0.443548
0.518979,0.553362
0.295157,0.336217
0.428010,0.342204
0.828534,0.808438
0.649215,0.669458
0.736257,0.553580
0.920812,0.661246
0.572644,0.689200
0.435864,0.505696
0.466623,0.467768
0.573298,0.449445
0.351440,0.537287
0.344241,0.363075
0.409031,0.403065
0.396597,0.264827
0.326571,0.283798
0.403141,0.448703
0.439136,0.390237
0.571335,0.488981
0.965969,0.638125
1.000000,0.811303
0.707461,0.790293
0.556283,0.581663
0.678665,0.443622
0.511126,0.425230
0.150524,0.440826
0.367147,0.337584
0.504581,0.445739
0.520942,0.497900
0.470550,0.390189
0.376309,0.456181
0.414921,0.447823
0.298429,0.450583
0.331152,0.434908
0.192408,0.478176
0.327880,0.369516
0.534686,0.484399
0.617147,0.573035
0.777487,0.649795
0.446990,0.576606
0.593586,0.452579
0.672775,0.447206
0.493455,0.481546
0.506545,0.480078
0.443063,0.465584
0.443717,0.429613
0.372382,0.402353
0.422775,0.412682
0.493455,0.452043
0.411649,0.526660
0.333115,0.441288
0.685209,0.434074
0.689136,0.639685
0.464660,0.645519
0.600458,0.557310
0.666230,0.532448
0.346204,0.507162
0.441099,0.409719
0.290576,0.423119
0.341623,0.381763
0.619110,0.382338
0.301047,0.352470
0.119110,0.212699
0.319372,0.232977
0.803010,0.791401
0.642016,0.692777
0.392670,0.596222
0.609293,0.443767
0.610602,0.529877
0.517016,0.467597
0.276178,0.466716
0.329188,0.377840
0.249346,0.358627
0.384817,0.354872
0.225785,0.242743
0.065445,0.261558
0.120419,0.243597
0.164267,0.265250
0.132853,0.262313
0.621073,0.496258
0.857330,0.619485
0.487565,0.682187
0.535995,0.434269
0.293194,0.426210
0.183901,0.273634
0.243455,0.246582
0.269634,0.305847
0.267670,0.321689
0.196335,0.291036
0.429974,0.275619
0.356675,0.367693
0.101440,0.296828
0.368455,0.249742
0.563482,0.349235
0.371073,0.400399
0.295157,0.394656
0.626309,0.392510
0.213351,0.427526
0.272251,0.266096
0.312173,0.337285
0.315445,0.296981
0.159686,0.279669
0.251309,0.245003
0.166230,0.337250
0.140052,0.202178
0.138743,0.207462
0.465969,0.253807
0.363220,0.340574
0.336387,0.340117
0.322644,0.373013
0.454843,0.309186
0.303665,0.340232
0.328534,0.324003
0.305628,0.300197
0.273560,0.286470
0.286649,0.269346
0.341623,0.303009
0.226440,0.318335
0.180628,0.249178
0.274869,0.232668
0.297775,0.301889
0.313482,0.298942
0.380890,0.328576
0.388743,0.373234
0.530105,0.363653
0.285995,0.389501
0.323953,0.311920
0.185864,0.308831
0.321990,0.257195
0.308901,0.319136
0.346859,0.310896
0.305628,0.328218
0.134817,0.310929
0.198953,0.220922
0.177356,0.255100
0.313482,0.243889
0.289921,0.309538
0.243582,0.314787
0.439664,0.298561
0.305628,0.368176
0.262435,0.318062
0.221859,0.284784
0.367147,0.261654
0.267016,0.311816
0.126309,0.276987
0.229712,0.216403
0.304319,0.273691
0.203534,0.288385
0.365183,0.229503
0.306283,0.318031
0.508508,0.285015
0.319372,0.393131
0.221204,0.329469
0.157723,0.257902
0.300393,0.226269
0.355366,0.311208
0.421466,0.319300
0.282723,0.335243
0.407723,0.306664
0.246073,0.343449
0.272251,0.252310
0.393325,0.287783
0.224476,0.345783
0.123691,0.257123
0.263743,0.221689
0.073953,0.294063
0.218586,0.215095
0.291885,0.256573
0.165576,0.311993
0.145942,0.204135
0.200262,0.208193
0.268325,0.274889
0.289267,0.252366
0.070608,0.257051
0.065518,0.199088
0.014398,0.145798
0.206152,0.144228
0.325262,0.245559
0.513089,0.257774
0.263089,0.334828
0.100785,0.238091
0.134817,0.157217
0.184555,0.188682
0.121073,0.205713
0.003927,0.173735
0.210733,0.140683
0.071990,0.220818
0.127618,0.156294
0.301702,0.182459
0.268979,0.250969
0.094241,0.198588
0.127618,0.139346
0.079843,0.193210
0.187827,0.155790
0.151178,0.195391
0.053010,0.198302
0.081152,0.126468
0.100131,0.126430
0.107984,0.168783
0.092277,0.149523
