E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,6,0.8,5,0.634329,0.234152,0.033834,0.036811
10,6,0.8,6,0.671200,0.202171,0.032083,0.037572
10,6,0.8,7,0.665082,0.180517,0.032380,0.038079
10,6,0.8,8,0.654230,0.198025,0.032900,0.037670
10,6,0.8,9,0.596031,0.257002,0.035562,0.036258
10,6,0.8,10,0.648714,0.215453,0.033162,0.037258
10,6,0.8,11,0.702970,0.383683,0.030493,0.033023
10,6,0.8,12,0.760134,0.370223,0.027403,0.033381
10,6,0.8,13,0.685844,0.327880,0.031360,0.034485
10,6,0.8,14,0.763340,0.383136,0.027219,0.033037
10,6,0.8,15,0.725822,0.429481,0.029297,0.031772
