REAL,ESTIMATE
0.029984,0.058635
0.032150,0.047405
0.034317,0.053852
0.036483,0.057128
0.038649,0.061792
0.040815,0.055745
0.042981,0.059118
0.045148,0.057105
0.047314,0.057827
0.049480,0.053231
0.051646,0.056111
0.053812,0.055958
0.057627,0.060063
0.058214,0.054463
0.056998,0.057889
0.055781,0.055911
0.054565,0.058186
0.053349,0.059786
0.052133,0.064612
0.050916,0.063390
0.049700,0.063229
0.048484,0.059433
0.047267,0.061590
0.046051,0.060766
0.044835,0.059154
0.043618,0.057095
0.042402,0.056909
0.041186,0.056110
0.039970,0.055756
0.038753,0.049813
0.045915,0.051469
0.052906,0.054739
0.086114,0.057901
0.078301,0.068535
0.066987,0.068293
0.077161,0.066350
0.057382,0.068694
0.069510,0.062233
0.091161,0.065323
0.052580,0.077518
0.048104,0.063672
0.035813,0.056923
0.021244,0.053832
0.017825,0.049245
0.044034,0.049970
0.069429,0.059167
0.041673,0.064223
0.042080,0.056691
0.048592,0.054856
0.069998,0.053713
0.079114,0.061108
0.048022,0.072930
0.033534,0.061713
0.019046,0.050490
0.024174,0.044614
0.045784,0.046725
0.077242,0.056424
0.112242,0.073494
0.148177,0.082072
0.106381,0.087168
0.138206,0.071203
0.185007,0.080496
0.178740,0.100311
0.209914,0.085197
0.173531,0.024091
0.092666,0.061942
0.059092,0.071497
0.041511,0.064339
0.048348,0.064127
0.056406,0.075212
0.049324,0.079185
0.031418,0.069146
0.047534,0.056762
0.046069,0.055664
0.070405,0.053430
0.094742,0.073842
0.122579,0.082455
0.143985,0.099588
0.137229,0.098217
0.079684,0.089830
0.010663,0.068902
0.000000,0.051174
0.014976,0.045746
0.098486,0.053546
0.093033,0.076437
0.022872,0.081271
0.014814,0.056628
0.015628,0.050136
0.028406,0.048571
0.039720,0.053233
0.029302,0.066213
0.009523,0.059430
0.019046,0.043579
0.066987,0.045638
0.088312,0.055159
0.052824,0.065326
0.007244,0.057481
0.042732,0.040347
0.018720,0.043011
0.057871,0.042131
0.061533,0.061814
0.072277,0.070623
0.074963,0.074584
0.080824,0.066821
0.088393,0.064610
0.095068,0.058875
0.031092,0.067359
0.073173,0.048829
0.058278,0.074529
0.053638,0.061518
0.108742,0.050440
0.114276,0.064939
0.112649,0.082657
0.089126,0.090305
0.071545,0.083565
0.058196,0.068999
0.080905,0.054261
0.107521,0.063468
0.128927,0.081134
0.058196,0.085352
0.035732,0.075081
0.090916,0.054432
0.138654,0.068061
0.128683,0.081584
0.129253,0.080492
0.146101,0.082929
0.130636,0.117780
0.220739,0.096819
0.050708,0.062957
0.154159,0.063288
0.055348,0.100092
0.048348,0.070792
0.105486,0.071333
0.112649,0.059560
0.128520,0.089045
