REAL,ESTIMATE
0.289883,0.284696
0.231483,0.212097
0.190298,0.125881
0.193309,0.143743
0.139508,0.147408
0.049894,0.100574
0.099544,0.071284
0.135357,0.079896
0.070568,0.087181
0.051603,0.076476
0.045825,0.063441
0.066905,0.070299
0.053476,0.045252
0.055185,0.044465
0.069347,0.054383
0.055836,0.075668
0.084812,0.064175
0.099300,0.096576
0.146427,0.072367
0.158880,0.126132
0.097347,0.150224
0.189810,0.106105
0.210239,0.167887
0.100277,0.125719
0.049731,0.076104
0.090835,0.060005
0.131288,0.082369
0.090184,0.101739
0.081882,0.100562
0.101986,0.095908
0.123799,0.064545
0.170601,0.068365
0.082859,0.107096
0.062673,0.092095
0.105079,0.068521
0.108823,0.084584
0.099137,0.068021
0.104102,0.061262
0.032883,0.081651
0.069510,0.061349
0.057138,0.071347
0.102881,0.071392
0.077894,0.075401
0.118427,0.065293
0.106381,0.105115
0.106707,0.120126
0.128602,0.113137
0.120951,0.145245
0.105811,0.102924
0.120055,0.099174
0.255738,0.175651
0.122986,0.125354
0.108823,0.102728
0.079928,0.096666
0.062754,0.082804
0.095312,0.090527
0.096288,0.103883
0.147973,0.096650
0.176054,0.173570
0.103858,0.144105
0.088231,0.113287
0.043220,0.099796
0.011436,0.080511
0.015221,0.045252
0.042813,0.062064
0.076673,0.071883
0.136008,0.098481
0.039394,0.039393
0.060801,0.066314
0.053882,0.071717
0.062592,0.074521
0.071382,0.080780
0.057220,0.098139
0.067557,0.090801
0.051196,0.084940
0.043220,0.060681
0.066417,0.064693
0.149927,0.082670
0.132834,0.122782
0.085951,0.135594
0.086196,0.088396
0.111102,0.066833
0.082777,0.095700
0.096899,0.089715
0.119567,0.101915
0.089533,0.088282
0.076591,0.091759
0.126160,0.061521
0.114928,0.097861
0.073580,0.103213
0.136008,0.098354
0.281540,0.116601
0.292609,0.262563
0.210321,0.228419
0.115823,0.162873
0.189158,0.105016
0.147078,0.179231
0.135520,0.106328
0.031662,0.095670
0.026453,0.040526
0.028976,0.061164
0.039883,0.067888
0.051929,0.084081
0.045499,0.089304
0.067719,0.055387
0.050301,0.037459
0.031743,0.059672
0.039150,0.059922
0.089696,0.064786
0.056243,0.114814
0.064789,0.058498
0.028244,0.052371
0.154810,0.050320
0.108172,0.111904
0.077487,0.106263
0.093521,0.096395
0.049080,0.073231
0.040208,0.054722
0.056894,0.055659
0.065766,0.082615
0.085056,0.085938
0.077405,0.101814
0.050383,0.070104
0.054696,0.047307
0.048917,0.055857
0.051278,0.063892
0.071138,0.064765
0.138776,0.086937
0.043627,0.083435
0.027755,0.042038
0.047615,0.045120
0.034592,0.062251
0.053476,0.061448
0.042325,0.080090
0.022627,0.055774
0.051766,0.037851
0.102149,0.051355
0.117369,0.090217
0.087417,0.099965
0.123067,0.101454
0.145938,0.125733
0.076021,0.084427
0.029302,0.056675
0.017011,0.057747
0.062185,0.049841
0.082614,0.077074
0.077161,0.072212
0.026453,0.057562
0.026778,0.047531
0.017825,0.050184
0.019941,0.044361
0.059092,0.061118
0.137311,0.082604
0.114032,0.094632
0.065033,0.069701
0.041673,0.058879
0.045580,0.049152
0.020186,0.060769
0.012942,0.056722
0.007814,0.051777
0.014814,0.049204
0.080173,0.045668
0.069184,0.065270
0.066661,0.072064
0.029139,0.071920
0.025313,0.050470
0.014447,0.043772
0.034348,0.042503
0.108416,0.054543
0.120951,0.081291
0.039883,0.092859
0.052417,0.050899
0.065359,0.048817
0.048348,0.052032
0.012128,0.050463
0.028488,0.054563
0.050627,0.061595
0.024988,0.060053
0.109393,0.051592
0.117614,0.072972
0.095230,0.076926
0.065685,0.076011
0.017174,0.068027
0.010418,0.046670
0.030685,0.038373
0.048673,0.050297
0.036383,0.057892
0.040778,0.056260
0.049487,0.057556
0.028325,0.044661
0.005698,0.038222
0.019779,0.037762
