REAL,ESTIMATE
0.959410,0.939950
0.686347,0.650508
0.660517,0.641466
0.619926,0.648791
0.686347,0.555740
0.276753,0.581083
0.701107,0.579387
0.811808,0.539324
0.278598,0.398040
0.339483,0.496817
0.306273,0.437245
0.383764,0.466670
0.306273,0.431385
0.354244,0.405829
0.446494,0.387255
0.439114,0.517615
0.287823,0.293153
0.298893,0.436201
0.431734,0.441054
0.505535,0.527803
0.402214,0.442309
0.302583,0.351286
0.306273,0.269611
0.335793,0.305831
0.239852,0.372299
0.416974,0.358374
0.531365,0.423637
0.464945,0.524416
0.376384,0.450012
0.435424,0.406539
0.523985,0.469997
0.531365,0.514337
0.350554,0.481659
0.214022,0.349117
0.453875,0.319442
0.431734,0.448088
0.487085,0.559088
0.405904,0.506162
0.214022,0.415600
0.254613,0.279880
0.206642,0.325973
0.413284,0.346638
0.428044,0.388210
0.409594,0.411000
0.335793,0.418870
0.387454,0.530878
0.501845,0.457521
0.453875,0.436775
0.457565,0.433247
0.516605,0.456338
0.634686,0.524194
0.535055,0.560879
0.313653,0.496276
0.265683,0.409636
0.217712,0.329914
0.383764,0.294272
0.487085,0.395469
0.619926,0.622681
0.474170,0.569830
0.468635,0.472548
0.431734,0.432448
0.250923,0.390246
0.169742,0.329220
0.158672,0.259916
0.214022,0.274608
0.328413,0.310245
0.391144,0.359467
0.225092,0.420597
0.339483,0.326285
0.214022,0.353324
0.269373,0.258633
0.321033,0.303346
0.199262,0.332466
0.280443,0.325686
0.306273,0.319155
0.195572,0.327487
0.332103,0.336830
0.579336,0.379853
0.571956,0.498714
0.291513,0.522777
0.464945,0.328789
0.690037,0.475744
0.464945,0.633574
0.634686,0.426083
0.428044,0.594055
0.335793,0.441011
0.350554,0.417151
0.383764,0.375695
0.321033,0.375514
0.321033,0.327988
0.317343,0.351701
0.509225,0.437699
0.346863,0.429758
0.483395,0.377524
0.464945,0.381754
0.487085,0.372794
0.402214,0.463017
0.380074,0.429801
0.225092,0.354162
0.199262,0.256161
0.177122,0.194238
0.210332,0.248145
0.324723,0.286874
0.295203,0.390979
0.321033,0.339703
0.287823,0.329677
0.247232,0.317518
0.247232,0.286602
0.261993,0.297685
0.276753,0.407104
0.302583,0.302905
0.324723,0.342508
0.416974,0.315020
0.302583,0.397771
0.291513,0.358742
0.258303,0.338265
0.232472,0.268698
0.232472,0.268501
0.225092,0.233912
0.254613,0.303257
0.350554,0.328151
0.357934,0.362542
0.258303,0.367768
0.258303,0.330167
0.258303,0.329075
0.321033,0.281767
0.339483,0.295289
0.280443,0.368109
0.228782,0.328648
0.247232,0.333676
0.339483,0.300515
0.273063,0.341076
0.276753,0.368506
0.295203,0.346119
0.273063,0.286816
0.287823,0.303452
0.365314,0.370610
0.276753,0.368346
0.346863,0.330498
0.261993,0.338479
0.276753,0.306673
0.298893,0.301484
0.254613,0.297512
0.232472,0.270038
0.276753,0.237680
0.239852,0.274189
0.328413,0.292403
0.228782,0.324181
0.254613,0.297026
0.250923,0.293507
0.247232,0.281046
0.232472,0.267656
0.217712,0.237366
0.273063,0.247275
0.284133,0.294885
0.236162,0.288886
0.309963,0.272594
0.225092,0.286185
0.236162,0.270381
0.225092,0.240933
0.269373,0.235027
0.309963,0.261159
0.306273,0.281597
0.335793,0.297322
0.273063,0.334503
0.232472,0.255911
0.217712,0.280374
0.258303,0.254007
0.306273,0.252709
0.365314,0.279227
0.265683,0.324170
0.328413,0.280536
0.332103,0.309889
0.383764,0.321035
0.225092,0.353890
0.284133,0.236269
0.365314,0.256088
0.280443,0.315534
0.306273,0.288278
0.339483,0.318568
0.357934,0.299046
0.295203,0.336798
0.221402,0.303077
0.225092,0.280937
0.254613,0.242920
0.321033,0.268003
0.273063,0.329324
0.287823,0.264631
0.313653,0.287737
0.328413,0.330396
0.265683,0.329092
0.295203,0.277992
0.324723,0.271963
0.402214,0.299805
0.321033,0.340539
0.324723,0.315709
0.306273,0.308071
0.317343,0.313813
0.328413,0.315149
0.335793,0.323283
0.287823,0.312539
0.276753,0.316760
0.350554,0.292430
0.339483,0.376294
0.357934,0.342699
0.265683,0.343892
0.365314,0.283109
0.402214,0.347044
0.391144,0.366177
0.341269,0.353882
0.297107,0.316429
0.247232,0.279707
0.343173,0.285158
0.313653,0.332602
0.335793,0.320942
0.295203,0.303521
0.328413,0.310280
0.265683,0.332902
0.261993,0.295342
0.291513,0.295681
0.321033,0.308290
0.247232,0.325384
0.217712,0.285459
0.250923,0.253619
0.313653,0.283811
0.324723,0.306454
0.346863,0.319037
0.309963,0.322057
0.228782,0.296959
0.261993,0.259378
0.232472,0.294929
0.239852,0.251989
0.343173,0.256799
0.276753,0.305974
0.335793,0.294534
0.402214,0.330447
0.446494,0.380300
0.309963,0.392026
0.228782,0.280321
0.219557,0.260250
0.328413,0.254337
0.376384,0.301906
0.387454,0.358470
0.365314,0.345257
0.269373,0.344562
0.476971,0.304144
0.497198,0.434416
0.557196,0.439029
0.479705,0.472947
0.324723,0.387288
0.328413,0.318617
0.280443,0.329859
0.365314,0.311747
0.383764,0.345672
0.542435,0.349403
0.402214,0.490893
0.439114,0.406544
0.413284,0.456442
0.446494,0.420687
0.472325,0.398678
0.369004,0.420502
0.269373,0.337208
0.446494,0.290337
0.431734,0.423875
0.538745,0.428695
0.357934,0.510489
0.383764,0.399709
0.476015,0.385536
0.509225,0.466475
0.535055,0.466012
0.387454,0.469512
0.402214,0.351187
0.472325,0.378227
0.402214,0.442828
0.287823,0.423973
0.453875,0.342804
0.372694,0.458666
0.302583,0.396124
0.295203,0.353397
0.309963,0.345698
0.306273,0.328001
0.369004,0.327716
0.361624,0.363339
0.365314,0.379017
0.372694,0.335429
0.442804,0.365026
0.391144,0.421301
0.479705,0.378750
0.583026,0.452346
0.446494,0.492922
0.431734,0.412729
0.405904,0.406010
0.431734,0.377856
0.352399,0.362563
0.402214,0.361438
0.309963,0.375726
0.380074,0.335234
0.442804,0.388811
0.435424,0.429673
0.332103,0.381020
0.391144,0.346588
0.487085,0.393580
0.664207,0.440390
0.428044,0.553571
0.424354,0.385356
0.549815,0.389445
0.557196,0.469121
0.885609,0.527987
0.719557,0.649117
0.472325,0.627463
0.324723,0.405504
0.372694,0.334741
0.431734,0.388703
0.446494,0.384734
0.590406,0.406115
0.361624,0.458343
0.398524,0.399621
0.424354,0.451483
0.549815,0.407879
0.505535,0.460946
0.527675,0.459341
0.450185,0.504859
0.542435,0.405971
0.623616,0.484675
0.535055,0.529876
0.442804,0.494938
0.413284,0.534808
0.380074,0.437128
0.446494,0.374306
0.391144,0.400843
0.446494,0.376996
0.461255,0.392509
0.453875,0.428483
0.501845,0.448853
0.387454,0.401190
0.354244,0.408673
0.376384,0.365330
0.328413,0.372138
0.409594,0.356506
0.398524,0.424346
0.398524,0.370756
0.350554,0.387443
0.439114,0.368100
0.507380,0.425688
0.579336,0.550446
0.682657,0.530227
0.531365,0.547982
0.531365,0.451380
0.284133,0.421618
0.372694,0.314655
0.870849,0.365116
0.678967,0.629687
0.405904,0.510548
0.420664,0.416086
0.428044,0.378523
0.557196,0.402499
0.291513,0.478943
0.369004,0.347434
0.387454,0.362272
0.398524,0.375237
0.387454,0.441423
0.309963,0.386493
0.302583,0.342734
0.284133,0.315154
0.369004,0.356554
0.516605,0.391612
0.328413,0.459897
0.309963,0.350568
0.376384,0.345223
0.391144,0.488059
0.446494,0.430297
0.409594,0.398742
0.284133,0.381841
0.306273,0.311914
0.428044,0.314184
0.527675,0.527487
0.656827,0.461560
0.431734,0.573128
0.273063,0.362848
0.442804,0.309166
0.369004,0.408115
0.420664,0.377283
0.380074,0.416916
0.590406,0.378877
0.583026,0.507518
0.789668,0.486837
0.446494,0.560045
0.442804,0.502082
0.571956,0.487239
0.996310,0.452949
0.468635,0.600384
0.343173,0.395170
0.339483,0.356287
0.357934,0.364598
0.487085,0.381790
0.516605,0.517888
0.490775,0.419816
0.424354,0.412946
0.498155,0.383641
0.457565,0.455413
0.332103,0.412424
0.339483,0.368474
0.346863,0.366573
0.317343,0.382033
0.243542,0.405499
0.302583,0.274730
0.280443,0.322044
0.276753,0.319733
0.461255,0.479933
0.490775,0.426367
0.468635,0.454389
0.361624,0.408686
0.247232,0.357957
0.214022,0.339546
0.431734,0.277903
0.369004,0.399922
0.369004,0.367668
0.420664,0.434087
0.306273,0.400899
0.273063,0.338351
0.527675,0.367670
0.575646,0.414183
0.483395,0.488333
0.505535,0.440643
0.533407,0.453821
0.867708,0.466923
0.805527,0.823608
0.501845,0.591386
0.398524,0.448737
0.387454,0.398846
0.583026,0.382322
0.468635,0.473820
0.343173,0.439693
0.324723,0.361417
0.413284,0.366990
0.453875,0.478680
0.472325,0.431814
0.520295,0.431337
0.416974,0.491342
0.439114,0.383990
0.350554,0.366192
0.361624,0.380279
0.468635,0.356254
0.383764,0.429564
0.461255,0.384449
0.450185,0.491870
0.461255,0.424090
0.435424,0.418413
0.332103,0.398424
0.346863,0.336483
0.540590,0.342464
0.512915,0.488645
0.461255,0.463830
0.439114,0.425939
0.457565,0.382811
0.413284,0.413187
0.387454,0.403605
0.442804,0.369551
0.590406,0.400339
0.453875,0.496008
0.409594,0.389889
0.527675,0.395235
0.464945,0.432930
0.300738,0.485083
0.409594,0.329712
0.324723,0.385716
0.309963,0.342500
0.339483,0.348815
0.439114,0.367052
0.357934,0.406341
0.413284,0.366291
0.383764,0.419148
0.376384,0.396425
0.350554,0.371232
0.309963,0.347830
0.335793,0.330670
0.452030,0.390419
0.468635,0.429882
0.287823,0.411741
0.287823,0.320681
0.416974,0.296855
0.287823,0.418618
0.553506,0.339237
0.439114,0.447119
0.500000,0.393319
0.492620,0.463392
0.394834,0.437517
0.402214,0.374658
0.428044,0.373256
0.428044,0.395975
0.435424,0.384813
0.361624,0.421703
0.394834,0.362022
0.317343,0.375898
0.402214,0.350071
0.431734,0.395568
0.387454,0.389477
0.391144,0.383281
0.273063,0.374199
0.265683,0.318029
0.313653,0.323590
0.346863,0.331934
0.265683,0.339226
0.287823,0.305858
0.332103,0.347636
0.309963,0.341546
0.254613,0.325951
0.254613,0.324278
0.273063,0.298062
0.265683,0.281331
0.239852,0.307965
0.280443,0.278984
0.339483,0.313054
0.332103,0.363650
0.298893,0.346506
0.273063,0.303902
0.273063,0.295629
0.321033,0.323226
0.343173,0.324293
0.276753,0.369270
0.276753,0.295241
0.302583,0.306361
0.339483,0.331001
0.298893,0.345828
0.383764,0.311294
0.332103,0.382012
0.324723,0.340485
0.339483,0.339126
0.309963,0.350094
0.298893,0.316503
0.339483,0.308987
0.354244,0.356594
0.424354,0.361946
0.383764,0.363700
0.354244,0.355209
0.343173,0.345044
0.343173,0.327515
0.309963,0.350580
0.273063,0.325993
0.265537,0.295849
