REAL,ESTIMATE
0.242446,0.318314
0.221402,0.299361
0.200358,0.284710
0.179314,0.260662
0.158270,0.224748
0.137226,0.201650
0.116181,0.198582
0.095137,0.191435
0.074093,0.151252
0.053049,0.151835
0.032005,0.148433
0.010961,0.120389
0.003690,0.081208
0.000000,0.068389
0.000000,0.064802
0.000000,0.067955
0.000000,0.067320
0.000000,0.064950
0.000000,0.081207
0.000000,0.092779
0.000000,0.073415
0.000000,0.060243
0.000000,0.061704
0.000000,0.082772
0.000000,0.091757
0.000000,0.065212
0.000000,0.078697
0.000000,0.117302
0.000000,0.136674
0.000000,0.124090
0.066421,0.140237
0.129151,0.173744
0.236162,0.237321
0.143911,0.324849
0.151292,0.216426
0.191882,0.210007
0.132841,0.253214
0.173432,0.221581
0.147601,0.243959
0.099631,0.237445
0.088561,0.177853
0.051661,0.161230
0.044280,0.134801
0.044280,0.116314
0.154982,0.105725
0.214022,0.177840
0.121771,0.206862
0.125461,0.155257
0.221402,0.148918
0.184502,0.198047
0.221402,0.180076
0.195572,0.206785
0.143911,0.183338
0.066421,0.155794
0.070111,0.117006
0.199262,0.112448
0.177122,0.194813
0.376384,0.179399
0.306273,0.291367
0.217712,0.254159
0.250923,0.199371
0.302583,0.218392
0.302583,0.247511
0.291513,0.265230
0.202952,0.271374
0.291513,0.210033
0.158672,0.268396
0.088561,0.211438
0.143911,0.132600
0.136531,0.167737
0.191882,0.169804
0.177122,0.202948
0.169742,0.169025
0.221402,0.168619
0.228782,0.225777
0.365314,0.236244
0.405904,0.367495
0.490775,0.357948
0.330258,0.386856
0.092251,0.310759
0.025830,0.166157
0.000000,0.103173
0.059041,0.067483
0.107011,0.106571
0.132841,0.165013
0.095941,0.142634
0.022140,0.102428
0.095941,0.046715
0.140221,0.103694
0.125461,0.147024
0.107011,0.145615
0.055351,0.135960
0.070111,0.086088
0.254613,0.098000
0.221402,0.258802
0.147601,0.242209
0.073801,0.216652
0.110701,0.125976
0.095941,0.108836
0.225092,0.086971
0.195572,0.194047
0.247232,0.185999
0.199262,0.224023
0.321033,0.231608
0.239852,0.295490
0.306273,0.232886
0.177122,0.275594
0.232472,0.189997
0.276753,0.217832
0.273063,0.246120
0.350554,0.241014
0.435424,0.303099
0.380074,0.355546
0.321033,0.318003
0.184502,0.275290
0.107011,0.182960
0.173432,0.137161
0.199262,0.179726
0.298893,0.212007
0.217712,0.268057
0.107011,0.229144
0.273063,0.165027
0.276753,0.300120
0.269373,0.278385
0.298893,0.267194
0.280443,0.252824
0.324723,0.254865
0.542435,0.301237
0.265683,0.417758
0.372694,0.275649
0.191882,0.324288
0.195572,0.212477
0.365314,0.202526
0.332103,0.308169
0.391144,0.287013
