REAL,ESTIMATE
0.433333,0.303738
0.379167,0.364079
0.237500,0.322090
0.237500,0.252844
0.266667,0.277897
0.329167,0.291039
0.295833,0.341069
0.341667,0.304911
0.350000,0.336747
0.241667,0.319966
0.119792,0.252707
0.198958,0.226399
0.241667,0.260789
0.366667,0.285520
0.337500,0.352058
0.312500,0.352829
0.316667,0.328828
0.291667,0.295865
0.312500,0.277784
0.266667,0.293295
0.341667,0.280513
0.366667,0.339424
0.216667,0.358852
0.229167,0.267375
0.200000,0.257333
0.200000,0.237574
0.237500,0.247574
0.341667,0.265862
0.266667,0.347497
0.241667,0.317416
0.358333,0.279949
0.268750,0.327266
0.229167,0.262025
0.195833,0.251638
0.258333,0.238802
0.312500,0.294969
0.395833,0.312139
0.445833,0.348707
0.400000,0.385320
0.387500,0.327287
0.337500,0.327288
0.337500,0.301575
0.425000,0.336717
0.275000,0.385740
0.200000,0.294849
0.200000,0.281644
0.195833,0.258984
0.233333,0.252034
0.266667,0.258464
0.254167,0.290226
0.283333,0.303731
0.345833,0.298182
0.341667,0.334215
0.379167,0.322706
0.383333,0.337303
0.233333,0.339611
0.254167,0.270813
0.291667,0.284936
0.250000,0.300302
0.412500,0.284669
0.554167,0.367404
0.570833,0.445996
0.633333,0.456229
0.637500,0.495706
0.683333,0.515472
0.766667,0.561651
0.745833,0.649829
0.766667,0.683892
0.583333,0.763679
0.550000,0.546722
0.529167,0.498734
0.479167,0.516860
0.466667,0.468680
0.395833,0.443015
0.441667,0.425781
0.412500,0.466678
0.375000,0.429457
0.545833,0.400035
0.658333,0.489458
0.729167,0.574908
0.862500,0.621635
0.987500,0.699471
0.900000,0.782325
0.545833,0.771573
0.379167,0.495447
0.341667,0.420267
0.400000,0.411191
0.662500,0.442533
0.729167,0.612493
0.633333,0.651181
0.454167,0.626544
0.491667,0.479293
0.545833,0.502593
0.637500,0.534687
0.533333,0.604071
0.404167,0.407824
0.470833,0.443684
0.616667,0.444145
0.725000,0.581648
0.641667,0.575357
0.391667,0.585767
0.479167,0.445491
0.416667,0.493501
0.441667,0.461545
0.483333,0.460618
0.725000,0.485593
0.654167,0.818748
0.733333,0.673448
0.954167,0.711568
0.933333,0.872313
0.404167,0.826274
0.458333,0.422475
0.587500,0.449109
0.654167,0.566504
0.887500,0.594397
1.141667,0.783813
1.308333,0.795983
1.200000,0.674967
0.537500,0.879026
0.700000,0.490156
0.879167,0.647091
0.908333,0.834437
0.695833,0.980407
0.412500,0.601837
0.437500,0.414336
0.766667,0.457472
1.083333,0.349440
1.083333,0.930896
0.808333,0.903785
0.883333,0.695790
0.983333,0.712557
0.979167,0.678719
0.504167,0.620961
0.716667,0.555175
0.408333,0.673593
0.587500,0.523139
1.091667,0.573692
0.875000,0.677394
0.845833,0.504660
