REAL,ESTIMATE
0.570833,0.566055
0.366667,0.557580
0.320833,0.450242
0.341667,0.416525
0.441667,0.424613
0.520833,0.445450
0.537500,0.549391
0.487500,0.619179
0.466667,0.532916
0.608333,0.571874
0.812500,0.620677
0.658333,0.702753
0.412500,0.609781
0.475000,0.464828
0.729167,0.567034
0.687500,0.781226
0.900000,0.885007
0.950000,0.760835
1.070833,0.835766
1.075000,1.165269
1.054167,1.030482
0.945833,0.861535
0.791667,0.782074
0.787500,0.859313
0.325000,0.684821
0.579167,0.465341
0.670833,0.558229
0.283333,0.576890
0.345833,0.419731
0.262500,0.475464
0.462500,0.405211
0.325000,0.508495
0.429167,0.409503
0.520833,0.499103
0.545833,0.525126
0.333333,0.467134
0.487500,0.419700
0.554167,0.479900
0.562500,0.578618
0.570833,0.556184
0.433333,0.574637
0.470833,0.465500
0.387500,0.449987
0.333333,0.429188
0.529167,0.397305
0.662500,0.545715
0.533333,0.644883
0.370833,0.578034
0.420833,0.449295
0.720833,0.496387
0.587500,0.675133
0.445833,0.576637
0.383333,0.520043
0.566667,0.421875
0.508333,0.555348
0.508333,0.526345
0.416667,0.469231
0.233333,0.441017
0.395833,0.317892
0.287500,0.400143
0.433333,0.353428
0.475000,0.439142
0.533333,0.467120
0.491667,0.507677
0.508333,0.431376
0.504167,0.475264
0.529167,0.462705
0.479167,0.509105
0.508333,0.448341
0.768750,0.482108
0.616667,0.773382
0.408333,0.570150
0.308333,0.401412
0.304167,0.364024
0.425000,0.378492
0.441667,0.426230
0.545833,0.439532
0.654167,0.578783
0.491667,0.447857
0.433333,0.509648
0.254167,0.389532
0.212500,0.285508
0.229167,0.306247
0.258333,0.325601
0.412500,0.365178
0.500000,0.444442
0.250000,0.451710
0.375000,0.302427
0.241667,0.348999
0.325000,0.272003
0.366667,0.329633
0.337500,0.390893
0.460417,0.378832
0.395833,0.488992
0.233333,0.385430
0.400000,0.296494
0.583333,0.368246
0.404167,0.502991
0.291667,0.437264
0.412500,0.347065
0.408333,0.403907
0.416667,0.378428
0.425000,0.357541
0.337500,0.395426
0.275000,0.384972
0.391667,0.325489
0.420833,0.398018
0.437500,0.421590
0.333333,0.434385
0.362500,0.333065
0.454167,0.354186
0.495833,0.385673
0.558333,0.409967
0.412500,0.493867
0.483333,0.409667
0.416667,0.439671
0.391667,0.400809
0.229167,0.386483
0.195833,0.305330
0.212500,0.284700
0.229167,0.307775
0.300000,0.297290
0.250000,0.366112
0.295833,0.295049
0.266667,0.342240
0.233333,0.327896
0.237500,0.284101
0.366667,0.292153
0.312500,0.347581
0.275000,0.333652
0.266667,0.317800
0.354167,0.301642
0.341667,0.325140
0.337500,0.312854
0.419568,0.328357
0.435443,0.394149
0.374684,0.407127
0.336973,0.344707
0.350000,0.325059
0.383333,0.350575
0.354167,0.367147
0.233333,0.356041
0.279167,0.296289
0.304167,0.327674
0.358333,0.324307
0.362500,0.348670
0.410417,0.340597
0.229167,0.366177
0.158333,0.265797
0.295833,0.231672
0.254167,0.301752
0.233333,0.281304
0.333333,0.277431
0.233333,0.343601
0.179167,0.297271
0.416667,0.244081
0.375000,0.366278
0.308333,0.355560
0.354167,0.310878
0.400000,0.336638
0.312500,0.388362
0.241667,0.331286
0.191667,0.259762
0.220833,0.251762
0.266667,0.283354
0.295833,0.291507
0.175000,0.310618
0.258333,0.259352
0.208333,0.285263
0.241667,0.236043
0.308333,0.264098
0.391667,0.301035
0.370833,0.351936
0.304167,0.354295
0.237500,0.309509
0.266667,0.271230
0.191667,0.259841
0.104167,0.227255
0.133333,0.199519
0.229167,0.225960
0.316667,0.272847
0.412500,0.306808
0.354167,0.351495
0.212500,0.306837
0.225000,0.247899
0.195833,0.249777
0.254167,0.248318
0.312500,0.290683
0.491667,0.318531
0.287500,0.426523
0.300000,0.294159
0.345833,0.271472
0.291667,0.291508
0.200000,0.270774
0.279167,0.238491
0.312500,0.288436
0.250000,0.347269
0.500000,0.280818
0.450000,0.388106
0.379167,0.367660
0.337500,0.332585
0.279167,0.313362
0.200000,0.301065
0.250000,0.281396
0.279167,0.276069
0.258333,0.307519
0.262500,0.291691
0.283333,0.278382
0.237500,0.281731
0.204167,0.269474
0.245833,0.261241
0.337500,0.270263
0.337500,0.347484
0.362500,0.345527
0.375000,0.341823
0.358333,0.343520
0.312500,0.330194
0.308333,0.304175
0.333333,0.294361
0.270833,0.339938
0.220833,0.302675
0.283333,0.273326
0.279167,0.301379
0.316667,0.292903
0.254167,0.297757
0.316667,0.271546
0.337500,0.345882
0.354167,0.339709
0.333333,0.342256
0.287500,0.341182
0.229167,0.301983
0.279167,0.262862
0.316667,0.287514
0.366667,0.311318
0.366667,0.339980
0.404167,0.340981
0.245833,0.372103
0.258333,0.272706
0.354167,0.276454
0.512500,0.327029
0.308333,0.450555
0.150000,0.329764
0.216667,0.247890
0.304167,0.286473
0.375000,0.308330
0.433333,0.340065
0.358333,0.389326
0.279167,0.378584
0.341667,0.301631
0.179167,0.316439
0.229167,0.241433
0.325000,0.259018
0.295833,0.323846
0.366667,0.325077
0.458333,0.369552
0.554167,0.410458
0.437500,0.452366
0.291667,0.373515
0.250000,0.292625
0.408333,0.285766
0.529167,0.387512
0.508333,0.476729
0.404167,0.471443
0.241667,0.412813
0.491667,0.282106
0.695833,0.404276
0.850000,0.545490
0.629167,0.711764
0.408333,0.562681
0.304167,0.416900
0.279167,0.334168
0.441667,0.289485
0.495833,0.412878
0.491667,0.481135
0.520833,0.541711
0.729167,0.535906
0.500000,0.631909
0.741667,0.466032
0.762500,0.541476
0.266667,0.665972
0.220833,0.344491
0.487500,0.336303
0.483333,0.473356
0.604167,0.518206
0.466667,0.472839
0.575000,0.459291
0.737500,0.555813
0.845833,0.608680
0.650000,0.703024
0.575000,0.576973
0.570833,0.503342
0.570833,0.613235
0.337500,0.442904
0.404167,0.418271
0.712500,0.462777
0.566667,0.623772
0.433333,0.453180
0.429167,0.453701
0.225000,0.438479
0.216667,0.331185
0.308333,0.302503
0.310417,0.333788
0.275000,0.414407
0.341667,0.360745
0.304386,0.372442
0.355263,0.378358
0.636184,0.432292
1.108333,0.600482
0.470833,0.793868
0.479167,0.448788
0.300000,0.440968
0.612500,0.329215
0.679167,0.543737
0.337500,0.580886
0.225000,0.396515
0.512500,0.351684
0.754167,0.534807
0.420833,0.357495
0.420833,0.409775
0.658333,0.452435
0.937500,0.751765
0.791667,0.824145
0.316667,0.454772
0.495833,0.408342
0.916667,0.583751
0.916667,0.883418
1.170833,1.007003
0.933333,0.926315
0.354167,0.639421
0.233333,0.351977
0.341667,0.278273
0.595833,0.349923
0.620833,0.608962
1.041667,0.586517
0.341667,0.582624
0.304167,0.462473
0.579167,0.455691
0.716667,0.513329
0.633333,0.652442
0.462500,0.513223
0.483333,0.467685
0.883333,0.518282
1.025000,0.718108
0.829167,0.669436
0.700000,0.752298
0.341667,0.376541
0.525000,0.427163
0.483333,0.515052
0.575000,0.545516
0.866667,0.548448
0.639583,0.633239
0.670833,0.704381
0.737500,0.681510
0.791667,0.713612
0.562500,0.700213
0.425000,0.590983
0.458333,0.541694
0.745833,0.470503
0.375000,0.616031
0.429167,0.444278
0.600000,0.497342
0.833333,0.628697
0.945833,0.933814
0.970833,0.747913
0.825000,0.730225
0.704167,0.735866
0.687500,0.666397
0.241667,0.240801
0.416667,0.366646
0.791667,0.494162
0.770833,0.687492
0.287500,0.616300
0.350000,0.319998
0.654167,0.453425
0.666667,0.609133
0.437500,0.612766
0.529167,0.402878
0.608333,0.552191
0.770833,0.626305
0.695833,0.700115
0.570833,0.608689
0.425000,0.418223
0.358333,0.478534
0.591667,0.400803
0.533333,0.582012
0.333333,0.563379
0.312500,0.442531
0.541667,0.390248
0.358333,0.514119
0.629167,0.386724
0.475000,0.597297
0.291667,0.395736
0.425000,0.345205
0.679167,0.475648
0.762500,0.643871
0.716667,0.643381
0.420833,0.587656
0.220833,0.447026
0.362500,0.399701
0.306250,0.452463
0.366667,0.338146
0.454167,0.413532
0.575000,0.501642
0.704167,0.549717
1.025000,0.667271
0.629167,0.819141
0.520833,0.571153
0.650000,0.530615
0.791667,0.639112
0.591667,0.671645
0.258333,0.519481
0.362500,0.367619
0.479167,0.433931
0.470833,0.518435
0.500000,0.443629
0.504167,0.492503
0.437500,0.543269
0.612500,0.462845
0.608333,0.559595
0.337500,0.381920
0.300000,0.346226
0.545833,0.364432
0.225000,0.531187
0.283333,0.351771
0.329167,0.351349
0.256250,0.380249
0.270833,0.315996
0.516667,0.329102
0.462500,0.447622
0.545833,0.454011
0.425000,0.497401
0.233333,0.415458
0.333333,0.349831
0.495833,0.458355
0.487500,0.477549
0.387500,0.472860
0.520833,0.403050
0.370833,0.474964
0.318750,0.390741
0.470833,0.309236
0.516667,0.433600
0.500000,0.489952
0.387500,0.498880
0.441667,0.384438
0.454167,0.443048
0.491667,0.417540
0.362500,0.460343
0.358333,0.407570
0.333333,0.382247
0.412500,0.364263
0.354167,0.409512
0.283333,0.359907
0.281250,0.322006
0.458333,0.317888
0.537500,0.389251
0.520833,0.474187
0.575000,0.500823
0.395833,0.514902
0.458333,0.431074
0.450000,0.435126
0.500000,0.398652
0.525000,0.475227
0.483333,0.506926
0.541667,0.455014
0.500000,0.536809
0.600000,0.456263
0.462500,0.529975
0.550000,0.436541
0.483333,0.544569
0.541667,0.487376
0.562500,0.534192
0.500000,0.548065
0.437500,0.486723
0.516667,0.485343
0.437500,0.525449
0.304167,0.441914
0.304167,0.346241
0.300000,0.357644
0.220833,0.378061
0.308333,0.311106
0.358333,0.339203
0.275000,0.376906
0.195833,0.347873
0.279167,0.292099
0.316667,0.344351
0.254167,0.363756
0.266667,0.301699
0.254167,0.327788
0.237500,0.332890
0.320833,0.291757
0.270833,0.321501
0.337500,0.295669
0.350000,0.349167
0.233333,0.344475
0.300000,0.289715
0.312500,0.315586
0.320833,0.322338
0.208333,0.319393
0.204167,0.262417
0.291667,0.273859
0.220833,0.311715
0.300000,0.250834
0.262500,0.316434
0.312500,0.281626
0.329167,0.307368
0.179167,0.299885
0.191667,0.226067
0.237500,0.242420
0.229167,0.250479
0.233333,0.261719
0.250000,0.258970
0.350000,0.278723
0.264583,0.324210
0.225000,0.264718
0.283333,0.255845
0.220833,0.275051
0.237500,0.251312
0.154167,0.258681
0.152083,0.232910
0.229167,0.236720
0.258333,0.247657
0.120833,0.266501
0.262500,0.201365
0.362500,0.270141
0.329167,0.326941
