E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.8,5,0.437851,0.402849,0.117038,0.132145
10,3,0.8,6,0.455641,0.339643,0.115172,0.138962
10,3,0.8,7,0.484525,0.396676,0.112074,0.132826
10,3,0.8,8,0.504574,0.408994,0.109873,0.131463
10,3,0.8,9,0.535155,0.433927,0.106428,0.128660
10,3,0.8,10,0.540928,0.460730,0.105765,0.125577
10,3,0.8,11,0.502500,0.359792,0.110103,0.136826
10,3,0.8,12,0.501762,0.346420,0.110185,0.138247
10,3,0.8,13,0.516429,0.365795,0.108551,0.136183
10,3,0.8,14,0.543584,0.323905,0.105459,0.140609
10,3,0.8,15,0.575096,0.260542,0.101753,0.147050
