REAL,ESTIMATE
0.674206,0.394749
0.471729,0.450391
0.343565,0.388345
0.618740,0.366529
0.327948,0.425723
0.098008,0.358777
0.084006,0.288201
0.250673,0.282135
0.386645,0.316666
0.180398,0.399353
0.112009,0.318874
0.077544,0.300704
0.219709,0.219586
0.330641,0.284358
0.386107,0.328234
0.360258,0.385233
0.319871,0.429556
0.379645,0.298884
0.551966,0.345379
0.366182,0.347533
0.222940,0.339032
0.354335,0.298772
0.471190,0.343415
0.440495,0.400967
0.569736,0.384346
0.581583,0.428991
0.613355,0.456378
0.690899,0.656654
0.751750,0.474975
0.611739,0.544059
0.461497,0.497289
0.561659,0.511412
0.095315,0.437933
0.487345,0.231942
0.673667,0.382872
0.105008,0.463120
0.203016,0.290661
0.138395,0.285373
0.375875,0.281141
0.186322,0.349480
0.372644,0.320605
0.652666,0.384198
0.647819,0.484108
0.144319,0.460738
0.452342,0.280231
0.540118,0.352438
0.456112,0.404036
0.549812,0.375636
0.261712,0.377548
0.387722,0.340610
0.231556,0.350963
0.207862,0.339183
0.479268,0.311030
0.526117,0.362568
0.520732,0.448629
0.396338,0.418064
0.369413,0.409872
0.765213,0.563497
0.375875,0.545438
0.382337,0.356404
0.109855,0.317974
0.494346,0.282728
0.514001,0.369670
0.560043,0.412409
0.444265,0.399328
0.124394,0.395026
0.332256,0.259168
0.134087,0.332358
0.446419,0.278698
0.621432,0.435877
0.679052,0.502107
0.500269,0.578208
0.509424,0.463429
0.508885,0.389357
0.406031,0.447387
0.472806,0.401888
0.611739,0.356819
0.530425,0.458172
0.425956,0.411612
0.259558,0.403725
0.106085,0.320412
0.121163,0.261378
0.257943,0.278060
0.273021,0.341448
0.442649,0.357881
0.398492,0.435189
0.556274,0.383386
0.497038,0.501194
0.117932,0.369533
0.069467,0.277308
0.093161,0.292579
0.179860,0.305342
0.387722,0.319787
0.315563,0.353186
0.113086,0.344331
0.255789,0.232900
0.082929,0.332867
0.227248,0.244695
0.341411,0.317441
0.197631,0.344951
0.413032,0.284729
0.459882,0.320841
0.104470,0.371412
0.214863,0.210240
0.333872,0.263504
0.253096,0.351915
0.148088,0.247152
0.323640,0.226272
0.461497,0.318736
0.367259,0.337539
0.511578,0.385956
0.324717,0.475095
0.166936,0.280311
0.441034,0.374654
0.375875,0.446213
0.351104,0.354986
0.152935,0.265225
0.210016,0.222364
0.359720,0.233124
0.334410,0.405033
