REAL,ESTIMATE
0.102723,0.138944
0.225660,0.145103
0.138614,0.205622
0.212046,0.172680
0.188119,0.177063
0.156353,0.175502
0.101073,0.164354
0.114686,0.130266
0.178630,0.165593
0.223185,0.171718
0.311056,0.215361
0.208746,0.215942
0.261139,0.175245
0.205858,0.188062
0.096122,0.182219
0.038882,0.154635
0.128816,0.137327
0.154703,0.213949
0.365924,0.203582
0.252888,0.303190
0.195132,0.201301
0.229373,0.188784
0.222153,0.180358
0.266914,0.206794
0.133663,0.198783
0.226073,0.199850
0.250000,0.213025
0.075083,0.252519
0.154290,0.176195
0.139439,0.165988
0.091172,0.202094
0.162129,0.167115
0.225660,0.182321
0.176980,0.213778
0.116749,0.162749
0.304868,0.150724
0.232673,0.206282
0.181518,0.186170
0.115099,0.167167
0.266502,0.142606
0.249175,0.224836
0.254538,0.216824
0.320132,0.226141
0.383251,0.222654
0.455033,0.320812
0.343234,0.309316
0.294142,0.295622
0.235149,0.262853
0.158381,0.285044
0.082439,0.242252
0.085740,0.206312
0.138167,0.229437
0.136964,0.227909
0.192657,0.218257
0.134076,0.215626
0.195957,0.158119
0.344472,0.178482
0.391089,0.231845
0.402640,0.255782
0.309406,0.232471
0.134488,0.220880
0.207921,0.168658
0.184818,0.214372
0.134901,0.259759
0.351485,0.226366
0.481023,0.301672
0.525165,0.444202
0.517327,0.730745
0.430281,0.397333
0.393564,0.532860
0.425330,0.436101
0.453795,0.356020
0.339521,0.396534
0.275578,0.328610
0.366337,0.306099
0.252888,0.267536
0.257426,0.190372
0.316007,0.284242
0.136139,0.338580
0.211634,0.236819
0.227723,0.267492
0.153878,0.280099
0.294967,0.226282
0.421205,0.311643
0.420380,0.367706
0.512376,0.361647
0.642327,0.408849
0.537541,0.388540
0.233086,0.427957
0.098185,0.262596
0.088696,0.224852
0.162954,0.275534
0.253713,0.302837
0.356436,0.171075
0.313944,0.171620
0.238449,0.676199
0.292079,0.238439
0.243812,0.417531
0.277640,0.246623
0.210809,0.248247
0.112624,0.245104
0.247525,0.204822
0.238449,0.250796
0.239686,0.248741
0.238861,0.229174
0.181931,0.236020
0.141089,0.229489
0.179455,0.193018
0.101073,0.209570
0.180281,0.165544
0.355611,0.206839
0.316419,0.285815
0.299092,0.267174
0.418729,0.213112
0.377475,0.299631
0.119224,0.280332
0.168729,0.188396
0.238449,0.207796
0.273515,0.271341
0.461634,0.288229
0.597360,0.353088
0.609323,0.422391
0.480198,0.544476
0.160479,0.402301
0.341584,0.514032
0.431931,0.349137
0.470297,0.421402
0.254950,0.436854
0.106023,0.289192
0.150990,0.242588
0.404084,0.187511
0.462046,0.330935
0.507013,0.566697
0.411716,0.377214
0.430281,0.324103
0.461634,0.358770
0.431931,0.388995
0.227723,0.395896
0.322607,0.279517
0.101485,0.348153
0.277228,0.256935
0.511964,0.214296
0.466172,0.253094
0.357261,0.382750
