E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.8,5,0.698074,0.492611,0.076957,0.081135
10,4,0.8,6,0.708936,0.470742,0.075560,0.082865
10,4,0.8,7,0.705379,0.504697,0.076020,0.080162
10,4,0.8,8,0.715507,0.468076,0.074702,0.083073
10,4,0.8,9,0.695051,0.514748,0.077341,0.079345
10,4,0.8,10,0.649659,0.279224,0.082898,0.096702
10,4,0.8,11,0.729800,0.462205,0.072802,0.083530
10,4,0.8,12,0.705329,0.513813,0.076027,0.079421
10,4,0.8,13,0.746799,0.474279,0.070474,0.082587
10,4,0.8,14,0.746439,0.466616,0.070524,0.083187
10,4,0.8,15,0.714971,0.518221,0.074773,0.079060
