REAL,ESTIMATE
0.424242,0.296900
0.363131,0.364966
0.328788,0.329937
0.257576,0.277626
0.250505,0.270179
0.168687,0.285937
0.224242,0.316702
0.279798,0.256704
0.313131,0.300805
0.288889,0.284533
0.244601,0.246319
0.295298,0.234475
0.416162,0.263833
0.238384,0.338408
0.416162,0.225969
0.428788,0.343393
0.405051,0.340700
0.299242,0.360305
0.311111,0.253614
0.336364,0.286674
0.288889,0.309723
0.163131,0.345050
0.300505,0.211759
0.263131,0.318725
0.269192,0.309770
0.334848,0.297613
0.277273,0.293926
0.226263,0.299850
0.219697,0.266924
0.314646,0.264646
0.250505,0.282328
0.281566,0.259306
0.358586,0.269846
0.320202,0.288922
0.252020,0.296313
0.243434,0.251008
0.319697,0.241508
0.300505,0.304435
0.392424,0.303489
0.179293,0.335329
0.266162,0.212355
0.366162,0.284795
0.369697,0.315671
0.364310,0.335561
0.521549,0.335792
0.456902,0.407605
0.382492,0.378742
0.249495,0.346049
0.288384,0.249663
0.465657,0.301280
0.290909,0.418883
0.173737,0.319012
0.176768,0.212967
0.190404,0.322697
0.286869,0.306391
0.329293,0.321523
0.236364,0.285120
0.173737,0.270351
0.219697,0.236102
0.169192,0.255115
0.114141,0.204060
0.204040,0.198313
0.212121,0.248965
0.187879,0.223630
0.317677,0.214070
0.261616,0.253131
0.249495,0.221333
0.311111,0.276498
0.232323,0.284838
0.119697,0.311459
0.232323,0.200580
0.219697,0.247927
0.123232,0.238416
0.301515,0.205868
0.225758,0.332823
0.202525,0.231494
0.218687,0.223668
0.131818,0.235570
0.061616,0.220555
0.115657,0.144942
0.109091,0.172317
0.082828,0.150719
0.148485,0.124791
0.277273,0.167058
0.337374,0.240931
0.315657,0.260421
0.184343,0.262749
0.117172,0.188169
0.069697,0.157072
0.102020,0.146999
0.181313,0.158654
0.071212,0.161222
0.102020,0.089963
0.040404,0.132252
0.177020,0.114474
0.265152,0.190008
0.071717,0.260279
0.138889,0.171392
0.209091,0.190939
0.117677,0.202596
0.145455,0.155356
0.195960,0.119084
0.192424,0.197643
0.292424,0.214334
0.231313,0.228193
0.084343,0.217891
0.053030,0.138023
0.118939,0.109976
0.049495,0.181145
0.094949,0.114531
0.214141,0.118667
0.209091,0.162166
0.183333,0.208269
0.143434,0.199959
0.017172,0.191661
0.019192,0.113735
0.023737,0.125860
0.019697,0.117831
0.250000,0.105314
0.137879,0.160368
0.059091,0.084786
0.006061,0.080429
0.147980,0.061692
0.244949,0.204022
0.155556,0.241284
0.000000,0.167911
0.023232,0.130115
0.018687,0.089051
0.032323,0.083503
0.020202,0.105357
0.050000,0.134748
0.098485,0.146011
0.192929,0.155418
0.121717,0.187659
0.262626,0.170638
0.129293,0.188612
0.023232,0.175438
0.016162,0.123359
0.080808,0.136525
