REAL,ESTIMATE
0.007333,0.009172
0.007542,0.009996
0.002875,0.010552
0.004917,0.008132
0.013583,0.008534
0.008083,0.010126
0.007708,0.010276
0.010750,0.009922
0.004958,0.010797
0.002958,0.008199
0.002792,0.008504
0.007333,0.008281
0.014333,0.008728
0.003208,0.009386
0.010250,0.007948
0.004208,0.009858
0.010000,0.007089
0.010667,0.009469
0.002125,0.008688
0.009375,0.008462
0.017250,0.008380
0.016750,0.010489
0.012271,0.009677
0.007708,0.011981
0.012583,0.009809
0.015333,0.011271
0.016333,0.010835
0.013542,0.013764
0.010000,0.013380
0.008083,0.012253
0.009500,0.011622
0.011542,0.011909
0.011000,0.012777
0.007958,0.013685
0.014250,0.012183
0.014458,0.013595
0.009875,0.012415
0.010333,0.012657
0.012000,0.012767
0.011042,0.012561
0.009833,0.011519
0.009875,0.012212
0.008625,0.011856
0.008083,0.011336
0.011833,0.011072
0.013750,0.012329
0.009042,0.012332
0.018250,0.011626
0.010292,0.014453
0.011625,0.011118
0.017792,0.012765
0.014000,0.013558
0.015000,0.013432
0.010625,0.013501
0.014792,0.013639
0.009833,0.013615
0.006625,0.012691
0.005625,0.012626
0.018250,0.011993
0.020417,0.014740
0.034417,0.014700
0.046625,0.022994
0.025271,0.024479
0.042875,0.021745
0.028458,0.026859
0.037708,0.023091
0.037292,0.027363
0.029625,0.032424
0.040167,0.031030
0.036833,0.035379
0.036167,0.035893
0.037875,0.031577
0.024375,0.032733
0.061167,0.058882
0.041250,0.049261
0.059458,0.045630
0.026750,0.026777
0.016500,0.024515
0.014292,0.015131
0.010833,0.021194
0.021208,0.023168
0.014792,0.024439
0.043250,0.025142
0.032708,0.033260
0.024042,0.028838
0.018667,0.026551
0.028375,0.027507
0.031667,0.028296
0.021833,0.025815
0.041792,0.026555
0.040208,0.035704
0.020125,0.021751
0.024313,0.023986
0.036708,0.021448
0.046708,0.033824
0.052708,0.041975
0.061583,0.049127
0.046875,0.056298
0.049750,0.045663
0.053500,0.047714
0.051875,0.049514
0.044792,0.053429
0.041292,0.042914
0.049250,0.043943
0.052375,0.053514
0.057500,0.053760
0.047333,0.044980
0.038917,0.042996
0.048167,0.048147
0.047167,0.048581
0.038708,0.041676
0.051458,0.050503
0.039000,0.037260
0.042875,0.043652
0.050917,0.046734
0.030708,0.033874
0.036125,0.037441
0.065375,0.064643
0.058792,0.061180
0.071375,0.056694
0.084250,0.069134
0.062500,0.064091
0.043167,0.048067
0.041625,0.045527
0.048917,0.040634
0.037167,0.038798
0.045458,0.041266
0.049208,0.050197
0.038771,0.047078
0.042542,0.037959
0.037417,0.042817
0.043583,0.034639
0.047000,0.046242
0.063417,0.061143
0.079333,0.077034
0.059125,0.058653
0.044000,0.057374
0.060667,0.053702
0.056292,0.054391
0.029125,0.039161
0.037917,0.041569
0.051875,0.048631
0.044042,0.044359
0.045292,0.040671
0.037917,0.046275
0.042833,0.035425
0.039625,0.038188
0.036417,0.043873
0.027542,0.027884
0.034292,0.030772
0.037000,0.037486
0.050458,0.041292
0.053750,0.049144
0.036833,0.033931
0.050042,0.052555
0.057125,0.048674
0.045875,0.055436
0.049625,0.048187
0.047250,0.045024
0.039458,0.037934
0.029000,0.033615
0.035375,0.033299
0.044292,0.037543
0.051750,0.053152
0.043104,0.042365
0.053500,0.052031
0.048917,0.049275
0.037542,0.040489
0.043500,0.044464
0.045792,0.047925
0.029375,0.035404
0.033958,0.027923
0.030000,0.035821
0.029917,0.035093
0.045708,0.036368
0.023500,0.024972
0.011875,0.024230
0.027667,0.025622
0.048083,0.034369
0.051750,0.052330
0.039125,0.044298
0.045292,0.045596
0.043375,0.046040
0.037167,0.037200
0.025708,0.024022
0.024500,0.027302
0.025250,0.028761
0.030500,0.031252
0.021500,0.034773
0.006500,0.013193
0.013208,0.014413
0.026375,0.024827
0.013333,0.029969
0.041250,0.020476
0.056625,0.044110
0.037042,0.043191
0.040417,0.034538
0.026208,0.038512
0.014208,0.026752
0.017583,0.017882
0.021750,0.025397
0.023208,0.024906
0.018208,0.021763
0.027792,0.023961
0.023500,0.024559
0.018958,0.020710
0.031458,0.025676
0.042083,0.037038
0.031750,0.036349
0.028708,0.032139
0.042917,0.032122
0.016833,0.035623
0.025042,0.019223
0.025292,0.028079
0.025458,0.023677
0.017167,0.022753
0.022667,0.023712
0.012375,0.019117
0.017625,0.016845
0.016875,0.023100
0.035042,0.022933
0.035208,0.031424
0.031833,0.027363
0.030223,0.036202
0.031527,0.026814
0.023792,0.029303
0.027292,0.024075
0.027042,0.027413
0.026000,0.026512
0.026208,0.026068
0.034667,0.025205
0.023000,0.028946
0.023542,0.021437
0.029167,0.026880
0.025125,0.029394
0.032917,0.027020
0.038792,0.031249
0.034417,0.033660
0.035000,0.031635
0.031792,0.034460
0.029042,0.030021
0.020333,0.025617
0.023625,0.024709
0.029417,0.031182
0.037792,0.027709
0.022716,0.027930
0.016534,0.022643
0.018917,0.018854
0.017917,0.023393
0.025208,0.024349
0.021833,0.026047
0.022417,0.024550
0.023625,0.025872
0.021958,0.024562
0.021375,0.022093
0.017917,0.021587
0.019625,0.022393
0.016375,0.024141
0.015625,0.020255
0.021333,0.019347
0.018458,0.020951
0.013042,0.019781
0.027375,0.019085
0.023167,0.024239
0.030792,0.021033
0.025208,0.027596
0.017958,0.024112
0.016292,0.021828
0.020125,0.019308
0.025250,0.021797
0.023667,0.022313
0.019208,0.022755
0.027583,0.022634
0.022042,0.024554
0.017250,0.020931
0.022333,0.021570
0.013750,0.022865
0.011083,0.020219
0.016167,0.018870
0.013083,0.019082
0.016500,0.016846
0.019875,0.019104
0.011208,0.020866
0.010500,0.016744
0.014167,0.016231
0.018875,0.016909
0.028250,0.017515
0.013667,0.021244
0.009333,0.017293
0.007250,0.015652
0.014667,0.012758
0.017750,0.015131
0.034833,0.016057
0.020500,0.025902
0.009667,0.018320
0.011333,0.016638
0.018958,0.014250
0.009250,0.017047
0.005875,0.013839
0.021833,0.017132
0.011917,0.017451
0.009583,0.013431
0.025875,0.014398
