E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,5,0.8,5,0.460518,0.417157,0.039245,0.025055
10,5,0.8,6,0.588477,0.112469,0.034276,0.030919
10,5,0.8,7,0.476881,0.379641,0.038645,0.025849
10,5,0.8,8,0.562888,0.365646,0.035326,0.026139
10,5,0.8,9,0.624395,0.493676,0.032746,0.023353
10,5,0.8,10,0.554849,0.355383,0.035649,0.026350
10,5,0.8,11,0.712491,0.309394,0.028650,0.027274
10,5,0.8,12,0.616344,0.505314,0.033095,0.023083
10,5,0.8,13,0.641393,0.429221,0.031996,0.024795
10,5,0.8,14,0.752142,0.379386,0.026601,0.025855
10,5,0.8,15,0.759699,0.375169,0.026192,0.025942
