REAL,ESTIMATE
112.375000,80.613068
77.041667,81.355611
49.291667,68.612902
31.250000,58.382592
27.250000,47.549442
27.375000,47.949636
36.166667,46.980562
26.750000,49.145005
20.666667,39.112082
23.062500,30.336887
27.583333,28.508388
36.166667,27.833678
47.458333,35.701049
64.208333,42.789245
86.416667,53.563079
83.833333,66.558022
43.333333,64.156937
8.375000,47.347208
4.375000,21.460007
9.333333,15.592573
29.291667,26.758660
34.083333,44.871654
19.541667,47.460290
11.625000,32.667303
13.541667,22.305090
18.708333,21.555812
28.666667,26.056895
16.291667,32.782779
9.333333,27.152197
15.208333,18.347703
37.416667,25.466123
45.791667,37.543569
27.583333,42.663515
7.625000,28.575610
20.250000,14.022021
11.000000,22.910742
30.208333,20.844309
38.125000,34.390952
46.833333,41.351151
38.916667,41.253039
39.541667,36.111826
46.416667,38.584083
56.750000,43.142996
20.250000,50.546690
33.875000,18.190566
28.500000,33.009088
32.291667,31.833000
46.833333,35.087116
61.708333,47.754780
69.208333,60.778172
52.000000,55.677862
27.666667,49.206253
30.041667,35.431428
44.208333,40.587043
48.583333,44.186539
55.916667,51.635036
27.458333,55.057225
20.750000,33.185815
33.125000,28.676050
60.541667,39.530270
65.125000,62.429935
50.500000,60.424896
65.708333,49.305628
66.958333,57.054386
86.750000,57.047761
28.500000,74.361726
65.666667,47.159148
23.625000,69.395000
27.958333,31.226787
53.958333,42.628120
55.291667,59.185392
55.166667,61.541828
