REAL,ESTIMATE
43.125000,38.353145
18.166667,18.877940
8.833333,21.684508
15.375000,3.612032
27.625000,32.321906
18.750000,21.591747
24.541667,24.704078
27.125000,30.451312
17.833333,38.158073
32.500000,32.548030
63.083333,47.615933
71.291667,49.402979
20.625000,55.588614
26.000000,43.344721
60.500000,43.639862
65.000000,49.522997
87.416667,48.354512
99.458333,62.799803
147.416667,72.244398
150.583333,165.457400
130.875000,127.020864
114.000000,89.685096
98.333333,77.674521
99.708333,67.147677
22.625000,54.593048
48.000000,46.212118
75.791667,47.553653
34.750000,49.988620
29.625000,46.616386
25.000000,45.976188
36.208333,45.954203
33.916667,46.577090
32.625000,46.476259
49.458333,46.416002
35.562500,46.141382
39.333333,46.249498
57.500000,46.990116
90.208333,47.986962
91.666667,52.398902
67.541667,48.475509
128.875000,47.947382
104.125000,75.959580
59.375000,61.388415
26.083333,49.123841
51.333333,46.696484
80.166667,48.268511
51.708333,50.757189
53.166667,48.402192
57.416667,48.954250
89.333333,47.607703
109.541667,51.229084
49.875000,53.753896
32.250000,47.814852
53.166667,45.148074
56.625000,45.800906
52.916667,47.055354
43.833333,46.851266
18.666667,25.876681
36.083333,46.578790
37.416667,47.271180
64.958333,47.334436
41.625000,47.685132
66.291667,46.821033
60.750000,52.729891
67.833333,52.422228
69.458333,52.854059
70.708333,49.263236
64.791667,55.360464
72.875000,52.799344
147.208333,54.191799
96.166667,156.638040
61.833333,53.291265
40.625000,51.236015
39.083333,48.026597
48.333333,47.782523
45.723485,47.682982
71.401515,47.651905
100.250000,51.880949
57.083333,72.885059
47.875000,51.282502
26.666667,47.131746
10.625000,46.954212
12.375000,41.154442
20.958333,28.183577
50.791667,39.831989
70.166667,45.498502
24.333333,26.519525
35.041667,45.001396
34.708333,46.988038
36.958333,43.502275
40.333333,47.020849
30.000000,33.647975
34.833333,46.920323
28.250000,47.219906
28.041667,46.886001
40.791667,45.801263
88.041667,48.394031
70.833333,62.480465
38.458333,50.003578
41.583333,44.723618
40.500000,47.088799
41.625000,47.647591
52.291667,48.182649
64.833333,49.688491
47.791667,52.866735
40.291667,47.217548
63.833333,47.305445
62.041667,49.928663
53.125000,49.943786
76.541667,48.985069
137.083333,60.727251
155.666667,167.894274
118.291667,131.116995
64.333333,72.360296
104.083333,52.205586
88.125000,85.201554
78.708333,55.039911
22.791667,48.205143
17.875000,45.978564
16.833333,31.856940
26.833333,44.769903
32.416667,46.594160
30.041667,46.617865
36.041667,46.918728
30.145833,44.544054
22.250000,46.687556
22.541667,46.247207
49.375000,46.207454
37.250000,47.710193
37.083333,47.040341
29.875000,47.070778
48.666667,46.497120
54.583333,47.044320
50.625000,43.502285
46.208333,37.910006
19.500000,20.752585
19.875000,19.918594
27.291667,27.913600
34.000000,47.392014
41.625000,47.546160
43.166667,48.493310
30.250000,47.313744
32.000000,46.703036
31.666667,46.782567
34.000000,37.354430
41.000000,46.957391
60.395833,46.776944
20.687500,47.111637
16.208333,46.435741
29.291667,32.419163
26.145833,46.618026
28.666667,45.961040
30.166667,42.081959
24.000000,24.085942
27.416667,30.193659
49.375000,34.029900
69.416667,47.244746
51.750000,54.182540
71.375000,49.789179
79.458333,55.586302
48.208333,60.831324
23.583333,45.248764
15.229167,26.301428
39.750000,26.932983
51.416667,42.578562
53.208333,47.327188
20.083333,48.847378
16.583333,41.568752
10.416667,29.798120
20.125000,44.089334
29.541667,45.587046
72.375000,42.228271
50.333333,54.692971
33.541667,45.768370
26.125000,31.684187
24.833333,37.101616
14.375000,15.234364
9.708333,20.484089
10.104167,10.988932
11.687500,33.917893
47.833333,34.717239
48.000000,46.750595
34.458333,46.904627
17.500000,33.707915
18.916667,14.400480
9.125000,24.358791
23.583333,16.547890
48.041667,44.692586
67.458333,47.038708
26.375000,52.127924
28.791667,46.559628
37.208333,33.690485
28.541667,46.542494
10.958333,41.963687
13.708333,37.706542
26.791667,44.191791
14.854167,36.410934
66.833333,45.211387
78.208333,52.571898
55.833333,53.304561
43.062500,48.543048
11.708333,46.222956
9.208333,32.424611
15.291667,11.460139
22.916667,40.024955
17.708333,37.734523
20.208333,41.903343
25.625000,32.607577
17.166667,38.622780
5.333333,45.721200
14.583333,41.741656
25.125000,4.563398
32.083333,43.317546
41.291667,46.323858
43.083333,47.231207
45.250000,46.299317
24.666667,46.115888
30.958333,44.242959
32.270833,40.805158
19.708333,45.895931
13.416667,36.866934
29.708333,35.111387
29.475575,42.738752
41.941092,43.645633
21.750000,47.457345
24.833333,15.261647
28.750000,27.483358
30.541667,41.294945
29.729167,37.689946
22.083333,45.862558
16.875000,42.551240
19.291667,27.686711
25.416667,41.725302
33.958333,41.454520
42.833333,44.937232
45.125000,44.710355
20.625000,46.060793
24.500000,39.420320
31.708333,40.172601
20.541667,41.905757
20.125000,43.183563
16.833333,43.676626
18.500000,31.674092
29.125000,24.054046
33.500000,36.739405
40.375000,44.778959
39.583333,45.426308
29.791667,44.784373
32.062500,33.772188
20.416667,32.644556
24.083333,28.181245
32.541667,38.600959
37.125000,44.018025
30.958333,43.671717
35.666667,31.154120
61.583333,42.231194
34.833333,49.996321
14.750000,43.832812
15.875000,31.910700
25.666667,15.591809
39.708333,41.644513
48.875000,44.010235
38.500000,47.308075
38.333333,41.570122
54.875000,37.586579
56.000000,48.860990
64.500000,49.871258
53.583333,51.422508
40.208333,48.213586
50.416667,42.856866
35.000000,47.667694
28.250000,42.851804
30.708333,37.242055
53.958333,40.157778
54.833333,49.302956
69.833333,49.593223
56.833333,53.819093
53.041667,50.203134
71.750000,49.251743
45.208333,55.868805
85.625000,47.144202
30.666667,64.944902
32.916667,26.036987
51.333333,29.650756
36.041667,47.619618
37.041667,43.280356
54.500000,47.289751
64.791667,48.403815
60.375000,51.939344
48.833333,51.042785
73.958333,47.782731
71.541667,54.400663
33.041667,57.860250
27.666667,42.157389
49.500000,43.415965
29.625000,47.754685
18.333333,45.454324
20.458333,37.662120
48.208333,37.620469
101.551288,48.197321
48.867188,85.811702
47.658854,48.452941
46.450521,48.392904
45.242188,47.874631
44.033854,48.527062
42.825521,47.608300
41.617188,48.784683
40.408854,46.243720
39.200521,37.739189
37.992188,41.153429
36.783854,47.523722
35.575521,45.846972
34.367188,39.428552
33.158854,37.878109
31.950521,47.343252
30.742188,46.981321
29.533854,47.431534
28.325521,46.910916
27.117188,40.291508
25.908854,26.589624
24.700521,22.281609
23.492187,35.443287
22.283854,28.275746
25.107567,16.211582
60.666667,34.240617
56.541667,51.648662
118.708333,49.852765
113.791667,92.809852
35.541667,94.865508
70.083333,40.964463
29.041667,53.765455
38.625000,29.996854
44.500000,46.292507
83.125000,46.930770
39.875000,62.957377
32.875000,47.589427
51.500000,40.380098
50.833333,47.987920
37.083333,48.100352
47.958333,37.818636
42.291667,48.457442
65.083333,42.744359
86.666667,49.317949
