REAL,ESTIMATE,REAL_P,ESTIMATE_P
,,0.029837,0.035043
,,0.056695,0.039849
,,0.060419,0.052052
,,0.033254,0.054994
,,0.037417,0.037465
,,0.068086,0.038138
,,0.069182,0.059602
0.102431,0.108616,0.027252,0.061676
0.123264,0.102421,0.023265,0.043388
0.133681,0.113569,0.034131,0.037338
0.123264,0.123016,0.034744,0.037832
0.121528,0.12079,0.041601,0.038542
0.123264,0.123116,0.042587,0.053968
0.095486,0.124348,0.03952,0.05291
0.114583,0.10943,0.026069,0.040205
0.123264,0.125073,0.004677,0.031113
0.09375,0.122094,0.01046,0.025214
0.111111,0.101123,0.019103,0.028342
0.116319,0.106762,0.0262,0.028937
0.100694,0.117346,0.032641,0.032766
0.098958,0.114638,0.031064,0.033386
0.105035,0.110683,0.031809,0.030168
0.090278,0.113885,0.028528,0.028859
0.086806,0.109566,0.024837,0.028815
0.090278,0.099674,0.02528,0.02907
0.09375,0.104422,0.033342,0.028893
0.088542,0.108757,0.037417,0.032895
0.079861,0.097612,0.014108,0.034938
0.079861,0.093977,0.012268,0.018548
0.079861,0.097485,0.010953,0.0182
0.085069,0.094597,0.01494,0.019096
0.085069,0.098121,0.024185,0.022411
0.085069,0.100629,0.037373,0.028439
0.09375,0.098038,0.019409,0.036901
0.104167,0.099422,0.019015,0.020493
0.084201,0.109237,0.032422,0.019752
0.074653,0.098938,0.021907,0.02994
0.078125,0.088607,0.014064,0.025889
0.086806,0.088878,0.010384,0.018057
0.098958,0.095027,0.017219,0.018375
0.098958,0.103174,0.029311,0.019137
0.107639,0.104454,0.046267,0.02635
0.112847,0.106844,0.0471,0.041114
0.111111,0.112182,0.041535,0.039971
0.112847,0.109261,0.038819,0.033108
0.116319,0.117358,0.033123,0.03304
0.102431,0.114583,0.034657,0.033773
0.107639,0.096788,0.04986,0.036438
0.125,0.101023,0.032984,0.048419
0.125,0.115166,0.028269,0.035731
0.119792,0.117026,0.0217,0.030224
0.097222,0.114348,0.017424,0.027407
0.107639,0.105537,0.011873,0.027858
0.112847,0.11053,0.026639,0.023649
0.109375,0.110935,0.038424,0.035446
0.100694,0.115231,0.02585,0.03886
0.111111,0.108087,0.023747,0.028976
0.111111,0.10482,0.028216,0.025914
0.140625,0.106651,0.04561,0.030868
0.114583,0.132017,0.051393,0.040319
0.09375,0.116828,0.029267,0.045422
0.090278,0.103505,0.01884,0.032216
0.086806,0.097005,0.015992,0.021962
0.131944,0.096783,0.014984,0.020245
0.128472,0.122544,0.02861,0.023144
0.135417,0.123063,0.043113,0.036579
0.15625,0.122404,0.04986,0.043785
0.128472,0.132537,0.065633,0.043106
0.144097,0.117419,0.047012,0.05013
0.166667,0.139695,0.073475,0.041687
0.163194,0.146092,0.095382,0.060705
0.166667,0.136062,0.100026,0.077278
0.130208,0.136996,0.117114,0.085729
0.147569,0.114528,0.07996,0.089583
0.123264,0.141573,0.05078,0.070727
0.112847,0.125982,0.031809,0.0528
0.109375,0.119574,0.027603,0.048866
0.095486,0.121566,0.027734,0.052269
0.107639,0.105084,0.036979,0.044425
0.097222,0.121553,0.027077,0.048476
0.090278,0.120706,0.02068,0.038385
0.126736,0.113365,0.023199,0.032153
0.142361,0.135952,0.027953,0.032453
0.166667,0.135868,0.036979,0.035249
0.182292,0.163006,0.048852,0.039923
0.256944,0.164722,0.066465,0.048072
0.21875,0.204451,0.089818,0.057977
0.123264,0.1807,0.087101,0.074096
0.092014,0.115285,0.044515,0.068664
0.086806,0.10655,0.007755,0.046738
0.074653,0.100236,0.003549,0.023579
0.107639,0.089318,0.008763,0.019358
0.130208,0.115705,0.029749,0.026676
0.119792,0.134151,0.034788,0.044282
0.100694,0.141395,0.019497,0.042507
0.100694,0.130473,0.011172,0.026611
0.130208,0.143551,0.013188,0.019367
0.133681,0.156498,0.018621,0.023146
0.119792,0.133671,0.029092,0.028103
0.086806,0.123073,0.01608,0.033523
0.095486,0.100901,0.008763,0.023773
0.125,0.09882,0.01494,0.013724
0.154514,0.125537,0.038293,0.013964
0.135417,0.150761,0.0471,0.033748
0.095486,0.141669,0.027953,0.04033
0.097222,0.108284,0.006966,0.02718
0.088542,0.102626,0.020242,0.01128
0.109375,0.109612,0.010515,0.019788
0.121528,0.12091,0.030713,0.015983
0.170139,0.127828,0.039038,0.035401
0.133681,0.142291,0.048195,0.038088
0.15625,0.118817,0.03987,0.040328
0.180556,0.149291,0.040528,0.028939
0.184028,0.176552,0.047757,0.037455
0.104167,0.180005,0.058623,0.043388
0.118056,0.115495,0.020242,0.053338
0.159722,0.122355,0.034569,0.026017
0.175347,0.153943,0.028917,0.038715
0.164931,0.158304,0.032904,0.031637
0.236111,0.151846,0.048195,0.037873
0.270833,0.204009,0.063836,0.047253
0.251736,0.212946,0.071723,0.061052
0.159722,0.220802,0.053628,0.058269
0.166667,0.173725,0.028041,0.049421
0.215278,0.176924,0.030538,0.038682
0.171875,0.177406,0.045435,0.041915
0.175347,0.148992,0.050035,0.048209
0.147569,0.167281,0.057746,0.052329
0.116319,0.158579,0.027822,0.056539
0.164931,0.134067,0.020768,0.034291
0.215278,0.19032,0.03378,0.027392
0.204861,0.234765,0.06261,0.039128
0.194444,0.21196,0.067429,0.059396
0.210069,0.196251,0.05205,0.058018
0.244792,0.207206,0.068042,0.050176
0.255208,0.216542,0.069357,0.059244
0.163194,0.224826,0.090168,0.060137
0.182292,0.170313,0.028917,0.076559
0.123264,0.177054,0.067999,0.05663
0.116319,0.126771,0.023791,0.066762
0.229167,0.13481,0.028347,0.032582
0.208333,0.235353,0.055687,0.039951
0.185764,0.215806,0.057089,0.059177
,,0.056958,0.062776
