REAL,ESTIMATE
0.199653,0.240112
0.270833,0.225625
0.298611,0.289986
0.420139,0.293043
0.425347,0.364743
0.345486,0.367884
0.335069,0.342406
0.265625,0.260197
0.251736,0.191112
0.104167,0.241519
0.282986,0.265690
0.434028,0.333658
0.154514,0.154772
0.178819,0.182441
0.137153,0.153062
0.203125,0.176471
0.152778,0.182945
0.177083,0.178185
0.288194,0.274087
0.227431,0.220440
0.138889,0.161150
0.189236,0.160230
0.279514,0.215401
0.286458,0.229248
0.206597,0.209449
0.114583,0.157359
0.112847,0.141866
0.116319,0.141937
0.081597,0.146191
0.213542,0.148496
0.274306,0.214307
0.213542,0.246729
0.147569,0.203152
0.166667,0.175468
0.279514,0.214176
0.208333,0.262418
0.135417,0.208911
0.079861,0.148245
0.119792,0.096001
0.136285,0.124053
0.135417,0.165644
0.121528,0.122766
0.074653,0.139710
0.092014,0.104259
0.083333,0.083369
0.190972,0.188254
0.152778,0.203259
0.118056,0.160522
0.111111,0.114203
0.130208,0.138571
0.138889,0.153680
0.144097,0.129458
0.135417,0.142316
0.168403,0.159759
0.239583,0.168695
0.168403,0.156604
0.109375,0.163855
0.079861,0.121285
0.085069,0.101247
0.109375,0.091759
0.130208,0.149387
0.269097,0.171991
0.217014,0.275608
0.135417,0.175790
0.149306,0.156365
0.086806,0.100377
0.067708,0.068744
0.057292,0.061810
0.062500,0.068765
0.156250,0.071472
0.164931,0.153625
0.088542,0.158823
0.130208,0.139425
0.083333,0.159240
0.119792,0.098022
0.138889,0.115855
0.069444,0.142868
0.078125,0.076382
0.083333,0.081185
0.071181,0.079690
0.151042,0.105392
0.279514,0.166369
0.270833,0.226262
0.095486,0.240034
0.164931,0.105682
0.133681,0.182677
0.130208,0.148925
0.164931,0.108923
0.133681,0.131189
0.097222,0.117544
0.130208,0.096636
0.126736,0.142620
0.131944,0.125589
0.105903,0.158536
0.111111,0.102235
0.220486,0.152224
0.156250,0.190042
0.222222,0.144743
0.206597,0.193037
0.223958,0.178135
0.170139,0.186657
0.107639,0.170346
0.088542,0.105002
0.069444,0.112061
0.067708,0.084259
0.069444,0.084514
0.079861,0.107753
0.097222,0.103762
0.076389,0.115569
0.076389,0.097795
0.079861,0.103059
0.072917,0.114332
0.097222,0.126531
0.123264,0.128316
0.105903,0.115323
0.100694,0.106018
0.119792,0.101303
0.090278,0.117390
0.090278,0.100555
0.072917,0.095913
0.059028,0.081477
0.062500,0.071674
0.064236,0.063749
0.083333,0.075445
0.100694,0.090756
0.098958,0.099128
0.076389,0.112095
0.092014,0.083693
0.088542,0.101474
0.090278,0.093324
0.079861,0.093078
0.111111,0.084601
0.072917,0.094307
0.072917,0.064560
0.085069,0.080454
0.074653,0.094056
0.072917,0.079069
0.083333,0.075963
0.081597,0.084670
0.079861,0.079858
0.131944,0.074618
0.135417,0.106533
0.095486,0.125383
0.109375,0.094987
0.090278,0.108270
0.095486,0.097972
0.092014,0.096585
0.072917,0.096424
0.079861,0.080840
0.069444,0.087448
0.081597,0.074843
0.090278,0.102881
0.081597,0.106685
0.083333,0.087582
0.086806,0.085794
0.088542,0.087360
0.076389,0.089532
0.083333,0.080060
0.086806,0.085778
0.083333,0.088380
0.081597,0.086683
0.079861,0.091081
0.071181,0.090212
0.064236,0.083076
0.062500,0.077230
0.062500,0.074340
0.072917,0.074714
0.065972,0.081617
0.060764,0.075621
0.067708,0.073463
0.059028,0.076077
0.064236,0.069436
0.074653,0.070058
0.098958,0.080593
0.071181,0.096964
0.078125,0.075752
0.064236,0.082054
0.067708,0.074369
0.067708,0.073854
0.076389,0.072844
0.092014,0.080552
0.083333,0.081761
0.147569,0.078505
0.140625,0.125647
0.105903,0.122124
0.086806,0.099146
0.079861,0.086681
0.065972,0.079928
0.081597,0.074553
0.090278,0.083951
0.078125,0.093461
0.090278,0.088697
0.085069,0.093320
0.081597,0.099824
0.065972,0.099722
0.081597,0.081033
0.102431,0.087474
0.111111,0.101374
0.086806,0.102136
0.102431,0.089240
0.121528,0.101461
0.090278,0.113046
0.078125,0.095252
0.103299,0.088282
0.088542,0.106472
0.069444,0.091245
0.093750,0.081852
0.109487,0.100179
0.088430,0.113633
0.085069,0.096306
0.081597,0.095499
0.088542,0.096085
0.107639,0.096075
0.095486,0.105095
0.081597,0.094705
0.072917,0.087900
0.090278,0.078274
0.079861,0.097681
0.097222,0.092444
0.079861,0.099925
0.085069,0.086525
0.072917,0.087746
0.069444,0.080804
0.093750,0.076360
0.078125,0.093610
0.069444,0.081020
0.059028,0.075876
0.065972,0.071763
0.083333,0.077277
0.076389,0.089602
0.098958,0.081410
0.097222,0.100660
0.072917,0.094616
0.090278,0.078783
0.065972,0.099591
0.067708,0.078791
0.107639,0.074769
0.081597,0.096674
0.098958,0.079043
0.121528,0.098574
0.131944,0.109350
0.095486,0.116946
0.078125,0.097803
0.069444,0.083404
0.098958,0.077785
0.116319,0.093473
0.138889,0.109064
0.123264,0.127600
0.090278,0.110413
0.107639,0.094825
0.144097,0.111725
0.190972,0.141662
0.161458,0.161317
0.125000,0.132277
0.111111,0.112730
0.100694,0.109702
0.123264,0.105693
0.140625,0.124950
0.185764,0.135932
0.168403,0.155588
0.210069,0.152591
0.173611,0.184890
0.177083,0.162104
0.189236,0.166485
0.126736,0.162203
0.083333,0.123702
0.163194,0.093857
0.166667,0.157804
0.222222,0.158022
0.135417,0.193161
0.137153,0.132503
0.175347,0.139120
0.225694,0.167487
0.227431,0.201360
0.161458,0.197141
0.142361,0.151902
0.199653,0.131710
0.159722,0.176989
0.133681,0.150830
0.201389,0.140775
0.154514,0.177546
0.123264,0.158651
0.107639,0.137242
0.079861,0.113095
0.074653,0.100744
0.118056,0.086242
0.137153,0.112545
0.154514,0.152396
0.131944,0.156266
0.185764,0.143155
0.156250,0.185681
0.220486,0.173557
0.243056,0.201170
0.130208,0.204307
0.100694,0.128472
0.100694,0.101382
0.161458,0.110064
0.118056,0.167804
0.144097,0.138778
0.069444,0.168670
0.130208,0.112583
0.164931,0.154491
0.154514,0.157681
0.107639,0.121087
0.178819,0.132482
0.220486,0.155432
0.295139,0.190798
0.163194,0.247799
0.190972,0.164161
0.270833,0.185011
0.263889,0.231365
0.487847,0.239106
0.322917,0.289010
0.177083,0.232559
0.098958,0.151727
0.135417,0.117334
0.215278,0.138838
0.204861,0.203315
0.312500,0.197016
0.142361,0.265678
0.159722,0.166059
0.185764,0.174412
0.213542,0.193234
0.241319,0.199203
0.218750,0.228201
0.194444,0.194711
0.282986,0.182343
0.399306,0.249349
0.310764,0.270276
0.236111,0.242901
0.137153,0.188401
0.154514,0.153443
0.208333,0.134029
0.184028,0.189399
0.282986,0.177123
0.243056,0.237116
0.234375,0.231536
0.265625,0.234851
0.204861,0.228210
0.154514,0.206907
0.173611,0.180285
0.151042,0.188336
0.197917,0.162097
0.187500,0.212013
0.180556,0.194710
0.173611,0.184659
0.194444,0.205506
0.274306,0.192020
0.265625,0.231613
0.314236,0.231777
0.272569,0.195224
0.251736,0.221289
0.062500,0.107066
0.135417,0.138442
0.446181,0.185155
0.307292,0.321518
0.130208,0.276414
0.140625,0.162903
0.215278,0.165600
0.258681,0.202628
0.128472,0.238740
0.151042,0.162561
0.156250,0.126124
0.161458,0.147767
0.161458,0.177754
0.145833,0.161268
0.114583,0.136222
0.088542,0.143478
0.140625,0.089446
0.178819,0.145148
0.116319,0.184364
0.137153,0.133189
0.178819,0.152421
0.131944,0.185421
0.215278,0.160709
0.170139,0.136985
0.104167,0.160363
0.118056,0.137752
0.203125,0.173272
0.217014,0.228600
0.291667,0.227391
0.189236,0.256428
0.071181,0.200975
0.138889,0.111451
0.120660,0.149331
0.128472,0.159299
0.156250,0.149388
0.237847,0.150371
0.232639,0.227454
0.385417,0.242035
0.208333,0.262606
0.151042,0.190482
0.201389,0.181799
0.394097,0.183561
0.253472,0.300863
0.116319,0.135422
0.133681,0.127128
0.170139,0.144518
0.175347,0.186742
0.201389,0.187011
0.196181,0.171671
0.182292,0.193872
0.175347,0.185416
0.178819,0.176344
0.086806,0.161494
0.086806,0.123110
0.083333,0.115060
0.071181,0.099471
0.067708,0.071980
0.085069,0.098556
0.073785,0.113440
0.071181,0.115043
0.149306,0.106768
0.151042,0.156638
0.180556,0.158801
0.123264,0.149709
0.071181,0.117628
0.079861,0.083746
0.168403,0.091001
0.152778,0.160190
0.128472,0.150964
0.159722,0.121796
0.102431,0.142937
0.080729,0.099793
0.157986,0.120808
0.203125,0.176999
0.157986,0.177662
0.163194,0.128869
0.154514,0.132884
0.262153,0.166928
0.217014,0.227991
0.123264,0.232921
0.147569,0.142130
0.105903,0.150700
0.138889,0.080127
0.135417,0.146985
0.100694,0.143588
0.097222,0.114647
0.135417,0.127489
0.173611,0.144545
0.144097,0.166524
0.164931,0.179358
0.112847,0.149702
0.107639,0.134037
0.105903,0.115129
0.133681,0.132092
0.175347,0.141936
0.128472,0.160077
0.114583,0.129833
0.133681,0.118035
0.182292,0.156859
0.126736,0.187282
0.118056,0.147523
0.109375,0.122663
0.175347,0.110916
0.213542,0.162697
0.125000,0.198342
0.112847,0.125543
0.149306,0.112819
0.149306,0.146411
0.112847,0.169694
0.149306,0.136078
0.154514,0.146691
0.116319,0.152097
0.123264,0.122742
0.185764,0.143322
0.140625,0.142848
0.098958,0.137586
0.112847,0.103138
0.119792,0.130475
0.104167,0.153252
0.135417,0.122982
0.154514,0.148313
0.105903,0.150268
0.126736,0.106683
0.116319,0.131081
0.118056,0.118559
0.133681,0.133307
0.102431,0.133245
0.083333,0.110571
0.108507,0.103941
0.118056,0.126738
0.090278,0.131744
0.090278,0.093313
0.078125,0.097900
0.076389,0.098849
0.118056,0.100961
0.097222,0.125109
0.125000,0.104043
0.121528,0.126162
0.086806,0.121304
0.078125,0.097260
0.092014,0.088201
0.107639,0.100816
0.092014,0.106330
0.100694,0.092603
0.126736,0.106901
0.110243,0.133619
0.100694,0.112050
0.123264,0.108015
0.093750,0.121944
0.098958,0.098773
0.083333,0.099215
0.078125,0.091347
0.078125,0.087974
0.105903,0.090200
0.090278,0.108769
0.098958,0.104207
0.114583,0.105273
0.112847,0.116755
0.092014,0.119203
0.083333,0.095839
0.100694,0.091850
0.076389,0.095919
0.092014,0.082256
0.090278,0.089345
0.095486,0.099426
0.118056,0.101262
0.107639,0.112029
0.102431,0.111688
0.098958,0.111664
0.109375,0.098809
0.112847,0.103882
0.114583,0.115147
0.111111,0.108288
0.130208,0.112045
0.133681,0.126092
0.102431,0.124468
0.135417,0.110970
0.131944,0.126739
0.119792,0.123068
0.137153,0.117386
0.116319,0.132944
0.111111,0.115256
0.105903,0.108379
0.102431,0.106365
0.109375,0.103786
0.118056,0.113596
0.114583,0.114994
0.116319,0.121438
0.149306,0.120230
0.116319,0.137566
0.105903,0.116253
