REAL,ESTIMATE
0.223108,0.144674
0.147410,0.202077
0.123506,0.135152
0.115538,0.129329
0.163347,0.124367
0.187251,0.156828
0.163347,0.179765
0.159363,0.153163
0.163347,0.157923
0.099602,0.151487
0.143426,0.104049
0.163347,0.135439
0.095618,0.159021
0.135458,0.111667
0.147410,0.143688
0.111554,0.162014
0.107570,0.123348
0.121514,0.118756
0.087649,0.129781
0.079681,0.111045
0.087649,0.106434
0.095618,0.108152
0.083665,0.107831
0.063745,0.100735
0.063745,0.081157
0.063745,0.089559
0.075697,0.086793
0.075697,0.083390
0.075697,0.090896
0.095618,0.100530
0.119522,0.100774
0.073705,0.116534
0.051793,0.084988
0.059761,0.069819
0.079681,0.083100
0.107570,0.090772
0.107570,0.109667
0.127490,0.111901
0.139442,0.119693
0.135458,0.125335
0.139442,0.125582
0.147410,0.126107
0.115538,0.135217
0.127490,0.117363
0.167331,0.125571
0.167331,0.155640
0.155378,0.154258
0.103586,0.141469
0.127490,0.106398
0.139442,0.125917
0.131474,0.134628
0.111554,0.127534
0.135458,0.117601
0.135458,0.138389
0.203187,0.137122
0.143426,0.175357
0.095618,0.139893
0.087649,0.104692
0.079681,0.101756
0.183267,0.100068
0.175299,0.165254
0.191235,0.157073
0.239044,0.170267
0.175299,0.199623
0.211155,0.156183
0.262948,0.178282
0.254980,0.211305
0.262948,0.220369
0.179283,0.222767
0.219124,0.179709
0.163347,0.206023
0.139442,0.152409
0.131474,0.140681
0.099602,0.145443
0.127490,0.134235
0.103586,0.152445
0.087649,0.119104
0.171315,0.125211
0.207171,0.170766
0.262948,0.197194
0.298805,0.244777
0.470120,0.287282
0.382470,0.401416
0.163347,0.309281
0.091633,0.156101
0.079681,0.107567
0.051793,0.096820
0.127490,0.078874
0.179283,0.142752
0.155378,0.204523
0.111554,0.182312
0.111554,0.121384
0.179283,0.121236
0.187251,0.172292
0.155378,0.184054
0.079681,0.183503
0.099602,0.158718
0.167331,0.153675
0.235060,0.172593
0.191235,0.199864
0.099602,0.173710
0.103586,0.100224
0.083665,0.103327
0.131474,0.083407
0.159363,0.116230
0.270916,0.151157
0.187251,0.246659
0.239044,0.192320
0.294821,0.218854
0.302789,0.249253
0.119522,0.245458
0.151394,0.140413
0.247012,0.155846
0.282869,0.246155
0.258964,0.257190
0.422311,0.234075
0.501992,0.376599
0.458167,0.441332
0.247012,0.382505
0.262948,0.219006
0.374502,0.259184
0.274900,0.325218
0.282869,0.258420
0.219124,0.294927
0.147410,0.259175
0.258964,0.180832
0.374502,0.239362
0.350598,0.354862
0.326693,0.349663
0.362550,0.323038
0.442231,0.441818
0.466135,0.400652
0.254980,0.414005
0.298805,0.261030
0.163347,0.316280
0.147410,0.215064
0.406375,0.186409
0.358566,0.347672
0.306773,0.296182
