E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,3,0.8,5,0.318149,0.301978,0.123959,0.163156
11,3,0.8,6,0.340779,0.294407,0.121885,0.164038
11,3,0.8,7,0.361989,0.311925,0.119908,0.161989
11,3,0.8,8,0.439760,0.368223,0.112362,0.155221
11,3,0.8,9,0.470732,0.303562,0.109212,0.162971
11,3,0.8,10,0.544722,0.228033,0.101291,0.171580
11,3,0.8,11,0.524165,0.287405,0.103553,0.164850
11,3,0.8,12,0.393376,0.212729,0.116921,0.173273
11,3,0.8,13,0.426886,0.266257,0.113646,0.167279
11,3,0.8,14,0.549005,0.373213,0.100814,0.154607
11,3,0.8,15,0.502996,0.262267,0.105831,0.167733
