REAL,ESTIMATE
0.245087,0.254202
0.223699,0.275355
0.190173,0.235110
0.165896,0.233482
0.156936,0.229659
0.238150,0.210727
0.472832,0.230497
0.250289,0.465449
0.260694,0.276497
0.193642,0.293017
0.071676,0.254109
0.031214,0.166050
0.074566,0.157809
0.107514,0.183850
0.493642,0.149453
0.256069,0.436480
0.131792,0.270930
0.190173,0.163385
0.091908,0.219335
0.230058,0.181898
0.270773,0.187057
0.276626,0.209398
0.319653,0.233536
0.032370,0.260013
0.166474,0.145156
0.187861,0.206691
0.182081,0.171854
0.198844,0.177112
0.249711,0.194041
0.151445,0.215600
0.057225,0.140418
0.300578,0.155972
0.259538,0.255990
0.182659,0.235003
0.122543,0.165808
0.271965,0.186544
0.284393,0.258527
0.342775,0.245050
0.430058,0.280889
0.449711,0.279598
0.641040,0.280876
0.445087,0.464884
0.384393,0.286750
0.272254,0.267515
0.232948,0.212960
0.230058,0.258964
0.105780,0.222007
0.243353,0.232164
0.186127,0.249080
0.175145,0.196916
0.087283,0.230562
0.236994,0.244569
0.397688,0.332524
0.497110,0.401578
0.483815,0.413129
0.386705,0.474025
0.129480,0.376975
0.287283,0.234910
0.158960,0.257359
0.060694,0.197101
0.480347,0.140639
0.667630,0.371614
0.645087,0.836156
0.655491,0.751284
0.509249,0.520844
0.460116,0.282631
0.552601,0.318418
0.595954,0.471635
0.506936,0.561839
0.434682,0.336557
0.463584,0.492290
0.301156,0.387298
0.305780,0.292994
0.386127,0.478068
0.185549,0.418361
0.207514,0.195552
0.250289,0.370945
0.072254,0.426860
0.275723,0.258183
0.518497,0.000000
0.510983,0.000000
0.641040,0.548567
0.881503,0.556627
0.765318,0.632399
0.310405,0.530367
0.222543,0.251151
0.145665,0.215752
0.153179,0.155380
0.302890,0.393233
0.501156,0.338381
0.413873,0.365627
0.404046,0.375328
0.353757,0.336413
0.276301,0.311930
0.429480,0.353201
0.273410,0.361809
0.171676,0.349178
0.305780,0.271761
0.377457,0.295423
0.427746,0.406200
0.267630,0.464908
0.232948,0.247675
0.171676,0.246468
0.179191,0.213859
0.059538,0.208820
0.219653,0.206882
0.520231,0.346231
0.468786,0.333301
0.363584,0.312564
0.619653,0.361822
0.471676,0.474385
0.073988,0.351895
0.173988,0.181471
0.261850,0.177309
0.397110,0.207615
0.582081,0.326001
0.855202,0.545957
0.867630,0.697644
0.664451,0.684970
0.256647,0.567702
0.423699,0.241467
0.527746,0.190556
0.617919,0.599395
0.258382,0.483957
0.054335,0.320156
0.084393,0.320970
0.606936,0.344835
0.689595,0.463984
0.720231,0.470801
0.570520,0.497305
0.613295,0.621169
0.583237,0.352613
0.446243,0.107769
0.225434,0.763442
0.378613,0.423086
0.105780,0.355167
0.240462,0.232629
0.668208,0.169971
0.713295,0.440104
0.452023,0.370170
