REAL,ESTIMATE
0.610405,0.343991
0.290173,0.433222
0.050867,0.285041
0.049711,0.251614
0.275145,0.249925
0.472832,0.290028
0.224855,0.312951
0.153757,0.281144
0.094798,0.272635
0.238150,0.260112
0.373988,0.266064
0.423699,0.312235
0.380347,0.310069
0.332370,0.315203
0.364740,0.296181
0.491908,0.333102
0.383237,0.320554
0.242197,0.316869
0.375145,0.300106
0.408092,0.297559
0.375723,0.364060
0.512717,0.351042
0.502312,0.339312
0.571098,0.437294
0.668786,0.548562
0.743931,0.419242
0.640462,0.608913
0.460694,0.419867
0.579769,0.512490
0.156647,0.157485
0.472832,0.266132
0.649133,0.367676
0.082659,0.490559
0.151445,0.242051
0.106936,0.289365
0.339306,0.291500
0.153179,0.309424
0.197110,0.300372
0.572832,0.299050
0.672832,0.370043
0.134104,0.434373
0.363006,0.287323
0.456069,0.330682
0.428324,0.385644
0.511561,0.325301
0.257803,0.350620
0.437572,0.319674
0.287283,0.344156
0.153179,0.328965
0.421965,0.288368
0.491329,0.330329
0.472832,0.399791
0.386127,0.371007
0.342197,0.350377
0.788728,0.642626
0.379191,0.470683
0.387283,0.358152
0.138728,0.333656
0.439884,0.257368
0.476879,0.502541
0.443931,0.382703
0.395954,0.300896
0.128902,0.389674
0.279191,0.296582
0.091329,0.291008
0.436416,0.264167
0.533815,0.410863
0.562428,0.372494
0.486127,0.451830
0.524277,0.487693
0.484971,0.414825
0.333526,0.407611
0.431792,0.377566
0.531214,0.329568
0.617919,0.436161
0.584971,0.456943
0.316185,0.401405
0.147399,0.374107
0.154913,0.311916
0.260694,0.301198
0.257803,0.351748
0.457225,0.333896
0.372254,0.379969
0.524277,0.392527
0.495376,0.420864
0.169942,0.393430
0.120231,0.319850
0.158382,0.277864
0.163584,0.299977
0.355491,0.278182
0.293642,0.313193
0.088439,0.338608
0.250289,0.240758
0.055491,0.291881
0.199422,0.265123
0.365318,0.260020
0.177457,0.343489
0.338150,0.279765
0.325434,0.314604
0.163006,0.340549
0.149711,0.261040
0.332948,0.250014
0.241618,0.327838
0.140462,0.251138
0.269942,0.229242
0.360694,0.304836
0.276879,0.284713
0.385549,0.263208
0.247399,0.350875
0.136994,0.257428
0.421387,0.221146
0.339306,0.402485
0.351445,0.303327
0.190751,0.256723
0.171098,0.298857
0.271676,0.250100
0.328324,0.235744
0.402312,0.404555
0.451445,0.433577
0.425434,0.390416
0.285549,0.415395
0.364162,0.274451
0.202890,0.297707
0.068208,0.323680
0.108671,0.217494
0.123121,0.250123
0.236994,0.280259
0.128324,0.267680
0.220231,0.240871
0.256069,0.292464
0.180347,0.271979
0.147399,0.235058
0.241040,0.266752
0.189017,0.278594
0.135260,0.239851
0.250867,0.246119
0.289595,0.271273
0.185549,0.257271
0.149133,0.240941
0.157803,0.243719
0.136416,0.231934
0.146243,0.220068
0.279769,0.236508
0.222543,0.273092
0.244509,0.232696
0.192486,0.250606
0.124277,0.253597
0.089017,0.209970
0.142775,0.209115
0.215607,0.225109
0.264740,0.213900
0.217919,0.230900
0.136705,0.226443
0.135838,0.191608
0.309249,0.204622
0.189595,0.249739
0.175145,0.200638
0.312139,0.222069
0.256647,0.269929
0.100578,0.218615
0.154913,0.199356
0.161850,0.233674
0.112139,0.198487
0.198844,0.186340
0.257225,0.263729
0.241618,0.231692
0.234104,0.206880
0.232948,0.260148
0.163584,0.227513
0.104624,0.187776
0.234104,0.219019
0.162428,0.246270
0.245665,0.191757
0.226590,0.243714
0.187283,0.239140
0.109827,0.195835
0.128902,0.206707
0.217341,0.216468
0.208092,0.207338
0.232948,0.231147
0.224277,0.247094
0.205780,0.213578
0.098266,0.234273
0.048555,0.206921
0.145665,0.171247
0.204046,0.214059
0.264740,0.232058
0.307514,0.218191
0.103468,0.246604
0.094220,0.203254
0.078035,0.181991
0.115607,0.190178
0.165976,0.195004
0.456568,0.195994
0.329480,0.340703
0.272832,0.242567
0.212139,0.220303
0.284393,0.226965
0.158960,0.233420
0.283815,0.197582
0.379191,0.307425
0.252601,0.277215
0.300578,0.224845
0.250289,0.266260
0.226590,0.241249
0.149711,0.220773
0.138728,0.233525
0.100000,0.235282
0.107630,0.197394
0.223584,0.222788
0.174566,0.242449
0.353179,0.200465
0.467052,0.265129
0.335260,0.323498
0.238150,0.242187
0.283237,0.253104
0.493642,0.269420
0.300000,0.303657
0.232370,0.267727
0.230058,0.268033
0.231792,0.240942
0.367630,0.261829
0.433526,0.362125
0.577457,0.503215
0.352601,0.459542
0.208092,0.360019
0.308671,0.274377
0.432948,0.307804
0.712139,0.394100
0.554913,0.696141
0.687283,0.564355
0.423699,0.487822
0.406936,0.338567
0.389017,0.346398
0.281503,0.355027
0.253179,0.314346
0.316185,0.331993
0.312139,0.365049
0.256069,0.318272
0.263006,0.324281
0.226590,0.353517
0.109249,0.309608
0.230636,0.271019
0.251445,0.332198
0.119075,0.326400
0.131792,0.259076
0.128324,0.284790
0.179191,0.261252
0.255792,0.258129
0.230590,0.293061
0.177318,0.274354
0.122428,0.252041
0.219075,0.265308
0.287861,0.278373
0.068208,0.276930
0.187283,0.235020
0.384393,0.262577
0.258960,0.306855
0.361272,0.265779
0.494798,0.337255
0.443931,0.400069
0.391329,0.342505
0.287283,0.354306
0.171676,0.295246
0.395954,0.241497
0.515607,0.360282
0.472832,0.588721
0.295376,0.345802
0.158960,0.319485
0.455491,0.257653
0.765318,0.331593
0.961272,0.858363
0.713873,0.669629
0.364162,0.471529
0.033526,0.327076
0.098844,0.214228
0.394220,0.232572
0.449133,0.426420
0.405780,0.319361
0.489595,0.490392
0.589595,0.393491
0.286127,0.352920
0.547399,0.286766
0.668208,0.437830
0.067630,0.357935
0.012717,0.229783
0.370520,0.274219
0.285549,0.324690
0.471676,0.284468
0.206358,0.352013
0.339306,0.240753
0.524277,0.284300
0.620809,0.397261
0.677457,0.354326
0.623699,0.383144
0.395376,0.413223
0.442775,0.314229
0.194798,0.349887
0.342197,0.309013
0.624277,0.287227
0.409827,0.387434
0.295376,0.325284
0.246821,0.267663
0.000000,0.296112
0.060116,0.262632
0.202890,0.255475
0.184393,0.293416
0.119075,0.258669
0.153179,0.282461
0.471098,0.272964
0.324277,0.313451
0.573410,0.305410
0.755491,0.338445
0.217919,0.339307
0.339306,0.263627
0.119653,0.311901
0.464740,0.235995
0.573988,0.319750
0.151445,0.376602
0.075145,0.235320
0.405780,0.237373
0.657225,0.378133
0.271676,0.359253
0.204624,0.269591
0.444509,0.309698
0.683815,0.309727
0.527168,0.524769
0.156069,0.424132
0.374855,0.225040
0.686127,0.293812
0.750867,0.627784
0.747977,0.309433
0.548555,0.384417
0.274566,0.390662
0.067630,0.259669
0.146821,0.212246
0.535838,0.283210
0.556069,0.346857
0.777457,0.620639
0.177457,0.472850
0.161850,0.272181
0.444509,0.273394
0.563584,0.406863
0.461272,0.309964
0.246821,0.302823
0.435838,0.318355
0.690751,0.348376
0.765896,0.369686
0.527746,0.417128
0.413295,0.361923
0.157225,0.297414
0.493642,0.275311
0.173410,0.389637
0.500578,0.288103
0.657803,0.357831
0.470520,0.421094
0.497688,0.336222
0.606936,0.375329
0.584393,0.449383
0.332948,0.398297
0.138150,0.308565
0.300578,0.299666
0.531792,0.302345
0.195376,0.379719
0.239884,0.310336
0.428324,0.286088
0.561850,0.350173
0.723121,0.399988
0.632948,0.422195
0.381503,0.419801
0.486705,0.369228
0.517919,0.405822
0.054913,0.419380
0.213873,0.262931
0.438439,0.321643
0.492486,0.393465
0.106358,0.346317
0.154335,0.259675
0.625434,0.311924
0.474566,0.414887
0.381503,0.353083
0.182081,0.381835
0.197110,0.296245
0.385549,0.303399
0.476879,0.411457
0.453179,0.325631
0.198266,0.333300
0.150867,0.323657
0.276301,0.254009
0.390751,0.295171
0.117919,0.369347
0.141618,0.243200
0.478613,0.260260
0.143353,0.408246
0.490173,0.246720
0.456069,0.358797
0.076879,0.418973
0.367052,0.203540
0.584393,0.600148
0.545665,0.557122
0.555491,0.290740
0.184393,0.389121
0.062428,0.328935
0.198844,0.201654
0.216185,0.279058
0.307514,0.320452
0.341040,0.245869
0.510983,0.488289
0.675723,0.402361
1.000000,0.993941
0.464740,0.491350
