E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.613927,0.375791,0.100673,0.119089
11,2,0.8,6,0.625168,0.354248,0.099196,0.121127
11,2,0.8,7,0.634846,0.318829,0.097907,0.124404
11,2,0.8,8,0.621610,0.314126,0.099666,0.124833
11,2,0.8,9,0.645733,0.325432,0.096437,0.123800
11,2,0.8,10,0.660500,0.322532,0.094405,0.124066
11,2,0.8,11,0.654737,0.327960,0.095203,0.123568
11,2,0.8,12,0.673323,0.315818,0.092605,0.124679
11,2,0.8,13,0.657675,0.370847,0.094797,0.119560
11,2,0.8,14,0.679548,0.304458,0.091719,0.125710
11,2,0.8,15,0.681764,0.288954,0.091401,0.127103
