REAL,ESTIMATE
0.128342,0.271961
0.030897,0.155691
0.001783,0.129925
0.139037,0.143609
0.414141,0.194477
0.037433,0.209494
0.265597,0.126014
0.050505,0.203006
0.234106,0.132774
0.232917,0.217257
0.012478,0.161820
0.218657,0.145248
0.450386,0.207681
0.462864,0.263450
0.290553,0.235681
0.128936,0.201954
0.314320,0.184544
0.389186,0.280902
0.465835,0.201744
0.388592,0.342362
0.224005,0.290332
0.168746,0.280294
0.246583,0.203702
0.281640,0.211388
0.300059,0.260029
0.250149,0.345190
0.409388,0.301862
0.416518,0.345465
0.241236,0.309946
0.335710,0.293690
0.410576,0.367691
0.376708,0.366982
0.363636,0.350369
0.346405,0.356205
0.292335,0.331129
0.244801,0.327863
0.366013,0.307675
0.420677,0.366566
0.222816,0.374273
0.475936,0.313658
0.306595,0.384486
0.366607,0.310912
0.569222,0.370092
0.487819,0.475180
0.538919,0.426698
0.355318,0.447446
0.489602,0.398547
0.459299,0.423188
0.195484,0.401647
0.086156,0.334661
0.617944,0.273551
0.493761,0.472201
0.453951,0.429789
0.559715,0.420168
0.346999,0.462991
0.549020,0.382040
0.304813,0.465493
0.401664,0.411398
0.511586,0.434650
0.401664,0.474890
0.519311,0.421349
0.462270,0.444397
0.424242,0.393969
0.486037,0.446739
0.254605,0.435404
0.791444,0.682518
0.528818,0.575540
0.720737,0.446983
0.374332,0.500209
0.420083,0.396646
0.521687,0.453038
0.437908,0.446324
0.571004,0.478195
0.394534,0.479849
0.616756,0.476363
0.423648,0.482070
0.318479,0.446327
0.266191,0.379594
0.375520,0.446490
0.364231,0.358160
0.300059,0.525329
0.653595,0.672046
0.590018,0.583283
0.305407,0.452744
0.257279,0.385504
0.372549,0.405871
0.556150,0.377179
0.609031,0.479600
0.717766,0.536599
0.628045,0.639478
0.649436,0.506564
0.612002,0.550434
0.701129,0.524655
0.569816,0.578296
0.467617,0.481995
0.535354,0.462064
0.544266,0.489166
0.598336,0.485177
0.597742,0.563912
0.489602,0.576220
0.600713,0.545262
0.594771,0.577495
0.449198,0.524897
0.642900,0.476162
0.515746,0.604107
0.474747,0.575114
0.606655,0.540750
0.404040,0.594780
0.518717,0.474875
0.652406,0.555854
0.735591,0.623527
0.785502,0.666592
