REAL,ESTIMATE
0.548425,0.424180
0.373143,0.474633
0.522876,0.406529
0.798574,0.427690
0.606061,0.597469
0.568033,0.501755
0.417112,0.547164
0.569816,0.443785
0.155674,0.474064
0.291741,0.417012
0.480095,0.372066
0.594177,0.407100
0.478907,0.514779
0.307190,0.506416
0.370172,0.329301
0.572787,0.377226
0.225787,0.492796
0.528818,0.342282
0.587641,0.538216
0.545455,0.457014
0.531788,0.516633
0.345811,0.463226
0.299131,0.411179
0.579657,0.339369
0.207962,0.509285
0.348188,0.448913
0.295900,0.522789
0.279263,0.329918
0.317885,0.253809
0.294118,0.336037
0.246583,0.695837
0.273916,0.277409
0.396316,0.187112
0.354130,0.389162
0.316696,0.347787
0.326203,0.332720
0.293523,0.269725
0.290255,0.302795
0.306001,0.314710
0.349376,0.328722
0.348188,0.335060
0.473559,0.335953
0.209745,0.396540
0.316696,0.271105
0.417706,0.332112
0.453951,0.368707
0.358883,0.396095
0.361260,0.359867
0.380273,0.386245
0.286393,0.343143
0.228758,0.319337
0.330362,0.312197
0.581699,0.366641
0.314914,0.441811
0.226976,0.370566
0.210933,0.293173
0.251337,0.294676
0.309566,0.268612
0.354724,0.306551
0.221034,0.381840
0.219846,0.302062
0.298871,0.258133
0.174688,0.272570
0.142008,0.255835
0.321450,0.256390
0.326203,0.315081
0.296494,0.282091
0.409388,0.296399
0.319667,0.351654
0.307190,0.331071
0.341652,0.302907
0.212121,0.317451
0.139632,0.266969
0.280452,0.240931
0.229352,0.305910
0.136661,0.272354
0.293523,0.235328
0.297089,0.314278
0.244801,0.305850
0.351159,0.270586
0.221628,0.330764
0.062983,0.271048
0.163399,0.201794
0.191919,0.240462
0.096257,0.249400
0.194890,0.211910
0.340463,0.267048
0.285799,0.310418
0.322638,0.264645
0.256684,0.293557
0.123292,0.279603
0.065359,0.214008
0.153892,0.186786
0.156863,0.220723
0.140820,0.208204
0.178550,0.220180
0.026738,0.235438
0.237671,0.181087
0.309566,0.231990
0.118835,0.268816
0.142008,0.207745
0.203209,0.190771
0.218657,0.198701
0.202020,0.201947
0.266786,0.209912
0.294712,0.227726
0.442068,0.249058
0.324421,0.277970
0.124777,0.253217
0.055258,0.184822
0.216280,0.180869
0.055258,0.223863
0.176471,0.164377
0.352347,0.200792
0.329768,0.277619
0.323232,0.283443
0.185383,0.257081
0.058824,0.226130
0.013369,0.187875
0.017231,0.188724
0.017231,0.165748
0.303030,0.165145
0.207962,0.237146
0.103981,0.249964
0.004753,0.193025
0.292335,0.160748
0.416518,0.239922
0.295306,0.275228
0.014854,0.228174
0.025550,0.115032
0.024361,0.132204
0.047534,0.132702
0.026738,0.161241
0.120618,0.132730
0.260250,0.203871
0.335710,0.182440
0.222816,0.217761
0.376708,0.137242
0.264409,0.243818
0.039810,0.173017
0.019014,0.134485
0.150327,0.087759
