E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,5,0.8,5,0.568701,0.324299,0.034748,0.025577
10,5,0.8,6,0.539155,0.359773,0.035918,0.024897
10,5,0.8,7,0.617693,0.430459,0.032715,0.023482
10,5,0.8,8,0.536128,0.340693,0.036036,0.025265
10,5,0.8,9,0.623592,0.383795,0.032461,0.024425
10,5,0.8,10,0.723977,0.438146,0.027798,0.023323
10,5,0.8,11,0.667187,0.180172,0.030524,0.028173
10,5,0.8,12,0.689374,0.398046,0.029489,0.024141
10,5,0.8,13,0.650254,0.410170,0.031290,0.023897
10,5,0.8,14,0.768841,0.346497,0.025438,0.025153
10,5,0.8,15,0.762720,0.371378,0.025773,0.024670
