REAL,ESTIMATE
44.541667,37.276619
59.750000,45.948706
84.208333,52.167621
130.208333,81.064314
53.958333,53.886503
47.000000,47.121944
61.145833,53.373597
103.291667,107.737208
105.916667,68.652491
51.416667,66.691788
59.750000,53.104300
43.958333,61.416849
32.500000,45.197909
35.583333,36.033701
28.666667,39.608623
39.708333,39.783613
39.750000,44.617527
20.125000,39.726722
26.708333,27.393837
15.750000,28.172859
60.500000,22.306332
31.708333,48.583042
42.208333,36.102840
48.666667,40.590194
15.375000,41.239413
8.333333,20.909742
14.708333,12.909847
24.291667,27.407348
18.291667,29.412288
22.791667,25.803427
25.416667,29.856356
15.375000,29.564608
31.500000,18.859884
62.562500,28.523712
72.833333,55.923774
19.583333,53.706309
25.666667,28.725159
58.250000,32.158370
68.583333,49.827437
92.958333,56.060601
101.958333,64.684239
150.875000,69.807829
151.333333,120.061364
130.875000,115.292397
109.125000,77.811068
97.750000,72.606932
100.375000,72.012654
24.625000,71.951719
51.916667,56.192653
78.041667,60.852711
34.291667,60.766860
31.083333,50.927674
27.750000,49.027715
37.125000,43.711324
35.166667,42.112191
33.291667,43.027187
47.791667,38.982758
37.041667,38.330949
40.208333,38.163654
54.958333,36.049569
90.395833,60.633149
91.500000,68.842259
68.854167,91.637496
132.395833,110.029443
113.916667,96.800055
64.583333,84.777779
26.416667,61.458688
52.500000,45.078960
77.041667,53.885766
50.458333,60.766209
52.583333,50.947514
59.833333,47.714436
89.208333,49.568436
104.458333,67.546109
46.708333,63.654443
30.541667,43.156745
56.125000,44.507692
62.208333,58.881047
55.291667,62.786760
45.541667,50.569755
19.333333,39.121107
38.208333,28.629205
37.333333,36.574177
67.708333,58.917438
44.416667,60.886054
63.500000,41.951553
57.208333,71.486834
69.375000,52.108326
68.500000,53.357537
70.625000,56.446042
64.416667,91.357270
68.500000,77.595153
142.291667,103.633436
92.458333,100.649196
63.791667,76.413818
43.750000,62.141947
40.916667,53.740599
52.958333,45.779738
49.166667,57.380069
66.708333,50.519491
90.541667,61.363360
58.041667,63.182471
48.708333,57.549030
24.208333,40.656598
9.583333,29.300901
13.750000,31.926918
21.666667,26.545793
48.958333,34.192335
67.458333,51.591615
24.166667,52.577164
35.166667,23.656348
34.625000,27.619137
36.000000,36.424309
41.208333,32.611473
27.666667,38.721093
31.458333,35.358859
26.875000,31.916902
26.000000,31.028814
36.833333,32.357087
80.541667,47.477261
69.208333,64.665003
38.708333,57.432943
42.541667,45.825020
38.666667,43.775057
39.791667,39.907999
53.250000,39.779941
66.166667,49.503368
49.666667,56.245318
41.458333,45.205673
60.666667,40.773174
59.875000,60.702794
43.458333,65.310868
74.583333,57.050543
138.875000,98.962389
160.854167,116.830696
110.270833,156.830094
63.791667,74.903567
107.541667,61.027724
88.750000,75.163111
73.166667,66.032538
22.375000,64.667325
17.958333,21.237646
16.104167,50.232119
23.583333,39.455487
29.583333,39.792953
28.958333,37.127841
34.125000,42.949820
28.958333,42.942611
19.583333,27.919668
21.166667,20.752154
42.166667,22.786730
32.416667,37.760600
32.375000,32.121145
28.250000,33.017844
44.708333,29.487048
50.250000,41.106790
47.125000,44.478734
43.791667,42.756588
17.750000,38.852703
18.875000,23.916970
24.333333,23.748324
31.333333,35.869530
38.916667,38.386346
40.375000,39.032223
