REAL,ESTIMATE
38.000000,33.525690
40.000000,37.429927
43.000000,38.776856
42.000000,42.394197
42.000000,41.559376
50.000000,41.525586
61.000000,48.129642
63.000000,59.821290
55.000000,59.622592
51.000000,52.871707
62.000000,49.639398
93.000000,61.053165
88.000000,91.591594
109.000000,85.964362
123.000000,107.382557
142.000000,121.999000
168.000000,140.244506
159.000000,166.108349
163.000000,156.837675
161.000000,161.120419
152.000000,168.353917
146.000000,157.423140
138.000000,149.967965
135.000000,142.649598
134.000000,140.432956
144.000000,139.472819
137.000000,152.162071
129.000000,142.677735
132.000000,132.463562
132.000000,135.752638
131.000000,133.018760
146.000000,130.153422
175.000000,143.836439
157.000000,167.265606
94.000000,153.093551
76.000000,93.953594
69.000000,76.322732
63.000000,69.858198
48.000000,64.217147
67.000000,49.634457
85.000000,68.353026
90.000000,82.665666
153.000000,88.513812
144.000000,142.757523
137.000000,130.669790
142.000000,122.642354
129.000000,125.357494
109.000000,111.005691
99.000000,99.725352
99.000000,93.249718
123.000000,94.387279
100.000000,123.587509
86.000000,100.419059
72.000000,85.901303
62.000000,68.506163
59.000000,58.929105
54.000000,57.530236
52.000000,53.197468
60.000000,52.853999
60.000000,66.237210
57.000000,66.608260
59.000000,62.245365
47.000000,63.036114
47.000000,52.011711
69.000000,51.556513
57.000000,66.004008
64.000000,58.154054
52.000000,66.843562
50.000000,57.105857
43.000000,53.649917
46.000000,47.070865
39.000000,47.059977
44.000000,41.508098
49.000000,45.618473
45.000000,52.751487
41.000000,53.853508
43.000000,47.981712
44.000000,48.377292
40.000000,48.268118
44.000000,44.247000
36.000000,47.237956
35.000000,42.783171
38.000000,41.253795
42.333333,36.758953
46.666667,35.898099
51.000000,38.331183
61.000000,39.070558
74.000000,51.211717
74.000000,68.274055
63.000000,69.643148
69.000000,59.411135
71.000000,67.702511
74.000000,69.363564
78.000000,72.304356
79.000000,75.828675
74.000000,78.084264
71.000000,74.337706
78.000000,71.335428
79.000000,78.126272
85.000000,78.881170
86.000000,84.048867
84.000000,84.741636
93.000000,82.169274
109.000000,91.563709
114.000000,106.954537
93.000000,112.664537
78.000000,91.667806
88.000000,72.978458
91.000000,85.324754
107.000000,88.902480
107.000000,106.878422
101.000000,106.074765
90.000000,98.862617
88.000000,87.514572
99.000000,85.904423
120.000000,97.232817
147.000000,118.778502
130.000000,146.468853
125.000000,129.414451
129.000000,123.028069
140.000000,125.378022
130.000000,133.556593
132.000000,125.065612
125.000000,130.303864
126.000000,123.943446
123.000000,125.559555
126.000000,121.611546
119.000000,123.870318
115.000000,116.228729
113.000000,109.601598
150.000000,110.378189
187.000000,150.515484
182.000000,184.953242
201.000000,176.528353
199.000000,195.678321
225.000000,193.270960
229.000000,210.920945
234.000000,210.537173
245.000000,222.539535
211.000000,242.687102
212.000000,214.618646
219.000000,214.089376
228.000000,223.740890
225.000000,232.926689
211.000000,234.165559
168.000000,217.383510
175.000000,169.333387
200.000000,180.178832
199.000000,202.005819
161.000000,201.471048
169.000000,167.909677
166.000000,176.233251
123.000000,174.641382
147.000000,136.838661
156.000000,149.515933
191.000000,160.026142
219.000000,194.900518
287.000000,221.689914
304.000000,270.024046
237.000000,284.834338
157.000000,230.948310
116.000000,157.369250
97.000000,119.564358
78.000000,108.925769
64.000000,103.767972
57.000000,97.590592
48.000000,83.567236
48.000000,73.471270
51.000000,82.016955
44.000000,76.246738
49.000000,67.883710
54.000000,72.813091
53.000000,78.542075
51.000000,79.859148
51.000000,80.641218
59.000000,79.881234
62.000000,82.276062
62.000000,76.979824
67.000000,70.242269
76.000000,76.775171
73.000000,86.066442
74.000000,83.825619
70.000000,85.582818
58.000000,83.480845
73.000000,73.321615
66.000000,80.357237
72.000000,72.916668
55.000000,80.424016
54.000000,71.108925
46.000000,70.871286
43.000000,65.747214
37.000000,62.862600
38.000000,57.631382
35.000000,55.754278
40.000000,47.180523
42.000000,49.762576
40.000000,51.698164
48.000000,47.911153
56.000000,44.672280
49.000000,53.784445
38.000000,46.339462
41.000000,32.782908
43.000000,42.395644
47.000000,46.759869
47.000000,53.477314
47.000000,54.092468
47.000000,52.059960
47.000000,52.638134
55.000000,53.333122
38.000000,57.196956
32.000000,39.893037
31.000000,32.316236
35.000000,29.057301
40.000000,30.991945
37.000000,40.513265
33.000000,37.488160
34.000000,27.848879
39.000000,30.227055
40.000000,36.738815
40.000000,38.636493
43.000000,37.920954
45.000000,41.792547
49.000000,44.015134
54.000000,50.443115
48.000000,55.662095
52.000000,47.271536
58.000000,51.637941
41.000000,57.263349
40.000000,40.901769
49.000000,39.854166
48.000000,47.783336
47.000000,47.086086
51.000000,46.959061
44.000000,49.958860
34.000000,43.934662
32.000000,35.412158
25.000000,32.843880
38.000000,26.376687
40.000000,38.080336
37.000000,39.747331
35.000000,37.169977
37.000000,35.715161
37.000000,36.987679
38.000000,36.518606
43.000000,37.939272
43.000000,42.314914
58.000000,42.365872
53.000000,56.209533
43.000000,51.177829
53.000000,42.160533
50.000000,51.711914
56.000000,49.379893
58.000000,54.855852
53.000000,57.660507
37.000000,51.735337
48.000000,37.661773
62.000000,47.591296
53.000000,59.112079
40.000000,52.504859
39.000000,40.665578
36.000000,40.009404
35.000000,37.254177
38.000000,35.740684
35.000000,37.416591
37.000000,35.211229
38.000000,37.733416
39.000000,38.239402
42.000000,38.612634
42.000000,40.987944
42.000000,40.598785
45.000000,40.677799
59.000000,43.879927
68.000000,55.704231
68.000000,64.279633
75.000000,63.608388
87.000000,69.905342
70.000000,82.765914
57.000000,66.946835
77.000000,55.156995
65.000000,73.636408
54.000000,63.929964
34.000000,53.668966
34.000000,35.034151
29.000000,34.964591
30.000000,30.447727
37.000000,31.424763
44.000000,37.886335
43.000000,43.274178
36.000000,42.983010
38.000000,36.488590
42.000000,36.901563
42.000000,40.274516
39.000000,38.914454
34.000000,36.759109
46.000000,33.612049
56.000000,43.593978
51.000000,53.039511
48.000000,48.665773
31.000000,46.468350
40.000000,31.018986
40.000000,38.987613
33.000000,38.680081
36.000000,32.366480
34.000000,35.494314
31.000000,34.615325
32.000000,31.853577
35.000000,32.936712
19.000000,34.035396
17.000000,21.376360
12.000000,19.531444
30.000000,14.565977
31.000000,30.417833
23.000000,30.988730
26.000000,23.747778
29.000000,26.159167
30.000000,29.157384
30.000000,29.498689
39.000000,29.676756
37.000000,37.496961
31.000000,36.300424
