REAL,ESTIMATE
0.145675,0.245945
0.239757,0.188054
0.221548,0.234641
0.206373,0.246190
0.197269,0.210797
0.212443,0.207618
0.185129,0.218777
0.185129,0.224878
0.172989,0.228452
0.215478,0.214297
0.191199,0.242927
0.160850,0.222820
0.057663,0.216787
0.163885,0.210150
0.169954,0.211732
0.233687,0.226245
0.355083,0.243647
0.257967,0.282088
0.194234,0.248828
0.160850,0.218413
0.160850,0.205576
0.179533,0.225763
0.040497,0.207148
0.127466,0.188430
0.048558,0.219935
0.000000,0.243914
0.006070,0.193104
0.009105,0.189314
0.066768,0.158900
0.176024,0.162882
0.215478,0.198777
0.227618,0.226642
0.273141,0.239632
0.188164,0.260915
0.145675,0.215416
0.194234,0.255567
0.195751,0.236000
0.261002,0.258052
0.245827,0.288522
0.200303,0.297490
0.142640,0.285961
0.197269,0.281625
0.224583,0.257480
0.200303,0.259572
0.227618,0.238146
0.139605,0.231183
0.197269,0.227092
0.154780,0.251374
0.197269,0.219377
0.245827,0.218866
0.203338,0.220360
0.291351,0.228344
0.257967,0.252920
0.224583,0.261000
0.264036,0.242552
0.200303,0.256566
0.282246,0.242804
0.297420,0.268368
0.239757,0.273930
0.236722,0.239072
0.218513,0.253401
0.327769,0.241791
0.239757,0.289092
0.254932,0.251662
0.267071,0.246186
0.233687,0.253237
0.276176,0.254332
0.321700,0.257146
0.345979,0.278832
0.376328,0.293955
0.297420,0.318906
0.300455,0.269283
0.267071,0.280317
0.291351,0.267572
0.321700,0.297100
0.182094,0.289642
0.242792,0.238511
0.218513,0.261449
0.236722,0.251876
0.179059,0.260322
0.358118,0.203265
0.349014,0.318288
0.312595,0.321349
0.412747,0.288796
0.385432,0.309878
0.182094,0.328766
0.142640,0.227985
0.112291,0.205290
0.106222,0.217711
0.291351,0.223810
0.276176,0.274620
0.160850,0.260350
0.133536,0.252079
0.139605,0.200300
0.233687,0.207318
0.233687,0.236658
0.233687,0.212646
0.218513,0.191018
0.163885,0.253732
0.242792,0.242245
0.291351,0.258206
0.197269,0.272802
0.160850,0.209656
0.169954,0.202041
0.203338,0.236472
0.276176,0.264954
0.215478,0.280021
0.306525,0.224132
0.233687,0.290773
0.227618,0.270898
0.418816,0.238255
0.288316,0.306933
0.355083,0.267596
0.242792,0.280039
0.242792,0.258452
0.306525,0.272897
0.230653,0.284699
0.394537,0.251229
0.446131,0.310316
0.301973,0.367358
0.321700,0.294518
0.294385,0.291445
0.349014,0.284681
0.522003,0.389262
0.084977,0.402112
0.239757,0.183916
0.261002,0.265049
0.361153,0.284098
0.336874,0.358528
0.440061,0.281167
0.297420,0.379057
0.264036,0.337403
0.388467,0.307477
0.406677,0.314387
0.291351,0.353654
0.367223,0.283142
0.288316,0.412409
0.230653,0.314210
0.406677,0.282019
0.409712,0.338523
0.276176,0.353569
