REAL,ESTIMATE
0.455235,0.395915
0.327769,0.434336
0.388467,0.352880
0.288316,0.370584
0.227618,0.315515
0.339909,0.288078
0.531108,0.346833
0.491654,0.401826
0.327769,0.375815
0.282246,0.348555
0.251897,0.329169
0.282246,0.362268
0.336874,0.318561
0.367223,0.313040
0.400607,0.369169
0.285281,0.388524
0.376328,0.376493
0.588771,0.463209
0.698027,0.609769
0.336874,0.535214
0.276176,0.324153
0.470410,0.308929
0.549317,0.488051
0.661608,0.750677
0.655539,0.596964
0.898331,0.730120
0.840668,0.739641
0.725341,0.690219
0.673748,0.684681
0.600910,0.580879
0.579666,0.558216
0.303490,0.452668
0.564492,0.368690
0.813354,0.768295
0.382398,0.468565
0.409712,0.394806
0.370258,0.370842
0.443096,0.386155
0.367223,0.393553
0.379363,0.333539
0.570561,0.377993
0.476480,0.430563
0.342944,0.391757
0.358118,0.349259
0.549317,0.346681
0.606980,0.513578
0.382398,0.385559
0.373293,0.350745
0.355083,0.338747
0.342944,0.363913
0.236722,0.336194
0.534143,0.327084
0.625190,0.578736
0.482549,0.466829
0.409712,0.349763
0.452200,0.420901
0.613050,0.434885
0.491654,0.529913
0.336874,0.398864
0.279211,0.324955
0.312595,0.340008
0.358118,0.421318
0.330804,0.395239
0.382398,0.351493
0.246839,0.379490
0.302479,0.302974
0.279211,0.321908
0.579666,0.308973
0.388467,0.457425
0.279211,0.335931
0.257967,0.317937
0.294385,0.274844
0.388467,0.410238
0.342944,0.374088
0.352049,0.316388
0.418816,0.307400
0.549317,0.486780
0.430956,0.500022
0.279211,0.401112
0.218513,0.287027
0.261002,0.267725
0.336874,0.341543
0.321700,0.375045
0.576631,0.321747
0.476480,0.461277
0.336874,0.436476
0.361153,0.351320
0.288316,0.340663
0.233687,0.356554
0.160850,0.376473
0.218513,0.237448
0.352049,0.263733
0.409712,0.476004
0.285281,0.386014
0.358118,0.262569
0.270106,0.322307
0.342944,0.300248
0.336874,0.338200
0.215478,0.291196
0.264036,0.253431
0.279211,0.292134
0.236722,0.359515
0.391502,0.291187
0.631259,0.348748
0.600910,0.408423
0.297420,0.433439
0.412747,0.296328
0.327769,0.365003
0.358118,0.351667
0.403642,0.363690
0.370258,0.343830
0.288316,0.369324
0.388467,0.339758
0.430956,0.403233
0.391502,0.356520
0.239757,0.389591
0.324734,0.369049
0.552352,0.404853
0.409712,0.487403
0.506829,0.390848
0.540212,0.386205
0.622155,0.449907
0.470410,0.589175
0.333839,0.429655
0.224583,0.344420
0.279211,0.320854
0.203338,0.353121
0.245827,0.284548
0.276176,0.347740
0.257967,0.365273
0.224583,0.300854
0.239757,0.271076
0.218513,0.249545
0.224583,0.231543
0.270106,0.246492
0.355083,0.253531
0.297420,0.297406
0.321700,0.301963
0.298938,0.314029
0.312595,0.298415
0.242792,0.289376
0.242792,0.258268
0.212443,0.295711
0.166920,0.267549
0.212443,0.266781
0.264036,0.293988
0.254932,0.373966
0.309560,0.296991
0.166920,0.287478
0.324734,0.211924
0.276176,0.288702
0.327769,0.326912
0.261002,0.290014
0.336874,0.240550
0.221548,0.302548
0.270106,0.239000
0.333839,0.276174
0.221548,0.276368
0.203338,0.256631
0.349014,0.230988
0.221548,0.323227
0.318665,0.259258
0.461305,0.299914
0.370258,0.353147
0.318665,0.335555
0.409712,0.289014
0.273141,0.350317
0.361153,0.280075
0.312595,0.331038
0.291351,0.296995
0.306525,0.296446
0.212443,0.308591
0.339909,0.271865
0.282246,0.301087
0.239757,0.300578
0.215478,0.313738
0.212443,0.241480
0.236722,0.261699
0.218513,0.264842
0.166920,0.231038
0.261002,0.191233
0.288316,0.265243
0.345979,0.264753
0.176024,0.288982
0.230653,0.223520
0.148710,0.238794
0.212443,0.214182
0.309560,0.259860
0.270106,0.280315
0.236722,0.264756
0.239757,0.266496
0.215478,0.266512
0.212443,0.259485
0.230653,0.238393
0.257967,0.229300
0.291351,0.254736
0.171472,0.277834
0.251897,0.225813
0.236722,0.262389
0.227618,0.255178
0.203338,0.243844
0.188164,0.207566
0.251897,0.225169
0.218513,0.249130
0.421851,0.232140
0.382398,0.315113
0.397572,0.310468
0.215478,0.327865
0.221548,0.227829
0.261002,0.257961
0.218513,0.262181
0.212443,0.262182
0.239757,0.231859
0.218513,0.272610
0.239757,0.259016
0.227618,0.258493
0.200303,0.230223
0.312595,0.238796
0.279211,0.301788
0.288316,0.284845
0.303490,0.264769
0.273141,0.261407
0.312595,0.260271
0.248862,0.278452
0.257967,0.251553
0.282246,0.255627
0.218513,0.270235
0.297420,0.249473
0.264036,0.273757
0.342944,0.287404
0.345979,0.312503
0.279211,0.323663
0.273141,0.271883
0.261002,0.268819
0.339909,0.334629
0.303490,0.318735
0.250379,0.280827
0.215478,0.250649
0.282246,0.243172
0.254932,0.284814
0.288316,0.267817
0.327769,0.268225
0.236722,0.295365
0.224583,0.270495
0.206373,0.244284
0.359222,0.236910
0.311491,0.310262
0.139605,0.288681
0.172989,0.190140
0.212443,0.212976
0.248862,0.258720
0.290979,0.253558
0.251835,0.255313
0.218946,0.233063
0.218513,0.250377
0.251897,0.251774
0.230653,0.244868
0.251897,0.235653
0.318665,0.242523
0.282246,0.290136
0.358118,0.285911
0.324734,0.300553
0.415781,0.276371
0.261002,0.339570
0.212443,0.262065
0.215478,0.248738
0.261002,0.252595
0.385432,0.282448
0.300455,0.316739
0.267071,0.278716
0.209408,0.278838
0.273141,0.256463
0.364188,0.285763
0.412747,0.340479
0.373293,0.333211
0.327769,0.335823
0.264036,0.307438
0.267071,0.274164
0.345979,0.276542
0.382420,0.303676
0.365456,0.371334
0.378502,0.327425
0.391548,0.339763
0.404593,0.351433
0.417639,0.359731
0.377596,0.370796
0.257967,0.374481
0.176024,0.298691
0.352049,0.257202
0.324734,0.337193
0.494689,0.315874
0.245827,0.425324
0.254932,0.266611
0.382398,0.300017
0.421851,0.367334
0.430956,0.419849
0.285281,0.346060
0.248862,0.297564
0.367223,0.285455
0.312595,0.394024
0.415781,0.310503
0.358118,0.348823
0.224583,0.327776
0.176024,0.303071
0.163885,0.265536
0.197269,0.247629
0.265554,0.251373
0.312595,0.270579
0.312595,0.296129
0.352049,0.341258
0.361153,0.354413
0.503794,0.301132
0.394537,0.366379
0.525038,0.338916
0.528073,0.409805
0.364188,0.462083
0.361153,0.335785
0.355083,0.333303
0.497724,0.362396
