E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,7,0.8,5,0.399341,0.356958,0.111458,0.136369
10,7,0.8,6,0.413457,0.353428,0.110141,0.136743
10,7,0.8,7,0.424720,0.367293,0.109078,0.135268
10,7,0.8,8,0.465432,0.273595,0.105148,0.144939
10,7,0.8,9,0.480203,0.364178,0.103685,0.135601
10,7,0.8,10,0.502681,0.367627,0.101418,0.135233
10,7,0.8,11,0.510435,0.375054,0.100624,0.134436
10,7,0.8,12,0.508244,0.404665,0.100849,0.131213
10,7,0.8,13,0.531282,0.364257,0.098459,0.135593
10,7,0.8,14,0.593471,0.206951,0.091695,0.151442
10,7,0.8,15,0.558032,0.364600,0.095608,0.135556
