REAL,ESTIMATE
0.177107,0.213435
0.143932,0.328231
0.300779,0.193721
0.142857,0.302236
0.252468,0.292613
0.403117,0.291228
0.531429,0.443495
0.164675,0.357550
0.252468,0.182283
0.316883,0.228045
0.301299,0.296856
0.404156,0.277816
0.257143,0.418427
0.424935,0.441229
0.297662,0.337196
0.174545,0.217190
0.370909,0.219068
0.272208,0.351097
0.368831,0.320222
0.326234,0.411387
0.468571,0.413276
0.668571,0.501934
0.318961,0.557572
0.398961,0.289702
0.168831,0.345584
0.584935,0.221838
0.637922,0.449111
0.550649,0.533105
0.435325,0.424190
0.124156,0.379604
0.183377,0.199776
0.072727,0.236413
0.309091,0.197369
0.449351,0.357413
0.529351,0.347542
0.455065,0.485045
0.493506,0.387118
0.565195,0.532502
0.402078,0.477451
0.556364,0.296884
0.507013,0.256955
0.488312,0.425667
0.469610,0.443729
0.355325,0.434142
0.231688,0.279482
0.148571,0.251623
0.284156,0.165985
0.415065,0.329999
0.541299,0.363530
0.457143,0.477919
0.700260,0.555434
0.573506,0.584231
0.149610,0.316187
0.210909,0.235174
0.224935,0.309842
0.211429,0.379640
0.304416,0.249741
0.320000,0.315853
0.145455,0.317651
0.250390,0.191325
0.054026,0.261609
0.189610,0.192872
0.298701,0.218264
0.191169,0.192935
0.385455,0.282319
0.386494,0.388812
0.104935,0.354234
0.110649,0.163302
0.249351,0.234591
0.216623,0.185842
0.184416,0.076299
0.332987,0.327935
0.439481,0.433954
0.320000,0.405166
0.446753,0.299398
0.353766,0.411384
0.195844,0.386873
0.374545,0.265318
0.360519,0.337432
0.319481,0.383738
0.142338,0.410437
0.188571,0.186345
0.234805,0.275901
0.381818,0.280625
0.334026,0.332082
0.505974,0.298659
0.445714,0.464312
0.225455,0.376640
0.483117,0.254985
0.216623,0.374628
0.096623,0.204953
0.176104,0.127659
0.193766,0.218085
0.334545,0.283434
0.098182,0.356450
0.256623,0.184405
0.257662,0.202460
0.255584,0.204622
0.216623,0.249133
0.250390,0.207063
0.212468,0.237534
0.139740,0.265818
0.287273,0.172618
0.326753,0.334218
0.208831,0.289098
0.150649,0.185719
0.213506,0.148407
0.140779,0.259337
0.139221,0.237435
0.358961,0.225601
0.232987,0.366222
0.286234,0.244622
0.197403,0.228872
0.140779,0.242650
0.082597,0.142293
0.118442,0.098055
0.224416,0.189876
0.249351,0.311678
0.211429,0.275774
0.186494,0.232562
0.184416,0.224417
0.363117,0.237134
0.164156,0.359158
0.211948,0.209159
0.271688,0.328354
0.186494,0.275761
0.125714,0.213913
0.149610,0.204071
0.137662,0.178222
0.063377,0.198230
0.126753,0.158617
0.180260,0.221901
0.194805,0.219980
0.136623,0.239088
0.205195,0.187974
0.221299,0.202278
0.134026,0.242194
0.192208,0.178472
0.073766,0.203531
0.260260,0.189688
0.282597,0.258574
0.209351,0.209834
0.052468,0.199012
0.098182,0.121566
0.274805,0.174161
0.201039,0.268986
0.205714,0.238869
0.297662,0.213310
0.209351,0.215629
0.086753,0.149105
0.064935,0.141465
0.164675,0.175923
0.161039,0.161207
0.312208,0.199974
0.366234,0.284672
0.145974,0.277010
0.117403,0.187910
0.086234,0.203128
0.154805,0.197090
0.167273,0.194652
0.339221,0.209564
0.247792,0.279393
0.237403,0.236385
0.230649,0.222934
0.233766,0.226007
0.162597,0.203502
0.314805,0.167904
0.409870,0.236312
0.299221,0.338051
0.218701,0.296904
0.194805,0.219309
0.227013,0.224859
0.202597,0.200224
0.190130,0.183679
0.137143,0.157111
0.207273,0.224021
0.281558,0.275372
0.196364,0.258127
0.264416,0.187637
0.370909,0.212937
0.251948,0.290951
0.205714,0.242030
0.192727,0.286257
0.304935,0.272330
0.258182,0.266748
0.196364,0.189156
0.159481,0.206510
0.153247,0.200693
0.267013,0.198510
0.275844,0.306412
0.452468,0.318810
0.252468,0.353762
0.113766,0.223922
0.203636,0.213006
0.272208,0.241385
0.445974,0.267287
0.346494,0.434467
0.402078,0.362257
0.389091,0.340111
0.419740,0.297842
0.382338,0.317084
0.326234,0.308627
0.311688,0.292212
0.356883,0.309394
0.308052,0.304614
0.237403,0.326171
0.318442,0.262858
0.417662,0.300863
0.229610,0.339894
0.200519,0.254338
0.360000,0.243049
0.158442,0.318603
0.219221,0.291640
0.122078,0.274745
0.262338,0.235785
0.353766,0.273741
0.536104,0.314899
0.497143,0.419328
0.405714,0.416288
0.247792,0.430487
0.342338,0.291113
0.163636,0.328478
0.227013,0.259864
0.381299,0.254641
0.282597,0.393452
0.426494,0.329292
0.527792,0.446361
0.449870,0.477492
0.435325,0.383312
0.331948,0.405057
0.234286,0.308228
0.452987,0.294531
0.531948,0.377438
0.478961,0.477779
0.278442,0.420914
0.229091,0.292853
0.548571,0.289521
0.797922,0.495736
0.951688,0.908428
0.661818,0.723664
0.423896,0.491066
0.049351,0.360609
0.167273,0.210461
0.459740,0.256060
0.510649,0.468585
0.484675,0.621264
0.506494,0.425882
0.627532,0.439626
0.336623,0.507243
0.608831,0.342830
0.686753,0.626964
0.070649,0.442044
0.068571,0.223470
0.389610,0.259634
0.336104,0.417403
0.479481,0.422447
0.251429,0.402485
0.323117,0.364436
0.559481,0.386265
0.683117,0.683333
0.599481,0.546181
0.603117,0.546765
0.334545,0.361560
0.477403,0.357859
0.322078,0.147090
0.365714,0.321462
0.605195,0.454587
0.440519,0.440494
0.287792,0.434372
0.276364,0.330551
0.031169,0.286958
0.086753,0.175760
0.229091,0.258813
0.152208,0.231584
0.098182,0.198961
0.107013,0.228173
0.342338,0.295147
0.352208,0.331539
0.476883,0.356548
0.616104,0.402378
0.206234,0.353156
0.302338,0.235549
0.080000,0.251998
0.317922,0.230991
0.445714,0.327937
0.109091,0.376598
0.037922,0.268571
0.292987,0.251273
0.523636,0.325714
0.238961,0.378019
0.138701,0.198040
0.410909,0.246001
0.594805,0.502210
0.572468,0.596405
0.099740,0.155634
0.384935,0.309392
0.571429,0.459565
0.651429,0.521048
0.621299,0.647945
0.540260,0.463287
0.238961,0.337501
0.012468,0.129197
0.124156,0.211707
0.414545,0.240455
0.524675,0.400530
0.628052,0.558775
0.140260,0.435434
0.156364,0.276532
0.327273,0.289033
0.477922,0.276908
0.378701,0.362634
0.175065,0.289369
0.403117,0.242538
0.638961,0.446642
0.707532,0.553390
0.590130,0.481450
0.298701,0.363748
0.130909,0.281716
0.348571,0.328935
0.186494,0.403583
0.436364,0.362711
0.590649,0.482599
0.469610,0.491060
0.454545,0.426859
0.522597,0.481267
0.451948,0.558166
0.319481,0.406119
0.145974,0.254668
0.342338,0.353833
0.518961,0.377739
0.201558,0.368887
0.254026,0.223585
0.383896,0.299422
0.625974,0.366017
0.712987,0.568831
0.610909,0.593588
0.370909,0.445170
0.413506,0.380146
0.438442,0.380771
0.000000,0.388700
0.219740,0.160968
0.503377,0.302010
0.475844,0.514606
0.096104,0.339742
0.229091,0.356202
0.615584,0.273052
0.471688,0.523581
0.433766,0.416383
0.180779,0.318284
0.174545,0.221558
0.410390,0.228770
0.369351,0.403823
0.451948,0.438581
0.179221,0.410370
0.142857,0.254192
0.307013,0.201567
0.424935,0.320567
0.104935,0.242415
0.187013,0.318500
0.502338,0.258651
0.193247,0.361732
0.404675,0.393272
0.428088,0.433698
0.161523,0.250341
0.362597,0.334385
0.564156,0.354529
0.551169,0.527295
0.588052,0.509483
0.174545,0.389143
0.057143,0.182721
0.208312,0.232248
0.182624,0.241376
0.149324,0.204078
0.371948,0.199715
0.530390,0.423251
0.723117,0.565216
1.000000,0.955851
0.490909,0.475708
0.489351,0.333945
0.648312,0.518086
0.615584,0.533698
0.298182,0.311086
0.110649,0.283044
0.383896,0.269914
0.500779,0.420564
0.528831,0.443458
0.634286,0.392519
0.616104,0.434477
0.356364,0.389102
0.558442,0.468822
0.530909,0.447582
0.270649,0.304280
0.201039,0.233020
0.393247,0.283854
0.175584,0.370187
0.240519,0.312205
0.293506,0.309039
0.209351,0.256606
0.247273,0.313255
0.541299,0.411991
0.489351,0.459088
0.587013,0.446723
0.336104,0.235967
0.154805,0.293838
0.270130,0.302001
0.301299,0.305551
0.429091,0.272267
0.345974,0.453001
0.589610,0.385667
0.344416,0.285665
0.306494,0.258435
0.457143,0.376684
0.482597,0.481108
0.486234,0.416458
0.318442,0.415379
0.549091,0.413790
0.365714,0.441509
0.428571,0.424125
0.529870,0.431850
0.385974,0.358907
0.371948,0.352639
0.487273,0.316856
0.368312,0.353611
0.219221,0.293097
0.160779,0.209733
0.218182,0.334965
0.468571,0.391936
0.529870,0.423510
0.449870,0.479774
0.233247,0.338573
0.265455,0.256046
0.324675,0.303957
0.112727,0.291608
0.199481,0.209097
0.310130,0.260419
0.267013,0.326463
0.384935,0.224413
0.310649,0.338311
0.402597,0.230525
0.227532,0.166640
0.221818,0.151167
0.365714,0.305014
0.460779,0.328566
0.492987,0.406237
0.325714,0.373026
0.390649,0.327709
0.444675,0.319092
0.571948,0.422853
0.491948,0.459204
0.531948,0.337228
0.253506,0.354026
0.265974,0.274338
0.398961,0.263775
0.305455,0.373522
0.089351,0.315502
0.406753,0.296973
0.318442,0.379020
0.205714,0.262127
0.114286,0.224525
0.220779,0.197318
0.165195,0.292521
0.304935,0.243063
0.255584,0.176975
0.164156,0.190210
0.230649,0.213263
0.086753,0.195008
0.247273,0.186070
0.299740,0.266959
0.284156,0.260878
0.153766,0.246249
0.130909,0.201975
0.267013,0.207941
0.153766,0.268028
0.330390,0.201810
0.243636,0.335126
0.295065,0.254510
0.270649,0.261754
0.132468,0.205228
0.134545,0.234376
0.190649,0.206811
0.204675,0.218203
0.299740,0.240705
0.130909,0.317188
0.111169,0.217086
0.178701,0.206222
0.239481,0.261266
0.168312,0.266876
0.256104,0.212174
0.295584,0.263079
0.137662,0.311364
0.117922,0.185593
0.213506,0.216592
0.247273,0.250916
0.044675,0.218936
0.065974,0.131165
0.240519,0.140318
0.223377,0.283321
0.077922,0.283672
0.113247,0.171362
0.243117,0.157826
0.144416,0.233429
0.237403,0.160462
0.228052,0.228213
0.397403,0.230213
0.297662,0.358065
0.258701,0.233113
0.138182,0.207150
0.084156,0.173395
0.198442,0.139542
0.158442,0.191482
0.269610,0.195183
0.148571,0.213214
0.171948,0.136214
0.115325,0.111536
0.086753,0.185875
0.122597,0.187623
0.090390,0.175474
0.143896,0.199160
0.271169,0.209503
0.377143,0.232386
0.296104,0.283558
0.118961,0.264609
0.163117,0.204405
0.315325,0.211719
0.230130,0.303740
0.328312,0.246700
0.255584,0.228816
0.153766,0.238925
0.126753,0.192896
0.154286,0.185938
0.149091,0.150027
0.265455,0.180508
