REAL,ESTIMATE
0.414026,0.281282
0.229091,0.317802
0.188052,0.258349
0.170909,0.232838
0.148571,0.171847
0.096623,0.210189
0.113766,0.210589
0.118442,0.230680
0.454026,0.220193
0.348571,0.374267
0.207273,0.292643
0.263377,0.178495
0.158961,0.233899
0.283636,0.203021
0.189610,0.287479
0.243117,0.235028
0.328831,0.291582
0.077403,0.299954
0.196883,0.159139
0.180260,0.230710
0.195844,0.227256
0.228052,0.255411
0.220779,0.281223
0.182857,0.276022
0.115844,0.241011
0.384416,0.156577
0.315325,0.282891
0.173506,0.251882
0.165714,0.238229
0.259221,0.260995
0.306494,0.295742
0.275325,0.290243
0.367273,0.204876
0.436883,0.297521
0.590130,0.324819
0.429091,0.438887
0.312208,0.371019
0.289870,0.280948
0.262338,0.308501
0.232208,0.226992
0.106494,0.270461
0.189610,0.224129
0.190130,0.266306
0.180260,0.238494
0.150130,0.261613
0.225974,0.256760
0.438961,0.217416
0.486234,0.373416
0.556883,0.313182
0.396364,0.339610
0.109610,0.317358
0.228571,0.175089
0.139740,0.254624
0.097143,0.206174
0.376104,0.263554
0.570909,0.336151
0.662078,0.420886
0.718442,0.478239
0.606753,0.553423
0.492468,0.566951
0.487792,0.329091
0.459740,0.397998
0.464935,0.365430
0.416623,0.397882
0.404675,0.373652
0.258701,0.347351
0.327792,0.310209
0.408831,0.296544
0.181299,0.379881
0.231688,0.269857
0.249351,0.278824
0.105714,0.279411
0.289351,0.206893
0.471688,0.282216
0.480519,0.351075
0.632727,0.473480
0.843636,0.523219
0.753766,0.557727
0.416104,0.713614
0.233766,0.398022
0.163117,0.308577
0.221818,0.266505
0.358442,0.290648
0.472208,0.385218
0.368312,0.421526
0.367273,0.408037
0.379740,0.361358
0.310649,0.351400
0.380779,0.325732
0.355844,0.477098
0.238961,0.364318
0.285714,0.247756
0.358961,0.284417
0.454026,0.307159
0.332987,0.387276
0.228052,0.355175
0.232987,0.322474
0.199481,0.300268
0.097143,0.239826
0.205195,0.227092
0.451429,0.234997
0.371948,0.425727
0.392208,0.366076
0.595325,0.358473
0.461299,0.471872
0.116364,0.370752
0.209351,0.267053
0.331429,0.287784
0.382857,0.344586
0.523117,0.370840
0.811948,0.428200
0.776623,0.467267
0.567273,0.372912
0.341299,0.325829
0.440000,0.297908
0.556883,0.427815
0.541299,0.402439
0.283896,0.462876
0.070130,0.298254
0.088312,0.187798
0.451429,0.219057
0.570909,0.391830
0.595844,0.478073
0.470130,0.436228
0.480260,0.369835
0.556883,0.330976
0.471169,0.263895
0.185974,0.292224
0.322597,0.264331
0.150130,0.327019
0.216623,0.370977
0.585974,0.691305
0.557403,0.431603
0.408312,0.316027
