E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,6,0.8,5,0.639273,0.539791,0.103784,0.095341
10,6,0.8,6,0.649005,0.547938,0.102375,0.094494
10,6,0.8,7,0.670119,0.528769,0.099248,0.096476
10,6,0.8,8,0.693050,0.549092,0.095736,0.094373
10,6,0.8,9,0.699048,0.534546,0.094796,0.095883
10,6,0.8,10,0.699596,0.547369,0.094710,0.094553
10,6,0.8,11,0.712643,0.509504,0.092630,0.098429
10,6,0.8,12,0.714786,0.515304,0.092284,0.097845
10,6,0.8,13,0.711830,0.522200,0.092761,0.097146
10,6,0.8,14,0.726867,0.505783,0.090309,0.098801
10,6,0.8,15,0.722848,0.529789,0.090970,0.096372
