REAL,ESTIMATE
0.368664,0.459253
0.171659,0.347492
0.266129,0.264600
0.524770,0.341052
0.547235,0.470002
0.357143,0.506710
0.182604,0.377333
0.275346,0.304034
0.468894,0.222739
0.190668,0.436122
0.380184,0.318577
0.456797,0.455788
0.450461,0.476482
0.414747,0.459736
0.288594,0.380802
0.451613,0.332687
0.404378,0.394613
0.213134,0.576896
0.377880,0.216941
0.307604,0.336874
0.340438,0.257418
0.339862,0.350083
0.316820,0.346341
0.354263,0.379721
0.387673,0.372707
0.491935,0.404271
0.351382,0.415081
0.354839,0.432608
0.458525,0.424669
0.369816,0.403253
0.394009,0.359075
0.313940,0.408262
0.445853,0.363704
0.439516,0.457934
0.498272,0.455439
0.176267,0.436698
0.303571,0.286861
0.482719,0.278875
0.478687,0.415612
0.368088,0.424618
0.402650,0.372055
0.443548,0.364121
0.358295,0.328662
0.232143,0.335007
0.366935,0.337127
0.558756,0.344851
0.368664,0.482664
0.207373,0.325345
0.213134,0.232716
0.160714,0.231961
0.296659,0.235384
0.400922,0.423187
0.293203,0.272488
0.256336,0.182766
0.285714,0.246530
0.237327,0.286239
0.203341,0.225621
0.281970,0.169645
0.221774,0.382613
0.259217,0.217917
0.375576,0.272668
0.338134,0.337950
0.340438,0.265054
0.340438,0.286736
0.220622,0.312183
0.193548,0.196993
0.323157,0.220165
0.270737,0.312691
0.134793,0.308141
0.308180,0.196939
0.292627,0.278669
0.249424,0.281307
0.300115,0.264337
0.178571,0.312902
0.067396,0.224935
0.143433,0.111769
0.168203,0.211230
0.090438,0.181020
0.169931,0.158127
0.185484,0.199536
0.196429,0.195978
0.240207,0.134647
0.147465,0.190984
0.077189,0.145054
0.061636,0.145206
0.127304,0.110611
0.093894,0.147535
0.071429,0.103780
0.119240,0.120641
0.017857,0.137960
0.129032,0.107365
0.169355,0.132236
0.095622,0.196302
0.105991,0.156306
0.108871,0.072548
0.100230,0.129654
0.137673,0.121105
0.131336,0.150644
0.161866,0.177687
0.273618,0.157876
0.220622,0.210623
0.072581,0.201922
0.032258,0.121994
0.108871,0.125510
0.036290,0.155922
0.074309,0.112795
0.184908,0.143597
0.173387,0.191118
0.169355,0.145066
0.122696,0.155865
0.035138,0.155962
0.026498,0.127783
0.019009,0.139450
0.001152,0.139344
0.142281,0.097426
0.143433,0.136115
0.053571,0.157937
0.006336,0.100601
0.135945,0.097893
0.269009,0.156086
0.208525,0.159793
0.042051,0.183817
0.035138,0.129932
0.024194,0.088316
0.025346,0.088145
0.034274,0.107577
0.046659,0.100884
0.126152,0.134971
0.240783,0.144715
0.131912,0.136674
0.224078,0.123986
0.192396,0.169718
0.035138,0.148832
0.028802,0.113797
0.086406,0.105924
