REAL,ESTIMATE
0.107143,0.162742
0.186636,0.155554
0.204493,0.183138
0.250576,0.261752
0.126152,0.257637
0.339862,0.155259
0.220046,0.230570
0.229839,0.184003
0.387097,0.225341
0.261342,0.339170
0.336584,0.272982
0.209101,0.266653
0.290899,0.285835
0.214286,0.238529
0.160714,0.247514
0.071429,0.259890
0.391993,0.195044
0.526498,0.410651
0.452765,0.395050
0.501152,0.321201
0.292627,0.364138
0.380184,0.265839
0.197581,0.282477
0.280530,0.258484
0.369240,0.383491
0.301267,0.367142
0.563364,0.365749
0.459101,0.432492
0.336406,0.377672
0.264401,0.323703
0.218894,0.298564
0.625576,0.305388
0.363479,0.476829
0.512097,0.378076
0.197005,0.391489
0.254032,0.274159
0.361751,0.305656
0.315668,0.370566
0.487327,0.413143
0.448733,0.411159
0.539747,0.455548
0.443548,0.389757
0.378456,0.376454
0.224078,0.381794
0.327189,0.329107
0.328917,0.429338
0.158986,0.401091
0.474078,0.266397
0.391129,0.415441
0.171659,0.373212
0.260945,0.272989
0.415323,0.327521
0.453917,0.433390
0.482719,0.366580
0.668203,0.514311
0.599654,0.633689
0.479263,0.431404
0.508641,0.475594
0.563940,0.487258
0.395737,0.432756
0.387673,0.427639
0.509793,0.467318
0.377880,0.423492
0.500000,0.380527
0.506912,0.538370
0.531106,0.456184
0.561636,0.535915
0.490783,0.526682
0.423963,0.518882
0.589286,0.441618
0.485023,0.646066
0.531106,0.469426
0.560484,0.500673
0.393433,0.553687
0.474078,0.416146
0.727535,0.465444
0.704493,0.666942
0.835253,0.691499
0.993088,0.815469
0.643433,0.753918
0.463710,0.558241
0.538594,0.474181
0.645737,0.524817
0.452765,0.527477
0.516129,0.542796
0.524194,0.526582
0.519009,0.512060
0.455069,0.504629
0.436060,0.284817
0.489055,0.527959
0.573157,0.589790
0.955645,0.914596
0.961406,0.876251
0.838134,0.752333
0.544931,0.766551
0.801267,0.590952
0.832949,0.641878
0.236751,0.454573
0.309332,0.315458
0.582373,0.401909
0.497120,0.560991
0.519009,0.506237
0.460253,0.497710
0.588710,0.475338
0.422235,0.429106
0.423387,0.421236
0.261521,0.354077
0.350806,0.336514
0.514977,0.504410
0.649770,0.614742
0.721774,0.449104
0.438364,0.493271
0.653226,0.479858
0.713134,0.646503
0.524770,0.573419
0.488479,0.429455
0.452765,0.514801
0.432604,0.467026
0.226959,0.405478
0.425403,0.348406
0.476959,0.386797
0.556452,0.418463
0.452765,0.538456
0.797811,0.796969
0.736751,0.704845
0.583525,0.638998
0.768433,0.644107
0.728111,0.648435
0.346774,0.506120
0.491359,0.364479
0.429724,0.434493
0.455645,0.427236
0.691820,0.495316
0.384217,0.456314
0.150346,0.385198
0.396889,0.203482
0.900922,0.899709
0.824885,0.798593
0.645737,0.664657
0.784562,0.731404
0.764401,0.831924
0.618088,0.615218
0.414171,0.467605
0.379032,0.400474
0.315092,0.449604
0.506912,0.406370
0.364055,0.386217
0.094470,0.325574
0.187788,0.292163
0.283986,0.308638
0.149194,0.283945
0.712558,0.711043
1.000000,0.940745
0.629608,0.599760
0.643433,0.647363
0.341590,0.364936
0.155530,0.343010
0.214862,0.146849
0.248272,0.392882
0.245392,0.262830
0.235599,0.303004
0.505760,0.301499
0.409562,0.398005
0.161578,0.313870
0.379032,0.362004
0.584677,0.488864
0.403802,0.514327
0.401498,0.471740
0.777650,0.530285
0.263825,0.425750
0.278802,0.209424
0.350230,0.296663
0.415323,0.373776
0.184332,0.332156
0.224654,0.286732
0.089862,0.284210
0.085253,0.108762
0.109447,0.243756
0.529378,0.288020
0.500000,0.470607
0.488479,0.441410
0.347350,0.401394
0.406106,0.455083
0.261521,0.261190
0.357143,0.258820
0.326037,0.443940
0.392857,0.316979
0.273618,0.314982
0.341590,0.222446
0.207949,0.238431
0.190092,0.167681
0.317396,0.318580
0.315956,0.418366
0.409850,0.391173
0.461982,0.397384
0.451613,0.443399
0.491935,0.376342
0.360023,0.372576
0.347350,0.370017
0.150058,0.407302
0.232719,0.256005
0.357143,0.302707
0.521889,0.373649
0.325461,0.493610
0.105415,0.303809
0.145449,0.232486
0.227055,0.216354
0.321045,0.331600
0.188364,0.384597
0.258929,0.348597
0.264977,0.308209
0.173387,0.146864
0.264113,0.212376
0.160426,0.269452
0.319124,0.235281
0.157834,0.316832
0.042627,0.135299
0.117512,0.114438
0.255184,0.178334
0.135369,0.182621
0.345622,0.182878
0.220622,0.241212
0.375576,0.227879
0.270161,0.362802
0.221774,0.214334
0.187212,0.264668
0.321429,0.208742
0.218318,0.341996
0.303571,0.200232
0.239055,0.263448
0.283410,0.227822
0.237327,0.273173
0.250000,0.234102
0.284562,0.253390
0.161290,0.242501
0.110023,0.230295
0.262673,0.180489
0.088134,0.261712
0.084101,0.187330
0.195853,0.197007
0.124424,0.229794
0.112327,0.194916
0.157834,0.170768
0.241935,0.205669
0.279954,0.190770
0.103111,0.151256
0.064516,0.177290
0.045507,0.147144
0.083813,0.142227
0.195276,0.168634
0.500576,0.192482
0.271313,0.334698
0.110599,0.217161
0.110023,0.157176
0.213710,0.145997
0.079493,0.191069
0.019009,0.161549
0.240783,0.200476
0.130184,0.210814
0.087558,0.158141
0.329493,0.135005
0.315092,0.242909
0.132488,0.225069
0.157834,0.183645
0.099078,0.190304
0.222350,0.130055
0.205069,0.150275
0.090438,0.205253
0.066820,0.176774
0.104839,0.115069
0.041475,0.182285
0.121544,0.109141
0.020161,0.141477
0.158410,0.161905
0.193548,0.177335
0.024770,0.174595
0.021313,0.131047
0.103111,0.108991
0.086982,0.143112
0.308756,0.133431
0.235599,0.242783
0.157834,0.168279
0.230415,0.159119
0.268433,0.151750
0.264977,0.234776
0.070276,0.195376
0.129320,0.158624
0.081797,0.154551
0.006912,0.133252
0.153226,0.107757
0.133641,0.197142
0.227535,0.146919
0.074309,0.201705
0.000000,0.103459
0.209677,0.106521
0.286866,0.138364
