E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.8,5,0.579159,0.393346,0.036915,0.030982
10,4,0.8,6,0.616314,0.367034,0.035247,0.031647
10,4,0.8,7,0.678927,0.519934,0.032243,0.027561
10,4,0.8,8,0.663523,0.467640,0.033008,0.029023
10,4,0.8,9,0.655722,0.432373,0.033388,0.029969
10,4,0.8,10,0.644960,0.433644,0.033906,0.029936
10,4,0.8,11,0.671928,0.479692,0.032593,0.028693
10,4,0.8,12,0.641772,0.417235,0.034058,0.030366
10,4,0.8,13,0.736494,0.263829,0.029210,0.034130
10,4,0.8,14,0.732234,0.515178,0.029445,0.027697
10,4,0.8,15,0.758706,0.380341,0.027952,0.031313
