REAL,ESTIMATE
64.000000,64.786509
60.000000,60.924402
66.000000,66.017839
77.000000,78.131752
72.000000,72.420736
71.000000,71.357584
72.000000,75.693851
58.000000,58.163853
52.000000,51.138196
50.000000,49.679411
44.000000,46.201860
36.000000,38.204413
30.000000,36.197467
31.000000,33.643581
38.000000,33.937260
36.000000,38.863825
46.000000,36.952459
51.000000,45.916981
49.000000,50.858055
49.000000,48.784990
49.000000,48.767770
41.000000,48.094581
56.000000,40.987594
57.000000,56.018237
45.000000,59.040937
43.000000,45.637930
36.000000,43.287268
36.000000,36.291827
41.000000,35.796123
40.000000,40.075447
40.000000,38.914425
43.000000,38.956949
42.000000,42.200715
40.000000,41.552128
38.000000,39.930507
42.000000,38.588057
42.000000,43.533146
39.000000,43.519461
42.000000,39.769369
44.000000,42.898091
43.000000,45.252041
46.000000,44.051500
54.000000,46.924863
55.000000,55.565651
52.000000,55.914373
44.000000,52.857080
43.000000,44.957381
35.000000,42.540069
37.000000,34.838282
31.000000,36.996803
30.000000,30.787906
33.000000,29.752431
30.000000,32.367268
39.000000,29.794722
36.000000,37.729683
39.000000,34.850688
40.000000,38.350032
44.000000,40.351037
41.000000,46.131696
43.000000,42.190835
42.000000,44.151011
45.000000,43.622349
48.000000,46.452361
52.000000,50.846491
54.000000,55.978218
63.000000,57.376584
69.000000,66.262713
67.000000,71.468002
65.000000,68.783196
55.000000,67.083572
63.000000,57.293919
68.000000,65.720054
76.000000,72.191062
92.000000,82.387620
96.000000,100.278669
87.000000,101.635617
100.000000,91.505489
93.000000,105.547138
95.000000,99.072803
83.000000,102.262207
72.000000,86.694470
77.000000,73.660558
72.000000,77.410707
73.000000,72.213483
76.000000,73.903745
77.000000,75.875530
70.000000,76.145059
69.000000,69.809617
92.000000,69.126370
94.000000,94.500958
98.000000,93.426964
91.000000,95.720030
85.000000,89.349238
79.000000,83.611650
79.000000,79.112987
81.000000,78.621590
95.000000,80.960959
88.000000,91.698636
70.000000,83.365112
73.000000,66.818996
125.000000,69.901065
101.000000,116.480760
65.000000,95.635236
108.000000,61.628729
106.000000,102.914610
94.000000,102.433458
79.000000,88.826493
54.000000,75.403380
47.000000,52.287332
50.000000,50.107515
70.000000,49.817334
79.000000,66.802736
110.000000,75.349599
101.000000,103.916400
95.000000,92.819672
94.000000,84.963193
107.000000,86.791532
98.000000,97.737425
77.000000,94.486000
42.000000,72.399440
27.000000,42.693085
20.000000,36.024772
21.000000,30.084418
29.000000,28.999905
30.000000,33.303316
24.000000,37.056364
22.000000,31.395740
23.000000,26.743763
16.000000,26.440089
13.000000,21.761175
16.000000,19.209071
16.000000,19.823710
16.000000,17.619591
13.000000,20.591345
18.000000,16.166277
18.000000,19.766328
18.000000,21.366541
24.000000,22.401920
32.000000,25.924047
32.000000,31.183320
27.000000,31.617457
26.000000,28.728961
25.000000,27.631030
17.000000,26.638709
21.000000,20.175460
10.000000,23.197359
12.000000,16.261632
16.000000,16.621686
16.000000,19.324658
15.000000,21.426004
14.000000,19.280343
14.000000,16.271761
13.000000,17.547895
19.000000,18.907698
20.000000,21.139013
19.000000,21.046130
18.000000,19.607940
25.000000,20.565340
27.000000,25.162149
24.000000,27.242044
22.000000,24.480592
28.000000,25.045359
37.000000,28.858994
35.000000,34.966149
44.000000,33.641676
43.000000,40.703187
42.000000,40.284623
46.000000,39.959326
43.000000,44.298156
43.000000,40.392017
43.000000,40.783229
43.000000,41.391901
52.000000,41.157461
49.000000,48.720792
52.000000,46.537610
48.000000,51.535663
46.000000,47.298824
53.000000,44.592175
56.000000,51.499638
55.000000,56.245326
53.000000,55.853873
57.000000,52.578415
59.000000,56.733772
64.000000,59.058964
64.000000,63.196225
77.000000,61.797022
66.000000,71.972639
64.000000,61.609360
52.000000,60.903561
41.000000,49.498672
37.000000,39.483710
32.000000,36.238119
57.000000,32.837209
59.000000,53.091542
48.000000,55.530522
47.000000,46.026505
51.000000,45.066347
56.000000,48.168210
61.000000,53.506748
48.000000,59.230727
50.000000,45.724877
47.000000,47.659459
45.000000,45.034995
50.000000,43.635046
55.000000,48.715861
58.000000,53.700184
56.000000,55.597737
66.000000,52.900684
71.000000,61.422212
80.000000,68.107056
89.000000,73.961595
96.000000,84.636734
121.000000,92.070045
80.000000,118.816153
54.000000,80.465855
34.000000,52.987657
35.000000,33.310356
34.000000,34.692537
34.000000,34.403201
31.000000,35.026092
36.000000,33.394233
29.000000,40.579996
34.000000,30.869860
20.000000,33.690534
31.000000,19.654344
27.000000,29.940544
23.000000,25.821577
21.000000,21.421319
20.000000,19.742375
20.000000,20.099184
23.000000,19.576189
20.000000,23.064355
18.000000,21.510557
27.000000,20.354940
21.000000,27.547248
29.000000,23.223171
31.000000,29.049705
33.000000,30.566824
35.000000,32.922944
30.000000,36.187478
35.000000,30.780625
24.000000,35.488808
32.000000,24.255128
29.000000,32.158634
27.000000,29.233084
23.000000,27.203862
23.000000,24.097220
24.000000,23.983774
25.000000,24.987330
30.000000,26.015432
35.000000,31.295327
36.000000,36.829020
42.000000,37.860077
46.000000,43.297597
56.000000,49.254653
59.000000,61.396282
62.000000,59.949169
57.000000,66.619259
58.000000,56.978608
38.000000,56.654219
53.000000,36.163299
39.000000,48.010218
33.000000,37.782263
32.000000,33.209433
39.000000,32.283664
27.000000,38.661876
38.000000,27.424330
35.000000,37.311470
49.000000,33.789710
51.000000,46.729971
49.000000,51.291938
41.000000,50.612760
47.000000,40.786924
42.000000,47.376433
47.000000,42.524932
46.000000,47.418619
49.000000,46.627350
55.000000,48.696792
58.000000,55.388575
64.000000,57.627454
65.000000,61.197704
71.000000,63.357083
52.000000,68.107769
42.000000,50.317477
54.000000,40.976623
47.000000,52.674123
61.000000,45.448179
68.000000,60.183414
67.000000,64.886004
67.000000,64.712076
57.000000,65.404128
64.000000,56.010468
66.000000,65.433475
54.000000,65.565042
52.000000,53.541075
64.000000,51.446365
62.000000,63.791958
59.000000,61.540336
60.000000,58.676836
62.000000,60.121443
60.000000,60.832010
60.000000,59.632114
59.000000,58.851207
66.000000,57.362368
69.000000,63.065499
79.000000,66.632072
84.000000,74.679554
100.000000,84.732403
110.000000,104.540486
114.000000,113.717249
119.000000,118.997990
115.000000,119.553268
117.000000,112.608077
111.000000,114.645260
111.000000,107.023931
