REAL,ESTIMATE
42.000000,39.451453
42.000000,42.615370
48.000000,42.668595
44.000000,48.780869
45.000000,43.774260
49.000000,44.592114
53.000000,48.127955
50.000000,52.414189
57.000000,49.781299
51.000000,56.298189
62.000000,50.623123
79.000000,62.809296
91.000000,85.235525
117.000000,98.386927
137.000000,127.169425
145.000000,152.042107
168.000000,161.350750
156.000000,181.960325
156.000000,175.031776
181.000000,170.197474
172.000000,182.826466
172.000000,172.877592
161.000000,166.961256
158.000000,156.029723
158.000000,153.116975
163.000000,155.478647
150.000000,158.406400
145.000000,146.986451
142.000000,147.525205
139.000000,144.876880
151.000000,145.346173
184.000000,159.952514
179.000000,198.451374
173.000000,196.488820
129.000000,188.545313
79.000000,136.130600
48.000000,89.859228
46.000000,62.793835
55.000000,61.534982
71.000000,70.371418
92.000000,91.364985
112.000000,110.981169
108.000000,129.988432
151.000000,112.261818
155.000000,141.687668
155.000000,136.466602
147.000000,133.855750
132.000000,127.481002
124.000000,121.151760
127.000000,116.600614
148.000000,124.528119
123.000000,137.476923
100.000000,114.255536
82.000000,91.497714
64.000000,76.524888
57.000000,63.067646
54.000000,58.189032
58.000000,55.890053
60.000000,60.060060
63.000000,63.613097
59.000000,63.397788
65.000000,57.019590
72.000000,58.869235
56.000000,60.902050
50.000000,48.785366
52.000000,45.591619
59.000000,47.416534
55.000000,54.399731
51.000000,53.926618
42.000000,50.834409
45.000000,46.325930
43.000000,47.889490
41.000000,43.868149
45.000000,42.392404
44.000000,44.084860
46.000000,45.389732
43.000000,46.772482
44.000000,44.411580
45.000000,44.469768
50.000000,45.474055
45.000000,47.334708
47.000000,44.537915
50.000000,45.541966
50.000000,46.263509
50.000000,46.382203
56.000000,45.860336
63.000000,49.197912
80.000000,54.223753
71.000000,65.289317
62.000000,59.201489
64.000000,54.382729
72.000000,54.628389
72.000000,59.166964
68.000000,59.323329
68.000000,57.589100
70.000000,58.886778
75.000000,63.419666
71.000000,65.942667
75.000000,62.478271
69.000000,65.144858
74.000000,62.127872
80.000000,65.935546
76.000000,71.315703
90.000000,69.663866
118.000000,85.218142
112.000000,113.080944
89.000000,104.254493
93.000000,81.360114
90.000000,84.132068
97.000000,83.072849
110.000000,89.742795
87.000000,102.267458
80.000000,83.201419
81.000000,79.839326
118.000000,79.870251
131.000000,110.860853
139.000000,126.799518
142.000000,138.963611
152.000000,143.277589
154.000000,151.522401
157.000000,154.231982
154.000000,155.545731
146.000000,154.771433
134.000000,145.422957
126.000000,133.233211
118.000000,125.225328
117.000000,118.078220
109.000000,119.639779
116.000000,108.808152
125.000000,115.556875
150.000000,124.609457
198.000000,153.327471
178.000000,207.108357
183.000000,182.072560
211.000000,185.672579
242.000000,221.045551
235.000000,253.746847
235.000000,244.209865
229.000000,248.918208
200.000000,255.026248
186.000000,232.508503
168.000000,205.795072
149.000000,183.366126
158.000000,169.377070
161.000000,188.913828
171.000000,189.971561
164.000000,204.510799
157.000000,198.018135
148.000000,187.555903
144.000000,167.918721
154.000000,157.651472
182.000000,166.066556
170.000000,208.639347
159.000000,193.359379
143.000000,184.110413
143.000000,162.728817
110.000000,158.233295
148.000000,119.014545
191.000000,154.895930
150.000000,202.895651
116.000000,168.062677
108.000000,129.727395
71.000000,120.112297
56.000000,82.143717
56.000000,68.126764
45.000000,62.434855
41.000000,60.288649
42.000000,64.471719
44.000000,60.341717
41.000000,56.384084
42.000000,52.684409
45.000000,47.702747
41.000000,47.620706
37.000000,43.918406
43.000000,42.838557
56.000000,49.236979
54.000000,53.746067
55.000000,50.553893
60.500000,49.782745
66.000000,50.991788
65.000000,53.978941
67.000000,52.643599
55.000000,53.732579
44.000000,49.511260
57.000000,44.250192
64.000000,49.808944
57.000000,53.128321
50.000000,50.506726
41.000000,48.534360
35.000000,43.951746
31.000000,40.246452
37.000000,37.637952
39.000000,40.754842
39.000000,43.505527
37.000000,44.725234
36.000000,44.554250
39.000000,44.118382
39.000000,43.886600
47.000000,42.666299
48.000000,45.252144
49.000000,47.351329
50.000000,49.221598
40.000000,50.518348
33.000000,45.489036
33.000000,40.862035
38.000000,39.336419
44.000000,41.793626
42.000000,45.758327
38.000000,45.160401
30.000000,42.607791
35.000000,38.486042
39.000000,38.324065
41.000000,39.463004
37.000000,39.993209
37.000000,38.387380
34.000000,41.598863
35.000000,39.169824
34.000000,37.435313
30.000000,35.578556
31.000000,31.961713
37.000000,32.744215
38.000000,37.852508
44.000000,38.183396
49.000000,42.650858
55.000000,46.535703
56.000000,54.668221
43.000000,56.014657
44.000000,44.117676
43.000000,44.758682
46.000000,43.315409
38.000000,45.498843
37.000000,37.334139
36.000000,36.645853
26.000000,35.711705
29.000000,26.547669
36.000000,28.872707
35.000000,35.458640
33.000000,34.599170
32.000000,32.711106
30.000000,32.257225
31.000000,30.665519
29.000000,31.466934
27.000000,29.396272
34.000000,27.517878
43.000000,34.412817
35.000000,43.747224
44.000000,35.542341
62.000000,44.651797
63.000000,64.277568
65.000000,65.243316
57.000000,66.159519
65.000000,58.632713
50.000000,68.107465
41.000000,50.281179
39.000000,40.401216
39.000000,38.305687
39.000000,38.391179
43.000000,38.517550
47.000000,42.308077
43.000000,46.040016
37.000000,42.108550
38.000000,36.752972
39.000000,37.884670
41.000000,39.488681
39.000000,41.727543
38.000000,39.728076
38.000000,38.453052
43.000000,37.989721
40.000000,42.834165
43.000000,39.691730
50.000000,43.214988
55.000000,50.301395
67.000000,54.158336
62.000000,66.690043
80.000000,59.590009
96.000000,81.492471
72.000000,100.564170
56.000000,75.012188
73.000000,56.154190
54.000000,75.636735
47.000000,53.267433
45.000000,45.947677
42.000000,43.812157
54.000000,41.280035
59.000000,52.549552
60.000000,58.654800
54.000000,60.581676
53.000000,53.946888
46.000000,54.304633
50.000000,47.064378
45.000000,51.395725
49.000000,45.116404
42.000000,48.733808
47.000000,42.051086
49.000000,46.992147
52.000000,48.388968
55.000000,50.876927
52.000000,53.204386
47.000000,49.773850
49.000000,44.444846
35.000000,45.981839
32.000000,34.147782
34.000000,31.695500
43.000000,33.395386
40.000000,42.110335
37.000000,39.177508
51.000000,36.310266
41.000000,49.422931
27.000000,39.388177
24.000000,27.209314
39.000000,24.377019
38.000000,38.795598
38.000000,38.588031
32.000000,39.040929
