REAL,ESTIMATE
0.282209,0.545138
0.417178,0.385842
0.349693,0.439873
0.453988,0.410631
0.386503,0.504781
0.285276,0.411591
0.239264,0.365380
0.233129,0.291052
0.196319,0.295175
0.211656,0.272769
0.389571,0.277069
0.417178,0.386045
0.294479,0.347275
0.177914,0.282774
0.177914,0.217884
0.245399,0.261390
0.242331,0.315752
0.263804,0.278959
0.303681,0.258825
0.239264,0.285275
0.340491,0.288060
0.536810,0.349717
0.656442,0.470879
0.254601,0.576150
0.233129,0.274528
0.460123,0.271026
0.463190,0.485013
0.592025,0.499735
0.693252,0.502176
0.944785,0.582978
0.822086,0.799659
0.690184,0.692486
0.662577,0.614682
0.570552,0.641081
0.542945,0.570188
0.257669,0.327582
0.579755,0.384006
0.717791,0.582556
0.285276,0.516482
0.328221,0.299814
0.300613,0.360156
0.368098,0.392962
0.266871,0.363650
0.309816,0.289488
0.457055,0.328952
0.377301,0.429663
0.317485,0.298012
0.368098,0.314083
0.503067,0.329020
0.564417,0.431547
0.441718,0.418105
0.349693,0.383351
0.352761,0.382156
0.291411,0.396000
0.202454,0.318107
0.460123,0.312573
0.588957,0.459181
0.475460,0.554602
0.414110,0.444926
0.475460,0.395934
0.723926,0.440547
0.610429,0.525336
0.404908,0.512257
0.279141,0.395660
0.380368,0.338895
0.460123,0.441828
0.512270,0.479521
0.380368,0.460314
0.190184,0.361206
0.208589,0.291297
0.190184,0.313523
0.411043,0.300971
0.398773,0.381662
0.319018,0.388938
0.325153,0.346328
0.426380,0.330713
0.374233,0.397137
0.407975,0.355957
0.441718,0.370149
0.421779,0.393751
0.573620,0.407831
0.414110,0.503213
0.322086,0.400887
0.214724,0.351023
0.263804,0.284577
0.374233,0.361012
0.383436,0.415639
0.567485,0.379213
0.490798,0.449690
0.368098,0.464257
0.392638,0.350828
0.226994,0.326993
0.187117,0.319782
0.180982,0.279508
0.233129,0.243512
0.337423,0.279195
0.435583,0.334191
0.248466,0.380998
0.325153,0.245817
0.211656,0.305316
0.334356,0.277606
0.322086,0.367297
0.190184,0.300315
0.269939,0.237837
0.190184,0.271581
0.187117,0.260439
0.328221,0.233736
0.601227,0.293368
0.561350,0.473866
0.254601,0.451503
0.426380,0.260639
0.435583,0.386617
0.352761,0.439667
0.432515,0.368069
0.312883,0.400426
0.242331,0.352167
0.352761,0.320456
0.328221,0.356767
0.361963,0.350482
0.291411,0.361666
0.269939,0.323345
0.536810,0.323953
0.398773,0.477968
0.503067,0.384300
0.503067,0.433379
0.500000,0.445341
0.380368,0.422859
0.291411,0.371295
0.245399,0.333690
0.190184,0.308725
0.177914,0.283573
0.193252,0.250579
0.266871,0.273689
0.233129,0.304080
0.230061,0.260692
0.223926,0.241539
0.196319,0.246254
0.202454,0.235769
0.239264,0.231526
0.306748,0.240811
0.282209,0.281805
0.315951,0.266667
0.374233,0.285730
0.276074,0.331739
0.266871,0.285196
0.217791,0.275585
0.196319,0.274031
0.199387,0.261825
0.230061,0.250173
0.248466,0.264563
0.303681,0.272796
0.285276,0.304727
0.230061,0.280649
0.245399,0.245106
0.266871,0.258038
0.325153,0.284888
0.288344,0.314949
0.322086,0.281871
0.233129,0.306690
0.239264,0.247852
0.288344,0.267013
0.248466,0.290163
0.251534,0.274100
0.266871,0.259284
0.257669,0.276741
0.254601,0.276449
0.352761,0.269028
0.343558,0.335720
0.285276,0.329717
0.291411,0.290058
0.279141,0.289547
0.315951,0.298997
0.279141,0.319127
0.276074,0.285891
0.300613,0.282457
0.257669,0.307728
0.325153,0.283119
0.263804,0.312948
0.245399,0.273765
0.187117,0.271091
0.104294,0.222653
0.119632,0.178444
0.098160,0.174670
0.104294,0.153038
0.110429,0.143649
0.113497,0.137110
0.128834,0.137478
0.119632,0.146638
0.119632,0.137509
0.107362,0.135806
0.101227,0.127941
0.128834,0.126754
0.116564,0.145709
0.113497,0.132281
0.113497,0.129821
0.092025,0.130240
0.085890,0.122288
0.079755,0.120447
0.107362,0.112100
0.052147,0.130555
0.012270,0.088360
0.009202,0.060261
0.015337,0.057104
0.015337,0.063437
0.009202,0.053492
0.018405,0.043207
0.027607,0.047370
0.018405,0.054455
0.015337,0.046609
0.027607,0.042646
0.024540,0.048810
0.024540,0.049629
0.000000,0.048343
0.024540,0.035233
0.015337,0.047380
0.024540,0.043381
0.003067,0.046441
0.006135,0.032781
0.012270,0.037626
0.006135,0.040661
0.003067,0.035411
0.018405,0.027833
0.024540,0.035376
0.027607,0.039486
0.012270,0.038392
0.024540,0.028570
0.030675,0.036541
0.018405,0.040447
0.024540,0.035567
0.009202,0.034185
0.024540,0.032344
0.015337,0.039529
0.015337,0.034129
0.021472,0.032138
0.030675,0.035648
0.039877,0.041161
0.104294,0.043561
0.088957,0.066647
0.092025,0.063201
0.079755,0.067405
0.085890,0.062294
0.095092,0.072907
0.107362,0.076061
0.101227,0.085351
0.107362,0.079801
0.095092,0.086808
0.101227,0.083660
0.088957,0.091135
0.095092,0.082730
0.095092,0.090638
0.104294,0.088103
0.101227,0.097081
0.098160,0.090571
0.104294,0.092443
0.104294,0.094548
0.095092,0.099345
0.092025,0.092496
0.101227,0.095797
0.098160,0.100741
0.092025,0.100974
0.098160,0.094817
0.095092,0.102224
0.211656,0.102249
0.269939,0.176019
0.300613,0.210236
0.420245,0.233483
0.423313,0.318287
0.279141,0.354943
0.245399,0.259376
0.211656,0.243024
0.294479,0.240031
0.380368,0.314196
0.444785,0.349428
0.374233,0.392153
0.263804,0.335875
0.312883,0.287234
0.392638,0.341689
0.453988,0.416996
0.411043,0.455976
0.358896,0.394688
0.309816,0.358742
0.266871,0.338013
0.325153,0.307413
0.365031,0.339064
0.490798,0.364379
0.414110,0.444070
0.450920,0.380822
0.377301,0.398960
0.392638,0.364481
0.432515,0.396965
0.285276,0.368720
0.180982,0.316548
0.349693,0.246822
0.349693,0.358585
0.503067,0.361287
0.300613,0.437528
0.306748,0.283395
0.374233,0.328323
0.478528,0.366829
0.524540,0.448625
0.389571,0.429657
0.334356,0.361196
0.426380,0.332147
0.358896,0.433695
0.282209,0.394563
0.407975,0.305875
0.266871,0.366172
0.236196,0.333370
0.251534,0.305028
0.205521,0.280117
0.196319,0.272272
0.236196,0.248080
0.288344,0.269296
0.312883,0.283274
0.294479,0.299722
0.395706,0.274922
0.337423,0.344106
0.380368,0.317001
0.404908,0.346366
0.297546,0.369968
0.291411,0.315403
0.331288,0.301863
0.352761,0.339608
0.245399,0.372492
0.309816,0.292204
0.242331,0.315094
0.319018,0.283442
0.352761,0.350380
0.285276,0.337562
0.279141,0.296559
0.334356,0.287927
0.395706,0.342133
0.478528,0.374302
0.334356,0.408039
0.389571,0.312106
0.441718,0.362846
0.441718,0.406553
0.822086,0.425870
0.607362,0.634735
0.358896,0.487382
0.260736,0.368056
0.322086,0.326605
0.475460,0.433443
0.441718,0.420773
0.552147,0.414628
0.279141,0.470282
0.374233,0.329846
0.355828,0.418919
0.463190,0.368251
0.506135,0.446193
0.487730,0.483798
0.435583,0.461465
0.542945,0.395032
0.708589,0.490325
0.588957,0.562675
0.441718,0.527255
0.349693,0.400701
0.331288,0.377943
0.438650,0.438909
0.404908,0.458645
0.527607,0.392781
0.524540,0.496446
0.546012,0.552042
0.607362,0.536004
0.429448,0.499773
0.374233,0.435517
0.401840,0.417539
0.368098,0.374496
0.432515,0.329887
0.429448,0.444523
0.423313,0.391944
0.361963,0.418050
0.423313,0.382317
0.541411,0.425544
0.582822,0.503593
0.723926,0.518578
0.490798,0.600479
0.490798,0.450677
0.220859,0.465043
0.358896,0.335230
0.895706,0.430491
0.659509,0.701532
0.337423,0.569036
0.328221,0.342005
0.478528,0.362807
0.558282,0.503346
0.285276,0.334527
0.346626,0.327627
0.365031,0.395831
0.349693,0.399798
0.325153,0.412913
0.276074,0.316970
0.263804,0.299411
0.230061,0.324091
0.319018,0.303423
0.441718,0.332346
0.285276,0.386460
0.349693,0.269864
0.441718,0.347758
0.401840,0.427231
0.490798,0.425097
0.467210,0.405721
0.333404,0.419526
0.312883,0.356657
0.447853,0.342152
0.457055,0.501854
0.693252,0.476162
0.484663,0.569761
0.226994,0.419895
0.395706,0.317561
0.303681,0.397577
0.331288,0.387728
0.450920,0.353514
0.607362,0.412523
0.628834,0.523198
0.898773,0.548634
0.521472,0.675523
0.506135,0.475645
0.613497,0.499841
1.000000,0.592408
0.610429,0.817087
0.319018,0.531740
0.380368,0.382559
0.438650,0.420527
0.564417,0.354856
0.582822,0.521290
0.631902,0.521106
0.509202,0.542774
0.496933,0.354852
0.512270,0.430319
0.291411,0.495944
0.279141,0.363691
0.297546,0.227186
0.251534,0.358467
0.242331,0.329147
0.263804,0.268631
0.226994,0.160130
0.223926,0.281456
0.420245,0.297500
0.515337,0.417818
0.463190,0.356851
0.355828,0.408873
0.220859,0.346354
0.184049,0.292319
0.392638,0.274089
0.352761,0.417592
0.328221,0.337189
0.383436,0.318021
0.297546,0.357749
0.220859,0.355273
0.398773,0.292874
0.530675,0.405148
0.447853,0.462722
0.447853,0.413396
0.423313,0.415852
0.616564,0.407229
0.622699,0.562135
0.361963,0.543410
0.368098,0.378856
0.311350,0.380174
0.411043,0.403185
0.404908,0.445209
0.269939,0.385775
0.276074,0.309804
0.365031,0.343224
0.457055,0.412262
0.395706,0.417196
0.530675,0.355718
0.346626,0.453308
0.309816,0.369501
0.297546,0.348212
0.352761,0.314406
0.423313,0.382343
0.389571,0.388185
0.355828,0.362726
0.374233,0.336691
0.484663,0.394403
0.331288,0.440844
0.269939,0.334198
0.291411,0.298844
0.493865,0.324337
0.622699,0.451116
0.386503,0.492593
0.303681,0.352661
0.466258,0.306825
0.432515,0.413497
0.346626,0.437026
0.372699,0.343397
0.398773,0.338178
0.297546,0.400512
0.343558,0.368010
0.585890,0.344804
0.349693,0.497674
0.251534,0.368410
0.383436,0.298864
0.315951,0.360916
0.306748,0.382794
0.322086,0.329390
0.380368,0.314795
0.277607,0.365681
0.309816,0.326065
0.300613,0.319635
0.340491,0.303951
0.340491,0.341955
0.260736,0.339514
0.239264,0.286734
0.303681,0.292044
0.309816,0.313971
0.245399,0.312464
0.223926,0.262860
0.282209,0.247074
0.263804,0.288772
0.386503,0.288108
0.383436,0.340738
0.352761,0.340033
0.328221,0.320864
0.248466,0.339166
0.236196,0.287554
0.282209,0.275482
0.319018,0.297968
0.260736,0.316629
0.285276,0.273122
0.340491,0.289576
0.288344,0.324539
0.331288,0.296514
0.389571,0.319330
0.251534,0.367985
0.288344,0.280024
0.217791,0.293930
0.196319,0.250403
0.223926,0.250974
0.239264,0.241504
0.220859,0.258272
0.230061,0.235579
0.291411,0.242313
0.291411,0.276249
0.217791,0.278772
0.205521,0.233280
0.239264,0.226758
0.205521,0.256957
0.211656,0.235440
0.233129,0.219840
0.279141,0.230174
0.303681,0.276275
0.251534,0.285672
0.242331,0.251572
0.257669,0.251801
0.282209,0.275019
0.291411,0.292048
0.273006,0.294057
0.279141,0.283155
0.312883,0.280911
0.294479,0.311489
0.260736,0.302615
0.331288,0.273830
0.331288,0.319648
0.291411,0.331617
0.328221,0.304148
0.257669,0.320910
0.273006,0.284047
0.263804,0.297018
0.279141,0.281747
0.294479,0.298761
0.315951,0.293275
