REAL,ESTIMATE
0.279141,0.314859
0.303681,0.279992
0.355828,0.308507
0.294479,0.348514
0.254601,0.301068
0.251534,0.260343
0.297546,0.267238
0.346626,0.312635
0.334356,0.337826
0.343558,0.323229
0.309816,0.330252
0.263804,0.317866
0.242331,0.287250
0.273006,0.265317
0.294479,0.291557
0.349693,0.303079
0.331288,0.339740
0.285276,0.324833
0.251534,0.291474
0.248466,0.259994
0.331288,0.272626
0.371166,0.338909
0.282209,0.353886
0.285276,0.279678
0.242331,0.283711
0.236196,0.263359
0.226994,0.264568
0.236196,0.238988
0.254601,0.250938
0.291411,0.262683
0.236196,0.291283
0.242331,0.236172
0.279141,0.242078
0.251534,0.276228
0.325153,0.263483
0.242331,0.314369
0.248466,0.246429
0.254601,0.252798
0.343558,0.252322
0.276074,0.349963
0.282209,0.275304
0.309816,0.285099
0.319018,0.305731
0.325153,0.339546
0.303681,0.325318
0.257669,0.309047
0.260736,0.274308
0.242331,0.286156
0.236196,0.266304
0.239264,0.251777
0.257669,0.248605
0.279141,0.261481
0.242331,0.282390
0.251534,0.246925
0.291411,0.253265
0.312883,0.283965
0.331288,0.312754
0.276074,0.319837
0.251534,0.271306
0.199387,0.261022
0.208589,0.219433
0.309816,0.231204
0.361963,0.309594
0.392638,0.346068
0.389571,0.360785
0.349693,0.367379
0.365031,0.355355
0.420245,0.372857
0.432515,0.419606
0.417178,0.430844
0.328221,0.416980
0.343558,0.347562
0.285276,0.371221
0.276074,0.325978
0.297546,0.316887
0.242331,0.317448
0.266871,0.289596
0.230061,0.296700
0.214724,0.251293
0.248466,0.232897
0.282209,0.255308
0.349693,0.286458
0.444785,0.326145
0.595092,0.380434
0.481595,0.464755
0.312883,0.422128
0.193252,0.318870
0.184049,0.252435
0.187117,0.288252
0.239264,0.267782
0.288344,0.269019
0.239264,0.293297
0.217791,0.279422
0.211656,0.246371
0.331288,0.232758
0.285276,0.334472
0.300613,0.309535
0.211656,0.297256
0.196319,0.205401
0.269939,0.219989
0.352761,0.265474
0.285276,0.340627
0.196319,0.270575
0.210123,0.216124
0.156442,0.249891
0.233129,0.219259
0.254601,0.250438
0.279141,0.254915
0.217791,0.309489
0.331288,0.234312
0.368098,0.331508
0.349693,0.348540
0.187117,0.343747
0.245399,0.184949
0.319018,0.271529
0.340491,0.347654
0.319018,0.352491
0.438650,0.292476
0.475460,0.418747
0.389571,0.474629
0.361963,0.397085
0.303681,0.376157
0.392638,0.347327
0.312883,0.432005
0.332822,0.341123
0.285276,0.369171
0.214724,0.303941
0.300613,0.264376
0.380368,0.310723
0.371166,0.399785
0.297546,0.358372
0.371166,0.299635
0.466258,0.348483
0.515337,0.462151
0.349693,0.472692
0.383436,0.342870
0.276074,0.371380
0.257669,0.322603
0.466258,0.325102
0.371166,0.421275
0.358896,0.371438
