E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,7,0.8,5,0.454108,0.382336,0.110646,0.144540
10,7,0.8,6,0.460770,0.380209,0.109969,0.144788
10,7,0.8,7,0.477256,0.376001,0.108275,0.145279
10,7,0.8,8,0.525539,0.349836,0.103153,0.148293
10,7,0.8,9,0.546647,0.326586,0.100833,0.150922
10,7,0.8,10,0.555090,0.298932,0.099889,0.153989
10,7,0.8,11,0.575056,0.255622,0.097622,0.158675
10,7,0.8,12,0.607321,0.249537,0.093843,0.159322
10,7,0.8,13,0.602716,0.304623,0.094391,0.153363
10,7,0.8,14,0.622367,0.265681,0.092028,0.157599
10,7,0.8,15,0.642876,0.215476,0.089494,0.162897
