REAL,ESTIMATE
0.298438,0.277129
0.184896,0.218787
0.148958,0.205223
0.143750,0.164833
0.150521,0.134393
0.053646,0.158439
0.083333,0.134771
0.167708,0.161693
0.322917,0.172087
0.269792,0.323314
0.148438,0.226864
0.258854,0.165456
0.128646,0.232887
0.257812,0.162089
0.209896,0.298126
0.190104,0.198936
0.270833,0.163603
0.034896,0.189485
0.188021,0.110501
0.186458,0.199880
0.137500,0.193020
0.161458,0.136680
0.195833,0.183635
0.170833,0.218207
0.069271,0.188387
0.319792,0.106433
0.312500,0.161047
0.221875,0.215877
0.083854,0.158924
0.300521,0.116479
0.278125,0.303176
0.135938,0.290829
0.364063,0.179397
0.438021,0.300452
0.459896,0.317401
0.363021,0.341304
0.410417,0.375379
0.194792,0.422315
0.218750,0.230795
0.239063,0.199933
0.101042,0.253915
0.068193,0.169293
0.074515,0.182309
0.100521,0.157947
0.066667,0.155263
0.244271,0.087701
0.456771,0.215181
0.518229,0.334902
0.524479,0.308310
0.428125,0.343866
0.049479,0.326258
0.162500,0.159769
0.122917,0.198186
0.125521,0.128679
0.252281,0.228016
0.455011,0.297033
0.621875,0.409700
0.545312,0.486481
0.477083,0.608765
0.377083,0.469119
0.429688,0.294397
0.400521,0.346559
0.419792,0.367984
0.422917,0.443277
0.246875,0.469193
0.176563,0.313657
0.250000,0.213392
0.286979,0.217244
0.053646,0.319613
0.143750,0.180992
0.140625,0.192932
0.070833,0.170458
0.256250,0.172277
0.477604,0.163724
0.435938,0.375063
0.541146,0.330170
0.785937,0.529053
0.759896,0.797765
0.413021,0.776467
0.235417,0.433407
0.165104,0.231602
0.173958,0.199468
0.314583,0.237107
0.509896,0.341339
0.351042,0.543574
0.354687,0.459638
0.354688,0.318964
0.281771,0.245167
0.351042,0.232185
0.292708,0.243054
0.193229,0.324836
0.241146,0.303404
0.372396,0.261003
0.450521,0.341899
0.361979,0.389537
0.181250,0.338646
0.207292,0.259538
0.193229,0.212179
0.089583,0.216144
0.174479,0.190083
0.439062,0.184555
0.382292,0.379362
0.430729,0.396337
0.625000,0.390173
0.404167,0.545597
0.126562,0.368723
0.276042,0.317878
0.339583,0.393673
0.412500,0.318554
0.677083,0.301414
0.747396,0.527745
0.964062,0.702235
0.641667,0.653776
0.266667,0.549245
0.407292,0.153897
0.496875,0.271512
0.588021,0.317683
0.291146,0.501548
0.075521,0.387761
0.110417,0.209930
0.560417,0.212630
0.669271,0.527086
0.655208,0.626932
0.586979,0.526761
0.529688,0.280939
0.597396,0.281043
0.421875,0.240881
0.234375,0.247561
0.358854,0.320883
0.152083,0.521165
0.246875,0.403000
0.576042,0.384838
0.564583,0.509222
0.455208,0.291735
