REAL,ESTIMATE
0.155208,0.329365
0.155208,0.334012
0.278646,0.278641
0.148438,0.308510
0.214063,0.204788
0.465104,0.273774
0.631771,0.481161
0.185417,0.358080
0.297396,0.297894
0.274479,0.260576
0.250000,0.093727
0.291667,0.244390
0.293750,0.332123
0.348958,0.320542
0.315625,0.273618
0.152604,0.292839
0.335417,0.257911
0.316667,0.307045
0.333333,0.340447
0.263542,0.349946
0.435417,0.267045
0.523958,0.405572
0.273958,0.295748
0.369271,0.238998
0.139062,0.344999
0.431771,0.251929
0.474479,0.346688
0.568750,0.382806
0.417708,0.356618
0.143750,0.401698
0.192188,0.191688
0.068229,0.209021
0.256250,0.189462
0.432292,0.319951
0.533854,0.368012
0.523958,0.460898
0.475521,0.306461
0.738021,0.416725
0.478125,0.578068
0.436979,0.361157
0.313542,0.314979
0.362500,0.356072
0.535937,0.467979
0.410937,0.445056
0.260417,0.257436
0.103646,0.181668
0.286458,0.257380
0.385937,0.315257
0.359896,0.323335
0.423437,0.362275
0.590625,0.574785
0.657812,0.479427
0.240104,0.499749
0.190625,0.213102
0.157292,0.275829
0.230208,0.287157
0.225521,0.168134
0.235938,0.295945
0.091146,0.332732
0.183854,0.266841
0.026563,0.200911
0.141146,0.143416
0.207552,0.189880
0.156250,0.258070
0.412500,0.259502
0.460937,0.307965
0.058333,0.283193
0.077604,0.094002
0.225000,0.185417
0.245833,0.181286
0.177604,0.123658
0.329167,0.350860
0.445833,0.399132
0.290625,0.410784
0.420312,0.270176
0.472396,0.414668
0.157292,0.414221
0.327604,0.187758
0.305208,0.305106
0.260937,0.324674
0.162500,0.328926
0.106250,0.212635
0.184375,0.207735
0.339063,0.239591
0.340104,0.255109
0.408854,0.253045
0.393750,0.364329
0.353646,0.325757
0.673437,0.677323
0.296354,0.408546
0.150521,0.174755
0.128646,0.180772
0.227083,0.204999
0.296875,0.279069
0.131250,0.326731
0.261458,0.127782
0.283854,0.274322
0.318229,0.241357
0.202604,0.219612
0.143229,0.192563
0.124479,0.176935
0.032813,0.259491
0.210417,0.165652
0.258333,0.267754
0.162500,0.251788
0.057813,0.150176
0.195833,0.155934
0.180208,0.231287
0.192708,0.271680
0.294792,0.192378
0.139063,0.296723
0.253125,0.190477
0.209375,0.236994
0.181771,0.240233
0.047917,0.151605
0.090104,0.128377
0.235417,0.181601
0.226042,0.289755
0.123438,0.286014
0.189063,0.163919
0.183333,0.198798
0.360417,0.182541
0.167188,0.274311
0.241667,0.222659
0.207292,0.270455
0.147917,0.272854
0.105729,0.191420
0.089062,0.180756
0.084375,0.108351
0.076042,0.126193
0.042188,0.139929
0.122917,0.190146
0.097396,0.143813
0.082813,0.160632
0.141146,0.103400
0.085417,0.149806
0.075000,0.162584
0.148438,0.137495
0.007813,0.231632
0.190625,0.084034
0.359375,0.192222
0.140625,0.324847
0.001563,0.130164
0.095833,0.098529
0.241667,0.112720
0.181250,0.147992
0.193229,0.192131
0.273438,0.167473
0.231250,0.237898
0.042708,0.188022
0.053125,0.154796
0.152083,0.138931
0.064583,0.115760
0.194792,0.121947
0.333333,0.161200
0.100521,0.232702
0.036458,0.143209
0.034375,0.123981
0.103646,0.123203
0.079167,0.140209
0.267708,0.145633
